♥9,♣Q,♦T,♥8,♣T | Pair
♥9,♣Q,♦T,♥A,♣T | Pair
♥9,♣Q,♦T,♦3,♣T | Pair
♥9,♣Q,♦T,♦3,♥3 | Pair
♥9,♣Q,♦T,♣T,♥K | Pair
♥9,♣Q,♦T,♣T,♠J | Pair
♥9,♣Q,♦T,♣T,♠2 | Pair
♥9,♣Q,♦T,♣T,♥3 | Pair
♥9,♣Q,♥8,♦3,♥3 | Pair
♥9,♣Q,♥A,♦3,♥3 | Pair
♥9,♣Q,♦3,♣T,♥3 | Pair
♥9,♣Q,♦3,♥K,♥3 | Pair
♥9,♣Q,♦3,♠J,♥3 | Pair
♥9,♣Q,♦3,♠2,♥3 | Pair
♥9,♦T,♥8,♥A,♣T | Pair
♥9,♦T,♥8,♦3,♣T | Pair
♥9,♦T,♥8,♦3,♥3 | Pair
♥9,♦T,♥8,♣T,♥K | Pair
♥9,♦T,♥8,♣T,♠J | Pair
♥9,♦T,♥8,♣T,♠2 | Pair
♥9,♦T,♥8,♣T,♥3 | Pair
♥9,♦T,♥A,♦3,♣T | Pair
♥9,♦T,♥A,♦3,♥3 | Pair
♥9,♦T,♥A,♣T,♥K | Pair
♥9,♦T,♥A,♣T,♠J | Pair
♥9,♦T,♥A,♣T,♠2 | Pair
♥9,♦T,♥A,♣T,♥3 | Pair
♥9,♦T,♦3,♣T,♥K | Pair
♥9,♦T,♦3,♣T,♠J | Pair
♥9,♦T,♦3,♣T,♠2 | Pair
♥9,♦T,♦3,♣T,♥3 | Two Pairs
♥9,♦T,♦3,♥K,♥3 | Pair
♥9,♦T,♦3,♠J,♥3 | Pair
♥9,♦T,♦3,♠2,♥3 | Pair
♥9,♦T,♣T,♥K,♠J | Pair
♥9,♦T,♣T,♥K,♠2 | Pair
♥9,♦T,♣T,♥K,♥3 | Pair
♥9,♦T,♣T,♠J,♠2 | Pair
♥9,♦T,♣T,♠J,♥3 | Pair
♥9,♦T,♣T,♠2,♥3 | Pair
♥9,♥8,♥A,♦3,♥3 | Pair
♥9,♥8,♥A,♥K,♥3 | Flush
♥9,♥8,♦3,♣T,♥3 | Pair
♥9,♥8,♦3,♥K,♥3 | Pair
♥9,♥8,♦3,♠J,♥3 | Pair
♥9,♥8,♦3,♠2,♥3 | Pair
♥9,♥A,♦3,♣T,♥3 | Pair
♥9,♥A,♦3,♥K,♥3 | Pair
♥9,♥A,♦3,♠J,♥3 | Pair
♥9,♥A,♦3,♠2,♥3 | Pair
♥9,♦3,♣T,♥K,♥3 | Pair
♥9,♦3,♣T,♠J,♥3 | Pair
♥9,♦3,♣T,♠2,♥3 | Pair
♥9,♦3,♥K,♠J,♥3 | Pair
♥9,♦3,♥K,♠2,♥3 | Pair
♥9,♦3,♠J,♠2,♥3 | Pair
♣Q,♦T,♥8,♥A,♣T | Pair
♣Q,♦T,♥8,♦3,♣T | Pair
♣Q,♦T,♥8,♦3,♥3 | Pair
♣Q,♦T,♥8,♣T,♥K | Pair
♣Q,♦T,♥8,♣T,♠J | Pair
♣Q,♦T,♥8,♣T,♠2 | Pair
♣Q,♦T,♥8,♣T,♥3 | Pair
♣Q,♦T,♥A,♦3,♣T | Pair
♣Q,♦T,♥A,♦3,♥3 | Pair
♣Q,♦T,♥A,♣T,♥K | Pair
♣Q,♦T,♥A,♣T,♠J | Pair
♣Q,♦T,♥A,♣T,♠2 | Pair
♣Q,♦T,♥A,♣T,♥3 | Pair
♣Q,♦T,♦3,♣T,♥K | Pair
♣Q,♦T,♦3,♣T,♠J | Pair
♣Q,♦T,♦3,♣T,♠2 | Pair
♣Q,♦T,♦3,♣T,♥3 | Two Pairs
♣Q,♦T,♦3,♥K,♥3 | Pair
♣Q,♦T,♦3,♠J,♥3 | Pair
♣Q,♦T,♦3,♠2,♥3 | Pair
♣Q,♦T,♣T,♥K,♠J | Pair
♣Q,♦T,♣T,♥K,♠2 | Pair
♣Q,♦T,♣T,♥K,♥3 | Pair
♣Q,♦T,♣T,♠J,♠2 | Pair
♣Q,♦T,♣T,♠J,♥3 | Pair
♣Q,♦T,♣T,♠2,♥3 | Pair
♣Q,♥8,♥A,♦3,♥3 | Pair
♣Q,♥8,♦3,♣T,♥3 | Pair
♣Q,♥8,♦3,♥K,♥3 | Pair
♣Q,♥8,♦3,♠J,♥3 | Pair
♣Q,♥8,♦3,♠2,♥3 | Pair
♣Q,♥A,♦3,♣T,♥3 | Pair
♣Q,♥A,♦3,♥K,♥3 | Pair
♣Q,♥A,♦3,♠J,♥3 | Pair
♣Q,♥A,♦3,♠2,♥3 | Pair
♣Q,♦3,♣T,♥K,♥3 | Pair
♣Q,♦3,♣T,♠J,♥3 | Pair
♣Q,♦3,♣T,♠2,♥3 | Pair
♣Q,♦3,♥K,♠J,♥3 | Pair
♣Q,♦3,♥K,♠2,♥3 | Pair
♣Q,♦3,♠J,♠2,♥3 | Pair
♦T,♥8,♥A,♦3,♣T | Pair
♦T,♥8,♥A,♦3,♥3 | Pair
♦T,♥8,♥A,♣T,♥K | Pair
♦T,♥8,♥A,♣T,♠J | Pair
♦T,♥8,♥A,♣T,♠2 | Pair
♦T,♥8,♥A,♣T,♥3 | Pair
♦T,♥8,♦3,♣T,♥K | Pair
♦T,♥8,♦3,♣T,♠J | Pair
♦T,♥8,♦3,♣T,♠2 | Pair
♦T,♥8,♦3,♣T,♥3 | Two Pairs
♦T,♥8,♦3,♥K,♥3 | Pair
♦T,♥8,♦3,♠J,♥3 | Pair
♦T,♥8,♦3,♠2,♥3 | Pair
♦T,♥8,♣T,♥K,♠J | Pair
♦T,♥8,♣T,♥K,♠2 | Pair
♦T,♥8,♣T,♥K,♥3 | Pair
♦T,♥8,♣T,♠J,♠2 | Pair
♦T,♥8,♣T,♠J,♥3 | Pair
♦T,♥8,♣T,♠2,♥3 | Pair
♦T,♥A,♦3,♣T,♥K | Pair
♦T,♥A,♦3,♣T,♠J | Pair
♦T,♥A,♦3,♣T,♠2 | Pair
♦T,♥A,♦3,♣T,♥3 | Two Pairs
♦T,♥A,♦3,♥K,♥3 | Pair
♦T,♥A,♦3,♠J,♥3 | Pair
♦T,♥A,♦3,♠2,♥3 | Pair
♦T,♥A,♣T,♥K,♠J | Pair
♦T,♥A,♣T,♥K,♠2 | Pair
♦T,♥A,♣T,♥K,♥3 | Pair
♦T,♥A,♣T,♠J,♠2 | Pair
♦T,♥A,♣T,♠J,♥3 | Pair
♦T,♥A,♣T,♠2,♥3 | Pair
♦T,♦3,♣T,♥K,♠J | Pair
♦T,♦3,♣T,♥K,♠2 | Pair
♦T,♦3,♣T,♥K,♥3 | Two Pairs
♦T,♦3,♣T,♠J,♠2 | Pair
♦T,♦3,♣T,♠J,♥3 | Two Pairs
♦T,♦3,♣T,♠2,♥3 | Two Pairs
♦T,♦3,♥K,♠J,♥3 | Pair
♦T,♦3,♥K,♠2,♥3 | Pair
♦T,♦3,♠J,♠2,♥3 | Pair
♦T,♣T,♥K,♠J,♠2 | Pair
♦T,♣T,♥K,♠J,♥3 | Pair
♦T,♣T,♥K,♠2,♥3 | Pair
♦T,♣T,♠J,♠2,♥3 | Pair
♥8,♥A,♦3,♣T,♥3 | Pair
♥8,♥A,♦3,♥K,♥3 | Pair
♥8,♥A,♦3,♠J,♥3 | Pair
♥8,♥A,♦3,♠2,♥3 | Pair
♥8,♦3,♣T,♥K,♥3 | Pair
♥8,♦3,♣T,♠J,♥3 | Pair
♥8,♦3,♣T,♠2,♥3 | Pair
♥8,♦3,♥K,♠J,♥3 | Pair
♥8,♦3,♥K,♠2,♥3 | Pair
♥8,♦3,♠J,♠2,♥3 | Pair
♥A,♦3,♣T,♥K,♥3 | Pair
♥A,♦3,♣T,♠J,♥3 | Pair
♥A,♦3,♣T,♠2,♥3 | Pair
♥A,♦3,♥K,♠J,♥3 | Pair
♥A,♦3,♥K,♠2,♥3 | Pair
♥A,♦3,♠J,♠2,♥3 | Pair
♦3,♣T,♥K,♠J,♥3 | Pair
♦3,♣T,♥K,♠2,♥3 | Pair
♦3,♣T,♠J,♠2,♥3 | Pair
♦3,♥K,♠J,♠2,♥3 | Pair
