♦9,♦5,♦J,♠4,♣Q | Pair
♦9,♦5,♦J,♠4,♣A | Pair
♦9,♦5,♦J,♠4,♠A | Pair
♦9,♦5,♦J,♠4,♣J | Pair
♦9,♦5,♦J,♠4,♦5 | Pair
♦9,♦5,♦J,♥2,♣Q | Pair
♦9,♦5,♦J,♥2,♣A | Pair
♦9,♦5,♦J,♥2,♠A | Pair
♦9,♦5,♦J,♥2,♣J | Pair
♦9,♦5,♦J,♥2,♦5 | Pair
♦9,♦5,♦J,♣Q,♦8 | Pair
♦9,♦5,♦J,♣Q,♦8 | Pair
♦9,♦5,♦J,♣Q,♣A | Pair
♦9,♦5,♦J,♣Q,♣A | Three Of A Kind
♦9,♦5,♦J,♣Q,♠A | Pair
♦9,♦5,♦J,♣Q,♠A | Three Of A Kind
♦9,♦5,♦J,♣Q,♣J | Pair
♦9,♦5,♦J,♣Q,♣J | Three Of A Kind
♦9,♦5,♦J,♣Q,♠6 | Pair
♦9,♦5,♦J,♣Q,♦8 | Pair
♦9,♦5,♦J,♣Q,♦5 | Pair
♦9,♦5,♦J,♣Q,♦5 | Pair
♦9,♦5,♦J,♦8,♦8 | Pair
♦9,♦5,♦J,♦8,♣A | Pair
♦9,♦5,♦J,♦8,♠A | Pair
♦9,♦5,♦J,♦8,♣J | Pair
♦9,♦5,♦J,♦8,♦8 | Pair
♦9,♦5,♦J,♦8,♦5 | Pair
♦9,♦5,♦J,♦8,♣A | Pair
♦9,♦5,♦J,♦8,♠A | Pair
♦9,♦5,♦J,♦8,♣J | Pair
♦9,♦5,♦J,♦8,♦8 | Pair
♦9,♦5,♦J,♦8,♦5 | Pair
♦9,♦5,♦J,♣A,♠A | Pair
♦9,♦5,♦J,♣A,♠A | Three Of A Kind
♦9,♦5,♦J,♣A,♣J | Pair
♦9,♦5,♦J,♣A,♣J | Three Of A Kind
♦9,♦5,♦J,♣A,♠6 | Pair
♦9,♦5,♦J,♣A,♦8 | Pair
♦9,♦5,♦J,♣A,♦5 | Pair
♦9,♦5,♦J,♣A,♦5 | Pair
