♥5,♥7,♦K,♦T,♠T | Pair
♥5,♥7,♦T,♠T,♥4 | Pair
♥5,♥7,♦T,♠T,♠J | Pair
♥5,♥7,♦T,♠T,♥A | Pair
♥5,♥7,♦T,♠T,♦Q | Pair
♥5,♥7,♦T,♠T,♠2 | Pair
♥5,♦K,♦T,♠T,♥4 | Pair
♥5,♦K,♦T,♠T,♠J | Pair
♥5,♦K,♦T,♠T,♥A | Pair
♥5,♦K,♦T,♠T,♦Q | Pair
♥5,♦K,♦T,♠T,♠2 | Pair
♥5,♦T,♠T,♥4,♠J | Pair
♥5,♦T,♠T,♥4,♥A | Pair
♥5,♦T,♠T,♥4,♦Q | Pair
♥5,♦T,♠T,♥4,♠2 | Pair
♥5,♦T,♠T,♠J,♥A | Pair
♥5,♦T,♠T,♠J,♦Q | Pair
♥5,♦T,♠T,♠J,♠2 | Pair
♥5,♦T,♠T,♥A,♦Q | Pair
♥5,♦T,♠T,♥A,♠2 | Pair
♥5,♦T,♠T,♦Q,♠2 | Pair
♥7,♦K,♦T,♠T,♥4 | Pair
♥7,♦K,♦T,♠T,♠J | Pair
♥7,♦K,♦T,♠T,♥A | Pair
♥7,♦K,♦T,♠T,♦Q | Pair
♥7,♦K,♦T,♠T,♠2 | Pair
♥7,♦T,♠T,♥4,♠J | Pair
♥7,♦T,♠T,♥4,♥A | Pair
♥7,♦T,♠T,♥4,♦Q | Pair
♥7,♦T,♠T,♥4,♠2 | Pair
♥7,♦T,♠T,♠J,♥A | Pair
♥7,♦T,♠T,♠J,♦Q | Pair
♥7,♦T,♠T,♠J,♠2 | Pair
♥7,♦T,♠T,♥A,♦Q | Pair
♥7,♦T,♠T,♥A,♠2 | Pair
♥7,♦T,♠T,♦Q,♠2 | Pair
♦K,♦T,♠T,♥4,♠J | Pair
♦K,♦T,♠T,♥4,♥A | Pair
♦K,♦T,♠T,♥4,♦Q | Pair
♦K,♦T,♠T,♥4,♠2 | Pair
♦K,♦T,♠T,♠J,♥A | Pair
♦K,♦T,♠T,♠J,♦Q | Pair
♦K,♦T,♠T,♠J,♠2 | Pair
♦K,♦T,♠T,♥A,♦Q | Pair
♦K,♦T,♠T,♥A,♠2 | Pair
♦K,♦T,♠T,♦Q,♠2 | Pair
♦T,♠T,♥4,♠J,♥A | Pair
♦T,♠T,♥4,♠J,♦Q | Pair
♦T,♠T,♥4,♠J,♠2 | Pair
♦T,♠T,♥4,♥A,♦Q | Pair
♦T,♠T,♥4,♥A,♠2 | Pair
♦T,♠T,♥4,♦Q,♠2 | Pair
♦T,♠T,♠J,♥A,♦Q | Pair
♦T,♠T,♠J,♥A,♠2 | Pair
♦T,♠T,♠J,♦Q,♠2 | Pair
♦T,♠T,♥A,♦Q,♠2 | Pair
