♠7,♣T,♦5,♥A,♠T | Pair
♠7,♣T,♦5,♣3,♠T | Pair
♠7,♣T,♦5,♦2,♠T | Pair
♠7,♣T,♦5,♣6,♠T | Pair
♠7,♣T,♦5,♣4,♠T | Pair
♠7,♣T,♦5,♣4,♥4 | Pair
♠7,♣T,♦5,♠T,♥8 | Pair
♠7,♣T,♦5,♠T,♦8 | Pair
♠7,♣T,♦5,♠T,♥4 | Pair
♠7,♣T,♦5,♥8,♦8 | Pair
♠7,♣T,♥A,♣3,♠T | Pair
♠7,♣T,♥A,♦2,♠T | Pair
♠7,♣T,♥A,♣6,♠T | Pair
♠7,♣T,♥A,♣4,♠T | Pair
♠7,♣T,♥A,♣4,♥4 | Pair
♠7,♣T,♥A,♠T,♥8 | Pair
♠7,♣T,♥A,♠T,♦8 | Pair
♠7,♣T,♥A,♠T,♥4 | Pair
♠7,♣T,♥A,♥8,♦8 | Pair
♠7,♣T,♣3,♦2,♠T | Pair
♠7,♣T,♣3,♣6,♠T | Pair
♠7,♣T,♣3,♣4,♠T | Pair
♠7,♣T,♣3,♣4,♥4 | Pair
♠7,♣T,♣3,♠T,♥8 | Pair
♠7,♣T,♣3,♠T,♦8 | Pair
♠7,♣T,♣3,♠T,♥4 | Pair
♠7,♣T,♣3,♥8,♦8 | Pair
♠7,♣T,♦2,♣6,♠T | Pair
♠7,♣T,♦2,♣4,♠T | Pair
♠7,♣T,♦2,♣4,♥4 | Pair
♠7,♣T,♦2,♠T,♥8 | Pair
♠7,♣T,♦2,♠T,♦8 | Pair
♠7,♣T,♦2,♠T,♥4 | Pair
♠7,♣T,♦2,♥8,♦8 | Pair
♠7,♣T,♣6,♣4,♠T | Pair
♠7,♣T,♣6,♣4,♥4 | Pair
♠7,♣T,♣6,♠T,♥8 | Pair
♠7,♣T,♣6,♠T,♦8 | Pair
♠7,♣T,♣6,♠T,♥4 | Pair
♠7,♣T,♣6,♥8,♦8 | Pair
♠7,♣T,♣4,♠T,♥8 | Pair
♠7,♣T,♣4,♠T,♦8 | Pair
♠7,♣T,♣4,♠T,♥4 | Two Pairs
♠7,♣T,♣4,♥8,♦8 | Pair
♠7,♣T,♣4,♥8,♥4 | Pair
♠7,♣T,♣4,♦8,♥4 | Pair
♠7,♣T,♠T,♥8,♦8 | Two Pairs
♠7,♣T,♠T,♥8,♥4 | Pair
♠7,♣T,♠T,♦8,♥4 | Pair
♠7,♣T,♥8,♦8,♥4 | Pair
♠7,♦5,♥A,♣4,♥4 | Pair
♠7,♦5,♥A,♥8,♦8 | Pair
♠7,♦5,♣3,♣4,♥4 | Pair
♠7,♦5,♣3,♥8,♦8 | Pair
♠7,♦5,♦2,♣4,♥4 | Pair
♠7,♦5,♦2,♥8,♦8 | Pair
♠7,♦5,♣6,♣4,♥4 | Pair
♠7,♦5,♣6,♥8,♦8 | Pair
♠7,♦5,♣4,♠T,♥4 | Pair
♠7,♦5,♣4,♥8,♦8 | Pair
♠7,♦5,♣4,♥8,♥4 | Pair
♠7,♦5,♣4,♦8,♥4 | Pair
♠7,♦5,♠T,♥8,♦8 | Pair
♠7,♦5,♥8,♦8,♥4 | Pair
♠7,♥A,♣3,♣4,♥4 | Pair
♠7,♥A,♣3,♥8,♦8 | Pair
♠7,♥A,♦2,♣4,♥4 | Pair
♠7,♥A,♦2,♥8,♦8 | Pair
♠7,♥A,♣6,♣4,♥4 | Pair
♠7,♥A,♣6,♥8,♦8 | Pair
♠7,♥A,♣4,♠T,♥4 | Pair
♠7,♥A,♣4,♥8,♦8 | Pair
♠7,♥A,♣4,♥8,♥4 | Pair
♠7,♥A,♣4,♦8,♥4 | Pair
♠7,♥A,♠T,♥8,♦8 | Pair
♠7,♥A,♥8,♦8,♥4 | Pair
♠7,♣3,♦2,♣4,♥4 | Pair
♠7,♣3,♦2,♥8,♦8 | Pair
♠7,♣3,♣6,♣4,♥4 | Pair
♠7,♣3,♣6,♥8,♦8 | Pair
♠7,♣3,♣4,♠T,♥4 | Pair
♠7,♣3,♣4,♥8,♦8 | Pair
♠7,♣3,♣4,♥8,♥4 | Pair
♠7,♣3,♣4,♦8,♥4 | Pair
♠7,♣3,♠T,♥8,♦8 | Pair
♠7,♣3,♥8,♦8,♥4 | Pair
♠7,♦2,♣6,♣4,♥4 | Pair
♠7,♦2,♣6,♥8,♦8 | Pair
♠7,♦2,♣4,♠T,♥4 | Pair
♠7,♦2,♣4,♥8,♦8 | Pair
♠7,♦2,♣4,♥8,♥4 | Pair
♠7,♦2,♣4,♦8,♥4 | Pair
♠7,♦2,♠T,♥8,♦8 | Pair
♠7,♦2,♥8,♦8,♥4 | Pair
♠7,♣6,♣4,♠T,♥4 | Pair
♠7,♣6,♣4,♥8,♦8 | Pair
♠7,♣6,♣4,♥8,♥4 | Pair
♠7,♣6,♣4,♦8,♥4 | Pair
♠7,♣6,♠T,♥8,♦8 | Pair
♠7,♣6,♥8,♦8,♥4 | Pair
