♠3,♦7,♥5,♠J,♣5 | Pair
♠3,♦7,♥5,♠J,♦3 | Pair
♠3,♦7,♥5,♠T,♣5 | Pair
♠3,♦7,♥5,♠T,♦3 | Pair
♠3,♦7,♥5,♠T,♦T | Pair
♠3,♦7,♥5,♠Q,♣5 | Pair
♠3,♦7,♥5,♠Q,♦3 | Pair
♠3,♦7,♥5,♠Q,♥Q | Pair
♠3,♦7,♥5,♠Q,♣Q | Pair
♠3,♦7,♥5,♣2,♣5 | Pair
♠3,♦7,♥5,♣2,♦3 | Pair
♠3,♦7,♥5,♦A,♣5 | Pair
♠3,♦7,♥5,♦A,♦3 | Pair
♠3,♦7,♥5,♣5,♠8 | Pair
♠3,♦7,♥5,♣5,♦3 | Two Pairs
♠3,♦7,♥5,♣5,♥Q | Pair
♠3,♦7,♥5,♣5,♦T | Pair
♠3,♦7,♥5,♣5,♣Q | Pair
♠3,♦7,♥5,♠8,♦3 | Pair
♠3,♦7,♥5,♦3,♥Q | Pair
♠3,♦7,♥5,♦3,♦T | Pair
♠3,♦7,♥5,♦3,♣Q | Pair
♠3,♦7,♥5,♥Q,♣Q | Pair
♠3,♦7,♠J,♠T,♦3 | Pair
♠3,♦7,♠J,♠T,♦T | Pair
♠3,♦7,♠J,♠Q,♦3 | Pair
♠3,♦7,♠J,♠Q,♥Q | Pair
♠3,♦7,♠J,♠Q,♣Q | Pair
♠3,♦7,♠J,♣2,♦3 | Pair
♠3,♦7,♠J,♦A,♦3 | Pair
♠3,♦7,♠J,♣5,♦3 | Pair
♠3,♦7,♠J,♠8,♦3 | Pair
♠3,♦7,♠J,♦3,♥Q | Pair
♠3,♦7,♠J,♦3,♦T | Pair
♠3,♦7,♠J,♦3,♣Q | Pair
♠3,♦7,♠J,♥Q,♣Q | Pair
♠3,♦7,♠T,♠Q,♦3 | Pair
♠3,♦7,♠T,♠Q,♥Q | Pair
♠3,♦7,♠T,♠Q,♦T | Pair
♠3,♦7,♠T,♠Q,♣Q | Pair
♠3,♦7,♠T,♣2,♦3 | Pair
♠3,♦7,♠T,♣2,♦T | Pair
♠3,♦7,♠T,♦A,♦3 | Pair
♠3,♦7,♠T,♦A,♦T | Pair
♠3,♦7,♠T,♣5,♦3 | Pair
♠3,♦7,♠T,♣5,♦T | Pair
♠3,♦7,♠T,♠8,♦3 | Pair
