♣3,♦4,♥9,♥10,♦10 | Pair
♣3,♦4,♥9,♣9,♥10 | Pair
♣3,♦4,♥9,♠9,♥10 | Pair
♣3,♦4,♣9,♥10,♦10 | Pair
♣3,♦4,♠9,♥10,♦10 | Pair
♣2,♣3,♦4,♥10,♦10 | Pair
♣3,♦4,♣8,♥10,♦10 | Pair
♣3,♦4,♥10,♦10,♣K | Pair
♣3,♦4,♥10,♦10,♣Q | Pair
♣3,♦4,♣9,♠9,♥10 | Pair
♣3,♥9,♣9,♥10,♦10 | Two Pairs
♣3,♥9,♠9,♥10,♦10 | Two Pairs
♣2,♣3,♥9,♥10,♦10 | Pair
♣3,♣8,♥9,♥10,♦10 | Pair
♣3,♥9,♥10,♦10,♣K | Pair
♣3,♥9,♥10,♦10,♣Q | Pair
♣3,♥9,♣9,♠9,♥10 | Full House
♣2,♣3,♥9,♣9,♥10 | Pair
♣3,♣8,♥9,♣9,♥10 | Pair
♣3,♥9,♣9,♥10,♣K | Pair
♣3,♥9,♣9,♥10,♣Q | Pair
♣2,♣3,♥9,♠9,♥10 | Pair
♣3,♣8,♥9,♠9,♥10 | Pair
♣3,♥9,♠9,♥10,♣K | Pair
♣3,♥9,♠9,♥10,♣Q | Pair
♣3,♣9,♠9,♥10,♦10 | Two Pairs
♣2,♣3,♣9,♥10,♦10 | Pair
♣3,♣8,♣9,♥10,♦10 | Pair
♣3,♣9,♥10,♦10,♣K | Pair
♣3,♣9,♥10,♦10,♣Q | Pair
♣2,♣3,♠9,♥10,♦10 | Pair
♣3,♣8,♠9,♥10,♦10 | Pair
♣3,♠9,♥10,♦10,♣K | Pair
♣3,♠9,♥10,♦10,♣Q | Pair
♣2,♣3,♣8,♥10,♦10 | Pair
♣2,♣3,♥10,♦10,♣K | Pair
♣2,♣3,♥10,♦10,♣Q | Pair
♣3,♣8,♥10,♦10,♣K | Pair
♣3,♣8,♥10,♦10,♣Q | Pair
♣3,♥10,♦10,♣Q,♣K | Pair
♣2,♣3,♣9,♠9,♥10 | Pair
♣3,♣8,♣9,♠9,♥10 | Pair
♣3,♣9,♠9,♥10,♣K | Pair
♣3,♣9,♠9,♥10,♣Q | Pair
♦4,♥9,♣9,♥10,♦10 | Two Pairs
♦4,♥9,♠9,♥10,♦10 | Two Pairs
♣2,♦4,♥9,♥10,♦10 | Pair
♦4,♣8,♥9,♥10,♦10 | Pair
♦4,♥9,♥10,♦10,♣K | Pair
♦4,♥9,♥10,♦10,♣Q | Pair
♦4,♥9,♣9,♠9,♥10 | Full House
♣2,♦4,♥9,♣9,♥10 | Pair
♦4,♣8,♥9,♣9,♥10 | Pair
♦4,♥9,♣9,♥10,♣K | Pair
♦4,♥9,♣9,♥10,♣Q | Pair
♣2,♦4,♥9,♠9,♥10 | Pair
♦4,♣8,♥9,♠9,♥10 | Pair
♦4,♥9,♠9,♥10,♣K | Pair
♦4,♥9,♠9,♥10,♣Q | Pair
♦4,♣9,♠9,♥10,♦10 | Two Pairs
♣2,♦4,♣9,♥10,♦10 | Pair
♦4,♣8,♣9,♥10,♦10 | Pair
♦4,♣9,♥10,♦10,♣K | Pair
♦4,♣9,♥10,♦10,♣Q | Pair
♣2,♦4,♠9,♥10,♦10 | Pair
♦4,♣8,♠9,♥10,♦10 | Pair
♦4,♠9,♥10,♦10,♣K | Pair
♦4,♠9,♥10,♦10,♣Q | Pair
♣2,♦4,♣8,♥10,♦10 | Pair
♣2,♦4,♥10,♦10,♣K | Pair
♣2,♦4,♥10,♦10,♣Q | Pair
♦4,♣8,♥10,♦10,♣K | Pair
♦4,♣8,♥10,♦10,♣Q | Pair
♦4,♥10,♦10,♣Q,♣K | Pair
♣2,♦4,♣9,♠9,♥10 | Pair
♦4,♣8,♣9,♠9,♥10 | Pair
♦4,♣9,♠9,♥10,♣K | Pair
♦4,♣9,♠9,♥10,♣Q | Pair
♥9,♣9,♠9,♥10,♦10 | Full House
♣2,♥9,♣9,♥10,♦10 | Two Pairs
♣8,♥9,♣9,♥10,♦10 | Two Pairs
♥9,♣9,♥10,♦10,♣K | Two Pairs
♥9,♣9,♥10,♦10,♣Q | Two Pairs
♣2,♥9,♠9,♥10,♦10 | Two Pairs
♣8,♥9,♠9,♥10,♦10 | Two Pairs
♥9,♠9,♥10,♦10,♣K | Two Pairs
♥9,♠9,♥10,♦10,♣Q | Two Pairs
♣2,♣8,♥9,♥10,♦10 | Pair
♣2,♥9,♥10,♦10,♣K | Pair
♣2,♥9,♥10,♦10,♣Q | Pair
♣8,♥9,♥10,♦10,♣K | Pair
♣8,♥9,♥10,♦10,♣Q | Pair
♥9,♥10,♦10,♣Q,♣K | Pair
♣2,♥9,♣9,♠9,♥10 | Full House
♣8,♥9,♣9,♠9,♥10 | Full House
♥9,♣9,♠9,♥10,♣K | Full House
♥9,♣9,♠9,♥10,♣Q | Full House
♣2,♣8,♥9,♣9,♥10 | Pair
♣2,♥9,♣9,♥10,♣K | Pair
♣2,♥9,♣9,♥10,♣Q | Pair
♣8,♥9,♣9,♥10,♣K | Pair
♣8,♥9,♣9,♥10,♣Q | Pair
♥9,♣9,♥10,♣Q,♣K | Pair
♣2,♣8,♥9,♠9,♥10 | Pair
♣2,♥9,♠9,♥10,♣K | Pair
♣2,♥9,♠9,♥10,♣Q | Pair
♣8,♥9,♠9,♥10,♣K | Pair
♣8,♥9,♠9,♥10,♣Q | Pair
♥9,♠9,♥10,♣Q,♣K | Pair
♣2,♣9,♠9,♥10,♦10 | Two Pairs
♣8,♣9,♠9,♥10,♦10 | Two Pairs
♣9,♠9,♥10,♦10,♣K | Two Pairs
♣9,♠9,♥10,♦10,♣Q | Two Pairs
♣2,♣8,♣9,♥10,♦10 | Pair
♣2,♣9,♥10,♦10,♣K | Pair
♣2,♣9,♥10,♦10,♣Q | Pair
♣8,♣9,♥10,♦10,♣K | Pair
♣8,♣9,♥10,♦10,♣Q | Pair
♣9,♥10,♦10,♣Q,♣K | Pair
♣2,♣8,♠9,♥10,♦10 | Pair
♣2,♠9,♥10,♦10,♣K | Pair
♣2,♠9,♥10,♦10,♣Q | Pair
♣8,♠9,♥10,♦10,♣K | Pair
♣8,♠9,♥10,♦10,♣Q | Pair
♠9,♥10,♦10,♣Q,♣K | Pair
♣2,♣8,♥10,♦10,♣K | Pair
♣2,♣8,♥10,♦10,♣Q | Pair
♣2,♥10,♦10,♣Q,♣K | Pair
♣8,♥10,♦10,♣Q,♣K | Pair
♣2,♣8,♣9,♠9,♥10 | Pair
♣2,♣9,♠9,♥10,♣K | Pair
♣2,♣9,♠9,♥10,♣Q | Pair
♣8,♣9,♠9,♥10,♣K | Pair
♣8,♣9,♠9,♥10,♣Q | Pair
♣9,♠9,♥10,♣Q,♣K | Pair
♣3,♦4,♥9,♣9,♦10 | Pair
♣3,♦4,♥9,♠9,♦10 | Pair
♣3,♦4,♥9,♣9,♠9 | Full House
♣2,♣3,♦4,♥9,♣9 | Pair
♣3,♦4,♣8,♥9,♣9 | Pair
♣3,♦4,♥9,♣9,♣K | Pair
♣3,♦4,♥9,♣9,♣Q | Pair
♣2,♣3,♦4,♥9,♠9 | Pair
♣3,♦4,♣8,♥9,♠9 | Pair
♣3,♦4,♥9,♠9,♣K | Pair
♣3,♦4,♥9,♠9,♣Q | Pair
♣3,♦4,♣9,♠9,♦10 | Pair
♣2,♣3,♦4,♣9,♠9 | Pair
♣3,♦4,♣8,♣9,♠9 | Pair
♣3,♦4,♣9,♠9,♣K | Pair
♣3,♦4,♣9,♠9,♣Q | Pair
♣3,♥9,♣9,♠9,♦10 | Full House
♣2,♣3,♥9,♣9,♦10 | Pair
♣3,♣8,♥9,♣9,♦10 | Pair
♣3,♥9,♣9,♦10,♣K | Pair
♣3,♥9,♣9,♦10,♣Q | Pair
♣2,♣3,♥9,♠9,♦10 | Pair
♣3,♣8,♥9,♠9,♦10 | Pair
♣3,♥9,♠9,♦10,♣K | Pair
♣3,♥9,♠9,♦10,♣Q | Pair
♣2,♣3,♥9,♣9,♠9 | Full House
♣3,♣8,♥9,♣9,♠9 | Full House
♣3,♥9,♣9,♠9,♣K | Full House
♣3,♥9,♣9,♠9,♣Q | Full House
♣2,♣3,♣8,♥9,♣9 | Pair
♣2,♣3,♥9,♣9,♣K | Pair
♣2,♣3,♥9,♣9,♣Q | Pair
♣3,♣8,♥9,♣9,♣K | Pair
♣3,♣8,♥9,♣9,♣Q | Pair
♣3,♥9,♣9,♣Q,♣K | Pair
♣2,♣3,♣8,♥9,♠9 | Pair
♣2,♣3,♥9,♠9,♣K | Pair
♣2,♣3,♥9,♠9,♣Q | Pair
♣3,♣8,♥9,♠9,♣K | Pair
♣3,♣8,♥9,♠9,♣Q | Pair
♣3,♥9,♠9,♣Q,♣K | Pair
♣2,♣3,♣9,♠9,♦10 | Pair
♣3,♣8,♣9,♠9,♦10 | Pair
♣3,♣9,♠9,♦10,♣K | Pair
♣3,♣9,♠9,♦10,♣Q | Pair
♣2,♣3,♣8,♣9,♠9 | Pair
♣2,♣3,♣9,♠9,♣K | Pair
♣2,♣3,♣9,♠9,♣Q | Pair
♣3,♣8,♣9,♠9,♣K | Pair
♣3,♣8,♣9,♠9,♣Q | Pair
♣3,♣9,♠9,♣Q,♣K | Pair
♣2,♣3,♣8,♣9,♣K | Flush
♣2,♣3,♣8,♣9,♣Q | Flush
♣2,♣3,♣9,♣Q,♣K | Flush
♣3,♣8,♣9,♣Q,♣K | Flush
♣2,♣3,♣8,♣Q,♣K | Flush
♦4,♥9,♣9,♠9,♦10 | Full House
♣2,♦4,♥9,♣9,♦10 | Pair
♦4,♣8,♥9,♣9,♦10 | Pair
♦4,♥9,♣9,♦10,♣K | Pair
♦4,♥9,♣9,♦10,♣Q | Pair
♣2,♦4,♥9,♠9,♦10 | Pair
♦4,♣8,♥9,♠9,♦10 | Pair
♦4,♥9,♠9,♦10,♣K | Pair
♦4,♥9,♠9,♦10,♣Q | Pair
♣2,♦4,♥9,♣9,♠9 | Full House
♦4,♣8,♥9,♣9,♠9 | Full House
♦4,♥9,♣9,♠9,♣K | Full House
♦4,♥9,♣9,♠9,♣Q | Full House
♣2,♦4,♣8,♥9,♣9 | Pair
♣2,♦4,♥9,♣9,♣K | Pair
♣2,♦4,♥9,♣9,♣Q | Pair
♦4,♣8,♥9,♣9,♣K | Pair
♦4,♣8,♥9,♣9,♣Q | Pair
♦4,♥9,♣9,♣Q,♣K | Pair
♣2,♦4,♣8,♥9,♠9 | Pair
♣2,♦4,♥9,♠9,♣K | Pair
♣2,♦4,♥9,♠9,♣Q | Pair
♦4,♣8,♥9,♠9,♣K | Pair
♦4,♣8,♥9,♠9,♣Q | Pair
♦4,♥9,♠9,♣Q,♣K | Pair
♣2,♦4,♣9,♠9,♦10 | Pair
♦4,♣8,♣9,♠9,♦10 | Pair
♦4,♣9,♠9,♦10,♣K | Pair
♦4,♣9,♠9,♦10,♣Q | Pair
♣2,♦4,♣8,♣9,♠9 | Pair
♣2,♦4,♣9,♠9,♣K | Pair
♣2,♦4,♣9,♠9,♣Q | Pair
♦4,♣8,♣9,♠9,♣K | Pair
♦4,♣8,♣9,♠9,♣Q | Pair
♦4,♣9,♠9,♣Q,♣K | Pair
♣2,♥9,♣9,♠9,♦10 | Full House
♣8,♥9,♣9,♠9,♦10 | Full House
♥9,♣9,♠9,♦10,♣K | Full House
♥9,♣9,♠9,♦10,♣Q | Full House
♣2,♣8,♥9,♣9,♦10 | Pair
♣2,♥9,♣9,♦10,♣K | Pair
♣2,♥9,♣9,♦10,♣Q | Pair
♣8,♥9,♣9,♦10,♣K | Pair
♣8,♥9,♣9,♦10,♣Q | Pair
♥9,♣9,♦10,♣Q,♣K | Pair
♣2,♣8,♥9,♠9,♦10 | Pair
♣2,♥9,♠9,♦10,♣K | Pair
♣2,♥9,♠9,♦10,♣Q | Pair
♣8,♥9,♠9,♦10,♣K | Pair
♣8,♥9,♠9,♦10,♣Q | Pair
♥9,♠9,♦10,♣Q,♣K | Pair
♣2,♣8,♥9,♣9,♠9 | Full House
♣2,♥9,♣9,♠9,♣K | Full House
♣2,♥9,♣9,♠9,♣Q | Full House
♣8,♥9,♣9,♠9,♣K | Full House
♣8,♥9,♣9,♠9,♣Q | Full House
♥9,♣9,♠9,♣Q,♣K | Full House
♣2,♣8,♥9,♣9,♣K | Pair
♣2,♣8,♥9,♣9,♣Q | Pair
♣2,♥9,♣9,♣Q,♣K | Pair
♣8,♥9,♣9,♣Q,♣K | Pair
♣2,♣8,♥9,♠9,♣K | Pair
♣2,♣8,♥9,♠9,♣Q | Pair
♣2,♥9,♠9,♣Q,♣K | Pair
♣8,♥9,♠9,♣Q,♣K | Pair
♣2,♣8,♣9,♠9,♦10 | Pair
♣2,♣9,♠9,♦10,♣K | Pair
♣2,♣9,♠9,♦10,♣Q | Pair
♣8,♣9,♠9,♦10,♣K | Pair
♣8,♣9,♠9,♦10,♣Q | Pair
♣9,♠9,♦10,♣Q,♣K | Pair
♣2,♣8,♣9,♠9,♣K | Pair
♣2,♣8,♣9,♠9,♣Q | Pair
♣2,♣9,♠9,♣Q,♣K | Pair
♣8,♣9,♠9,♣Q,♣K | Pair
♣2,♣8,♣9,♣Q,♣K | Flush
