♣Q,♣4,♥T,♥3,♦3 | Pair
♣Q,♣4,♥T,♥J,♦J | Pair
♣Q,♣4,♥3,♥J,♦J | Pair
♣Q,♣4,♥3,♥J,♦3 | Pair
♣Q,♣4,♥3,♥9,♦3 | Pair
♣Q,♣4,♥3,♣2,♦3 | Pair
♣Q,♣4,♥3,♦J,♦3 | Pair
♣Q,♣4,♥3,♣K,♦3 | Pair
♣Q,♣4,♥3,♦3,♠5 | Pair
♣Q,♣4,♥3,♦3,♥6 | Pair
♣Q,♣4,♥J,♥9,♦J | Pair
♣Q,♣4,♥J,♣2,♦J | Pair
♣Q,♣4,♥J,♦J,♣K | Pair
♣Q,♣4,♥J,♦J,♦3 | Pair
♣Q,♣4,♥J,♦J,♠5 | Pair
♣Q,♣4,♥J,♦J,♥6 | Pair
♣Q,♥T,♥3,♥J,♦J | Pair
♣Q,♥T,♥3,♥J,♦3 | Pair
♣Q,♥T,♥3,♥9,♦3 | Pair
♣Q,♥T,♥3,♣2,♦3 | Pair
♣Q,♥T,♥3,♦J,♦3 | Pair
♣Q,♥T,♥3,♣K,♦3 | Pair
♣Q,♥T,♥3,♦3,♠5 | Pair
♣Q,♥T,♥3,♦3,♥6 | Pair
♣Q,♥T,♥J,♥9,♦J | Pair
♣Q,♥T,♥J,♣2,♦J | Pair
♣Q,♥T,♥J,♦J,♣K | Pair
♣Q,♥T,♥J,♦J,♦3 | Pair
♣Q,♥T,♥J,♦J,♠5 | Pair
♣Q,♥T,♥J,♦J,♥6 | Pair
♣Q,♥3,♥J,♥9,♦J | Pair
♣Q,♥3,♥J,♥9,♦3 | Pair
♣Q,♥3,♥J,♣2,♦J | Pair
♣Q,♥3,♥J,♣2,♦3 | Pair
♣Q,♥3,♥J,♦J,♣K | Pair
♣Q,♥3,♥J,♦J,♦3 | Two Pairs
♣Q,♥3,♥J,♦J,♠5 | Pair
♣Q,♥3,♥J,♦J,♥6 | Pair
♣Q,♥3,♥J,♣K,♦3 | Pair
♣Q,♥3,♥J,♦3,♠5 | Pair
♣Q,♥3,♥J,♦3,♥6 | Pair
♣Q,♥3,♥9,♣2,♦3 | Pair
♣Q,♥3,♥9,♦J,♦3 | Pair
♣Q,♥3,♥9,♣K,♦3 | Pair
♣Q,♥3,♥9,♦3,♠5 | Pair
♣Q,♥3,♥9,♦3,♥6 | Pair
♣Q,♥3,♣2,♦J,♦3 | Pair
♣Q,♥3,♣2,♣K,♦3 | Pair
♣Q,♥3,♣2,♦3,♠5 | Pair
♣Q,♥3,♣2,♦3,♥6 | Pair
♣Q,♥3,♦J,♣K,♦3 | Pair
♣Q,♥3,♦J,♦3,♠5 | Pair
♣Q,♥3,♦J,♦3,♥6 | Pair
♣Q,♥3,♣K,♦3,♠5 | Pair
♣Q,♥3,♣K,♦3,♥6 | Pair
♣Q,♥3,♦3,♠5,♥6 | Pair
♣Q,♥J,♥9,♣2,♦J | Pair
♣Q,♥J,♥9,♦J,♣K | Pair
♣Q,♥J,♥9,♦J,♦3 | Pair
♣Q,♥J,♥9,♦J,♠5 | Pair
♣Q,♥J,♥9,♦J,♥6 | Pair
♣Q,♥J,♣2,♦J,♣K | Pair
♣Q,♥J,♣2,♦J,♦3 | Pair
♣Q,♥J,♣2,♦J,♠5 | Pair
♣Q,♥J,♣2,♦J,♥6 | Pair
♣Q,♥J,♦J,♣K,♦3 | Pair
♣Q,♥J,♦J,♣K,♠5 | Pair
♣Q,♥J,♦J,♣K,♥6 | Pair
♣Q,♥J,♦J,♦3,♠5 | Pair
♣Q,♥J,♦J,♦3,♥6 | Pair
♣Q,♥J,♦J,♠5,♥6 | Pair
♣4,♥T,♥3,♥J,♦J | Pair
♣4,♥T,♥3,♥J,♦3 | Pair
♣4,♥T,♥3,♥9,♦3 | Pair
♣4,♥T,♥3,♣2,♦3 | Pair
♣4,♥T,♥3,♦J,♦3 | Pair
♣4,♥T,♥3,♣K,♦3 | Pair
♣4,♥T,♥3,♦3,♠5 | Pair
♣4,♥T,♥3,♦3,♥6 | Pair
♣4,♥T,♥J,♥9,♦J | Pair
♣4,♥T,♥J,♣2,♦J | Pair
♣4,♥T,♥J,♦J,♣K | Pair
♣4,♥T,♥J,♦J,♦3 | Pair
♣4,♥T,♥J,♦J,♠5 | Pair
♣4,♥T,♥J,♦J,♥6 | Pair
♣4,♥3,♥J,♥9,♦J | Pair
♣4,♥3,♥J,♥9,♦3 | Pair
♣4,♥3,♥J,♣2,♦J | Pair
♣4,♥3,♥J,♣2,♦3 | Pair
♣4,♥3,♥J,♦J,♣K | Pair
♣4,♥3,♥J,♦J,♦3 | Two Pairs
♣4,♥3,♥J,♦J,♠5 | Pair
♣4,♥3,♥J,♦J,♥6 | Pair
♣4,♥3,♥J,♣K,♦3 | Pair
♣4,♥3,♥J,♦3,♠5 | Pair
♣4,♥3,♥J,♦3,♥6 | Pair
♣4,♥3,♥9,♣2,♦3 | Pair
♣4,♥3,♥9,♦J,♦3 | Pair
♣4,♥3,♥9,♣K,♦3 | Pair
♣4,♥3,♥9,♦3,♠5 | Pair
♣4,♥3,♥9,♦3,♥6 | Pair
♣4,♥3,♣2,♦J,♦3 | Pair
♣4,♥3,♣2,♣K,♦3 | Pair
♣4,♥3,♣2,♦3,♠5 | Pair
♣4,♥3,♣2,♦3,♥6 | Pair
♣4,♥3,♦J,♣K,♦3 | Pair
♣4,♥3,♦J,♦3,♠5 | Pair
♣4,♥3,♦J,♦3,♥6 | Pair
♣4,♥3,♣K,♦3,♠5 | Pair
♣4,♥3,♣K,♦3,♥6 | Pair
♣4,♥3,♦3,♠5,♥6 | Pair
♣4,♥J,♥9,♣2,♦J | Pair
♣4,♥J,♥9,♦J,♣K | Pair
♣4,♥J,♥9,♦J,♦3 | Pair
♣4,♥J,♥9,♦J,♠5 | Pair
♣4,♥J,♥9,♦J,♥6 | Pair
♣4,♥J,♣2,♦J,♣K | Pair
♣4,♥J,♣2,♦J,♦3 | Pair
♣4,♥J,♣2,♦J,♠5 | Pair
♣4,♥J,♣2,♦J,♥6 | Pair
♣4,♥J,♦J,♣K,♦3 | Pair
♣4,♥J,♦J,♣K,♠5 | Pair
♣4,♥J,♦J,♣K,♥6 | Pair
♣4,♥J,♦J,♦3,♠5 | Pair
♣4,♥J,♦J,♦3,♥6 | Pair
♣4,♥J,♦J,♠5,♥6 | Pair
♥T,♥3,♥J,♥9,♦J | Pair
♥T,♥3,♥J,♥9,♦3 | Pair
♥T,♥3,♥J,♥9,♥6 | Flush
♥T,♥3,♥J,♣2,♦J | Pair
♥T,♥3,♥J,♣2,♦3 | Pair
♥T,♥3,♥J,♦J,♣K | Pair
♥T,♥3,♥J,♦J,♦3 | Two Pairs
♥T,♥3,♥J,♦J,♠5 | Pair
♥T,♥3,♥J,♦J,♥6 | Pair
♥T,♥3,♥J,♣K,♦3 | Pair
♥T,♥3,♥J,♦3,♠5 | Pair
♥T,♥3,♥J,♦3,♥6 | Pair
♥T,♥3,♥9,♣2,♦3 | Pair
♥T,♥3,♥9,♦J,♦3 | Pair
♥T,♥3,♥9,♣K,♦3 | Pair
♥T,♥3,♥9,♦3,♠5 | Pair
♥T,♥3,♥9,♦3,♥6 | Pair
