♥K,♥A,♣4,♠K,♦8 | Pair
♥K,♥A,♣4,♠K,♥7 | Pair
♥K,♥A,♣4,♠K,♦T | Pair
♥K,♥A,♣4,♠K,♦A | Two Pairs
♥K,♥A,♣4,♠K,♣7 | Pair
♥K,♥A,♣4,♠K,♦K | Full House
♥K,♥A,♣4,♠K,♠7 | Pair
♥K,♥A,♣4,♠K,♦2 | Pair
♥K,♥A,♣4,♦8,♦A | Pair
♥K,♥A,♣4,♦8,♦K | Pair
♥K,♥A,♣4,♥7,♦A | Pair
♥K,♥A,♣4,♥7,♣7 | Pair
♥K,♥A,♣4,♥7,♦K | Pair
♥K,♥A,♣4,♥7,♠7 | Pair
♥K,♥A,♣4,♦T,♦A | Pair
♥K,♥A,♣4,♦T,♦K | Pair
♥K,♥A,♣4,♦A,♣7 | Pair
♥K,♥A,♣4,♦A,♦K | Two Pairs
♥K,♥A,♣4,♦A,♠7 | Pair
♥K,♥A,♣4,♦A,♦2 | Pair
♥K,♥A,♣4,♣7,♦K | Pair
♥K,♥A,♣4,♣7,♠7 | Pair
♥K,♥A,♣4,♦K,♠7 | Pair
♥K,♥A,♣4,♦K,♦2 | Pair
♥K,♥A,♠K,♦8,♥7 | Pair
♥K,♥A,♠K,♦8,♦T | Pair
♥K,♥A,♠K,♦8,♦A | Two Pairs
♥K,♥A,♠K,♦8,♣7 | Pair
♥K,♥A,♠K,♦8,♦K | Full House
♥K,♥A,♠K,♦8,♠7 | Pair
♥K,♥A,♠K,♦8,♦2 | Pair
♥K,♥A,♠K,♥7,♦T | Pair
♥K,♥A,♠K,♥7,♦A | Two Pairs
♥K,♥A,♠K,♥7,♣7 | Two Pairs
♥K,♥A,♠K,♥7,♦K | Full House
♥K,♥A,♠K,♥7,♠7 | Two Pairs
♥K,♥A,♠K,♥7,♦2 | Pair
♥K,♥A,♠K,♦T,♦A | Two Pairs
♥K,♥A,♠K,♦T,♣7 | Pair
♥K,♥A,♠K,♦T,♦K | Full House
♥K,♥A,♠K,♦T,♠7 | Pair
♥K,♥A,♠K,♦T,♦2 | Pair
♥K,♥A,♠K,♦A,♣7 | Two Pairs
♥K,♥A,♠K,♦A,♦K | Full House
♥K,♥A,♠K,♦A,♠7 | Two Pairs
♥K,♥A,♠K,♦A,♦2 | Two Pairs
♥K,♥A,♠K,♣7,♦K | Full House
♥K,♥A,♠K,♣7,♠7 | Two Pairs
♥K,♥A,♠K,♣7,♦2 | Pair
♥K,♥A,♠K,♦K,♠7 | Full House
♥K,♥A,♠K,♦K,♦2 | Full House
♥K,♥A,♠K,♠7,♦2 | Pair
♥K,♥A,♦8,♥7,♦A | Pair
♥K,♥A,♦8,♥7,♣7 | Pair
♥K,♥A,♦8,♥7,♦K | Pair
♥K,♥A,♦8,♥7,♠7 | Pair
