♥6,♥A,♠10,♣J,♥8 | Pair
♥6,♥A,♠10,♣J,♥8 | Pair
♥6,♥A,♠10,♣J,♥5 | Pair
♥6,♥A,♠10,♣J,♥5 | Pair
♥6,♥A,♠10,♣J,♣J | Pair
♥6,♥A,♠10,♣J,♣J | Three Of A Kind
♥6,♥A,♠10,♣J,♣J | Pair
♥6,♥A,♠10,♣J,♣J | Three Of A Kind
♥6,♥A,♠10,♣J,♣4 | Pair
♥6,♥A,♠10,♣J,♣4 | Pair
♥6,♥A,♠10,♣J,♣5 | Pair
♥6,♥A,♠10,♣J,♣5 | Pair
♥6,♥A,♠10,♣J,♦8 | Pair
♥6,♥A,♠10,♣J,♦8 | Pair
♥6,♥A,♠10,♣J,♦A | Pair
♥6,♥A,♠10,♣J,♦A | Three Of A Kind
♥6,♥A,♠10,♣J,♦A | Pair
♥6,♥A,♠10,♣J,♦A | Three Of A Kind
♥6,♥A,♠10,♣J,♠5 | Pair
♥6,♥A,♠10,♣J,♠5 | Pair
♥6,♥A,♠10,♥8,♣J | Pair
♥6,♥A,♠10,♥8,♣J | Pair
♥6,♥A,♠10,♥8,♦8 | Pair
♥6,♥A,♠10,♥8,♦8 | Pair
♥6,♥A,♠10,♥8,♦A | Pair
♥6,♥A,♠10,♥8,♦A | Pair
♥6,♥A,♠10,♥5,♣J | Pair
♥6,♥A,♠10,♥5,♣J | Pair
♥6,♥A,♠10,♥5,♣5 | Pair
♥6,♥A,♠10,♥5,♣5 | Pair
♥6,♥A,♠10,♥5,♦A | Pair
♥6,♥A,♠10,♥5,♦A | Pair
♥6,♥A,♠10,♥5,♠5 | Pair
♥6,♥A,♠10,♥5,♠5 | Pair
♥6,♥A,♠10,♣J,♣4 | Pair
♥6,♥A,♠10,♣J,♣4 | Pair
♥6,♥A,♠10,♣J,♣5 | Pair
♥6,♥A,♠10,♣J,♣5 | Pair
♥6,♥A,♠10,♣J,♦8 | Pair
♥6,♥A,♠10,♣J,♦8 | Pair
♥6,♥A,♠10,♣J,♦A | Pair
♥6,♥A,♠10,♣J,♦A | Three Of A Kind
♥6,♥A,♠10,♣J,♦A | Pair
♥6,♥A,♠10,♣J,♦A | Three Of A Kind
