♦Q,♦7,♦A,♠7,♠2 | Pair
♦Q,♦7,♦A,♠7,♣A | Two Pairs
♦Q,♦7,♦A,♠7,♣6 | Pair
♦Q,♦7,♦A,♠7,♠J | Pair
♦Q,♦7,♦A,♠7,♦K | Pair
♦Q,♦7,♦A,♠7,♥A | Two Pairs
♦Q,♦7,♦A,♠7,♦2 | Pair
♦Q,♦7,♦A,♠7,♥4 | Pair
♦Q,♦7,♦A,♠7,♥3 | Pair
♦Q,♦7,♦A,♠7,♦3 | Pair
♦Q,♦7,♦A,♠7,♣5 | Pair
♦Q,♦7,♦A,♠2,♣A | Pair
♦Q,♦7,♦A,♠2,♥A | Pair
♦Q,♦7,♦A,♠2,♦2 | Pair
♦Q,♦7,♦A,♣A,♣6 | Pair
♦Q,♦7,♦A,♣A,♠J | Pair
♦Q,♦7,♦A,♣A,♦K | Pair
♦Q,♦7,♦A,♣A,♥A | Pair
♦Q,♦7,♦A,♣A,♦2 | Pair
♦Q,♦7,♦A,♣A,♥4 | Pair
♦Q,♦7,♦A,♣A,♥3 | Pair
♦Q,♦7,♦A,♣A,♦3 | Pair
♦Q,♦7,♦A,♣A,♣5 | Pair
♦Q,♦7,♦A,♣6,♥A | Pair
♦Q,♦7,♦A,♠J,♥A | Pair
♦Q,♦7,♦A,♦K,♥A | Pair
♦Q,♦7,♦A,♦K,♦2 | Flush
♦Q,♦7,♦A,♦K,♦3 | Flush
♦Q,♦7,♦A,♥A,♦2 | Pair
♦Q,♦7,♦A,♥A,♥4 | Pair
♦Q,♦7,♦A,♥A,♥3 | Pair
♦Q,♦7,♦A,♥A,♦3 | Pair
♦Q,♦7,♦A,♥A,♣5 | Pair
♦Q,♦7,♦A,♦2,♦3 | Flush
♦Q,♦7,♦A,♥3,♦3 | Pair
♦Q,♦7,♠7,♠2,♣A | Pair
♦Q,♦7,♠7,♠2,♣6 | Pair
♦Q,♦7,♠7,♠2,♠J | Pair
♦Q,♦7,♠7,♠2,♦K | Pair
♦Q,♦7,♠7,♠2,♥A | Pair
♦Q,♦7,♠7,♠2,♦2 | Two Pairs
♦Q,♦7,♠7,♠2,♥4 | Pair
♦Q,♦7,♠7,♠2,♥3 | Pair
♦Q,♦7,♠7,♠2,♦3 | Pair
♦Q,♦7,♠7,♠2,♣5 | Pair
♦Q,♦7,♠7,♣A,♣6 | Pair
♦Q,♦7,♠7,♣A,♠J | Pair
♦Q,♦7,♠7,♣A,♦K | Pair
♦Q,♦7,♠7,♣A,♥A | Two Pairs
♦Q,♦7,♠7,♣A,♦2 | Pair
♦Q,♦7,♠7,♣A,♥4 | Pair
♦Q,♦7,♠7,♣A,♥3 | Pair
♦Q,♦7,♠7,♣A,♦3 | Pair
♦Q,♦7,♠7,♣A,♣5 | Pair
♦Q,♦7,♠7,♣6,♠J | Pair
♦Q,♦7,♠7,♣6,♦K | Pair
♦Q,♦7,♠7,♣6,♥A | Pair
♦Q,♦7,♠7,♣6,♦2 | Pair
♦Q,♦7,♠7,♣6,♥4 | Pair
♦Q,♦7,♠7,♣6,♥3 | Pair
♦Q,♦7,♠7,♣6,♦3 | Pair
♦Q,♦7,♠7,♣6,♣5 | Pair
♦Q,♦7,♠7,♠J,♦K | Pair
♦Q,♦7,♠7,♠J,♥A | Pair
♦Q,♦7,♠7,♠J,♦2 | Pair
♦Q,♦7,♠7,♠J,♥4 | Pair
♦Q,♦7,♠7,♠J,♥3 | Pair
♦Q,♦7,♠7,♠J,♦3 | Pair
♦Q,♦7,♠7,♠J,♣5 | Pair
♦Q,♦7,♠7,♦K,♥A | Pair
♦Q,♦7,♠7,♦K,♦2 | Pair
♦Q,♦7,♠7,♦K,♥4 | Pair
♦Q,♦7,♠7,♦K,♥3 | Pair
♦Q,♦7,♠7,♦K,♦3 | Pair
♦Q,♦7,♠7,♦K,♣5 | Pair
♦Q,♦7,♠7,♥A,♦2 | Pair
