♥2, ♠Q, ♣8, ♠7, ♥8 | pair
♥2, ♠Q, ♣8, ♠7, ♣7 | pair
♥2, ♠Q, ♣8, ♠7, ♣Q | pair
♥2, ♠Q, ♣8, ♠7, ♦8 | pair
♥2, ♠Q, ♣8, ♦6, ♥6 | pair
♥2, ♠Q, ♣8, ♦6, ♥8 | pair
♥2, ♠Q, ♣8, ♦6, ♣Q | pair
♥2, ♠Q, ♣8, ♦6, ♦8 | pair
♥2, ♠Q, ♣8, ♥6, ♥8 | pair
♥2, ♠Q, ♣8, ♥6, ♣Q | pair
♥2, ♠Q, ♣8, ♥6, ♦8 | pair
♥2, ♠Q, ♣8, ♠5, ♥8 | pair
♥2, ♠Q, ♣8, ♠5, ♣Q | pair
♥2, ♠Q, ♣8, ♠5, ♦8 | pair
♥2, ♠Q, ♣8, ♥8, ♣7 | pair
♥2, ♠Q, ♣8, ♥8, ♣Q | two pairs
♥2, ♠Q, ♣8, ♥8, ♦8 | three of a kind
♥2, ♠Q, ♣8, ♣7, ♣Q | pair
♥2, ♠Q, ♣8, ♣7, ♦8 | pair
♥2, ♠Q, ♣8, ♣Q, ♦8 | two pairs
♥2, ♠Q, ♠7, ♦6, ♥6 | pair
♥2, ♠Q, ♠7, ♦6, ♣7 | pair
♥2, ♠Q, ♠7, ♦6, ♣Q | pair
♥2, ♠Q, ♠7, ♥6, ♣7 | pair
♥2, ♠Q, ♠7, ♥6, ♣Q | pair
♥2, ♠Q, ♠7, ♠5, ♣7 | pair
♥2, ♠Q, ♠7, ♠5, ♣Q | pair
♥2, ♠Q, ♠7, ♥8, ♣7 | pair
♥2, ♠Q, ♠7, ♥8, ♣Q | pair
♥2, ♠Q, ♠7, ♥8, ♦8 | pair
♥2, ♠Q, ♠7, ♣7, ♣Q | two pairs
♥2, ♠Q, ♠7, ♣7, ♦8 | pair
♥2, ♠Q, ♠7, ♣Q, ♦8 | pair
♥2, ♠Q, ♦6, ♥6, ♠5 | pair
