♠A, ♥J, ♦5, ♦7, ♦A | pair
♠A, ♥J, ♦5, ♦7, ♥7 | pair
♠A, ♥J, ♦5, ♦A, ♥K | pair
♠A, ♥J, ♦5, ♦A, ♦9 | pair
♠A, ♥J, ♦5, ♦A, ♦10 | pair
♠A, ♥J, ♦5, ♦A, ♥7 | pair
♠A, ♥J, ♦5, ♦A, ♣10 | pair
♠A, ♥J, ♦5, ♦10, ♣10 | pair
♠A, ♥J, ♦7, ♦A, ♥K | pair
♠A, ♥J, ♦7, ♦A, ♦9 | pair
♠A, ♥J, ♦7, ♦A, ♦10 | pair
♠A, ♥J, ♦7, ♦A, ♥7 | two pairs
♠A, ♥J, ♦7, ♦A, ♣10 | pair
♠A, ♥J, ♦7, ♥K, ♥7 | pair
♠A, ♥J, ♦7, ♦9, ♥7 | pair
♠A, ♥J, ♦7, ♦10, ♥7 | pair
♠A, ♥J, ♦7, ♦10, ♣10 | pair
♠A, ♥J, ♦7, ♥7, ♣10 | pair
♠A, ♥J, ♦A, ♥K, ♦9 | pair
♠A, ♥J, ♦A, ♥K, ♦10 | pair
♠A, ♥J, ♦A, ♥K, ♥7 | pair
♠A, ♥J, ♦A, ♥K, ♣10 | pair
♠A, ♥J, ♦A, ♦9, ♦10 | pair
♠A, ♥J, ♦A, ♦9, ♥7 | pair
♠A, ♥J, ♦A, ♦9, ♣10 | pair
♠A, ♥J, ♦A, ♦10, ♥7 | pair
♠A, ♥J, ♦A, ♦10, ♣10 | two pairs
♠A, ♥J, ♦A, ♥7, ♣10 | pair
♠A, ♥J, ♥K, ♦10, ♣10 | pair
♠A, ♥J, ♦9, ♦10, ♣10 | pair
♠A, ♥J, ♦10, ♥7, ♣10 | pair
♠A, ♦5, ♦7, ♦A, ♥K | pair
♠A, ♦5, ♦7, ♦A, ♦9 | pair
♠A, ♦5, ♦7, ♦A, ♦10 | pair
♠A, ♦5, ♦7, ♦A, ♥7 | two pairs
♠A, ♦5, ♦7, ♦A, ♣10 | pair
♠A, ♦5, ♦7, ♥K, ♥7 | pair
♠A, ♦5, ♦7, ♦9, ♥7 | pair
♠A, ♦5, ♦7, ♦10, ♥7 | pair
♠A, ♦5, ♦7, ♦10, ♣10 | pair
♠A, ♦5, ♦7, ♥7, ♣10 | pair
♠A, ♦5, ♦A, ♥K, ♦9 | pair
♠A, ♦5, ♦A, ♥K, ♦10 | pair
♠A, ♦5, ♦A, ♥K, ♥7 | pair
♠A, ♦5, ♦A, ♥K, ♣10 | pair
♠A, ♦5, ♦A, ♦9, ♦10 | pair
♠A, ♦5, ♦A, ♦9, ♥7 | pair
♠A, ♦5, ♦A, ♦9, ♣10 | pair
♠A, ♦5, ♦A, ♦10, ♥7 | pair
♠A, ♦5, ♦A, ♦10, ♣10 | two pairs
♠A, ♦5, ♦A, ♥7, ♣10 | pair
♠A, ♦5, ♥K, ♦10, ♣10 | pair
♠A, ♦5, ♦9, ♦10, ♣10 | pair
♠A, ♦5, ♦10, ♥7, ♣10 | pair
♠A, ♦7, ♦A, ♥K, ♦9 | pair
♠A, ♦7, ♦A, ♥K, ♦10 | pair
♠A, ♦7, ♦A, ♥K, ♥7 | two pairs
♠A, ♦7, ♦A, ♥K, ♣10 | pair
♠A, ♦7, ♦A, ♦9, ♦10 | pair
♠A, ♦7, ♦A, ♦9, ♥7 | two pairs
♠A, ♦7, ♦A, ♦9, ♣10 | pair
♠A, ♦7, ♦A, ♦10, ♥7 | two pairs
♠A, ♦7, ♦A, ♦10, ♣10 | two pairs
♠A, ♦7, ♦A, ♥7, ♣10 | two pairs
♠A, ♦7, ♥K, ♦9, ♥7 | pair
♠A, ♦7, ♥K, ♦10, ♥7 | pair
♠A, ♦7, ♥K, ♦10, ♣10 | pair
♠A, ♦7, ♥K, ♥7, ♣10 | pair
♠A, ♦7, ♦9, ♦10, ♥7 | pair
♠A, ♦7, ♦9, ♦10, ♣10 | pair
♠A, ♦7, ♦9, ♥7, ♣10 | pair
♠A, ♦7, ♦10, ♥7, ♣10 | two pairs
