♠J,♣6,♦9,♠8,♦8 | Pair
♠J,♣6,♦9,♠8,♣8 | Pair
♠J,♣6,♦9,♠8,♣9 | Pair
♠J,♣6,♦9,♦8,♣8 | Pair
♠J,♣6,♦9,♦8,♣9 | Pair
♠J,♣6,♦9,♥Q,♣9 | Pair
♠J,♣6,♦9,♠T,♣9 | Pair
♠J,♣6,♦9,♣8,♣9 | Pair
♠J,♣6,♠8,♦8,♥Q | Pair
♠J,♣6,♠8,♦8,♠T | Pair
♠J,♣6,♠8,♦8,♣8 | Full House
♠J,♣6,♠8,♦8,♣9 | Pair
♠J,♣6,♠8,♥Q,♣8 | Pair
♠J,♣6,♠8,♠T,♣8 | Pair
♠J,♣6,♠8,♣8,♣9 | Pair
♠J,♣6,♦8,♥Q,♣8 | Pair
♠J,♣6,♦8,♠T,♣8 | Pair
♠J,♣6,♦8,♣8,♣9 | Pair
♠J,♦9,♠8,♦8,♥Q | Pair
♠J,♦9,♠8,♦8,♠T | Pair
♠J,♦9,♠8,♦8,♣8 | Full House
♠J,♦9,♠8,♦8,♣9 | Two Pairs
♠J,♦9,♠8,♥Q,♣8 | Pair
♠J,♦9,♠8,♥Q,♣9 | Pair
♠J,♦9,♠8,♠T,♣8 | Pair
♠J,♦9,♠8,♠T,♣9 | Pair
♠J,♦9,♠8,♣8,♣9 | Two Pairs
♠J,♦9,♦8,♥Q,♣8 | Pair
♠J,♦9,♦8,♥Q,♣9 | Pair
♠J,♦9,♦8,♠T,♣8 | Pair
♠J,♦9,♦8,♠T,♣9 | Pair
♠J,♦9,♦8,♣8,♣9 | Two Pairs
♠J,♦9,♥Q,♠T,♣9 | Pair
♠J,♦9,♥Q,♣8,♣9 | Pair
♠J,♦9,♠T,♣8,♣9 | Pair
♠J,♠8,♦8,♥Q,♠T | Pair
♠J,♠8,♦8,♥Q,♣8 | Full House
♠J,♠8,♦8,♥Q,♣9 | Pair
♠J,♠8,♦8,♠T,♣8 | Full House
♠J,♠8,♦8,♠T,♣9 | Pair
♠J,♠8,♦8,♣8,♣9 | Full House
♠J,♠8,♥Q,♠T,♣8 | Pair
♠J,♠8,♥Q,♣8,♣9 | Pair
♠J,♠8,♠T,♣8,♣9 | Pair
♠J,♦8,♥Q,♠T,♣8 | Pair
♠J,♦8,♥Q,♣8,♣9 | Pair
♠J,♦8,♠T,♣8,♣9 | Pair
♣6,♦9,♠8,♦8,♥Q | Pair
♣6,♦9,♠8,♦8,♠T | Pair
♣6,♦9,♠8,♦8,♣8 | Full House
♣6,♦9,♠8,♦8,♣9 | Two Pairs
♣6,♦9,♠8,♥Q,♣8 | Pair
♣6,♦9,♠8,♥Q,♣9 | Pair
♣6,♦9,♠8,♠T,♣8 | Pair
♣6,♦9,♠8,♠T,♣9 | Pair
♣6,♦9,♠8,♣8,♣9 | Two Pairs
♣6,♦9,♦8,♥Q,♣8 | Pair
♣6,♦9,♦8,♥Q,♣9 | Pair
♣6,♦9,♦8,♠T,♣8 | Pair
♣6,♦9,♦8,♠T,♣9 | Pair
♣6,♦9,♦8,♣8,♣9 | Two Pairs
♣6,♦9,♥Q,♠T,♣9 | Pair
♣6,♦9,♥Q,♣8,♣9 | Pair
♣6,♦9,♠T,♣8,♣9 | Pair
♣6,♠8,♦8,♥Q,♠T | Pair
♣6,♠8,♦8,♥Q,♣8 | Full House
♣6,♠8,♦8,♥Q,♣9 | Pair
♣6,♠8,♦8,♠T,♣8 | Full House
♣6,♠8,♦8,♠T,♣9 | Pair
♣6,♠8,♦8,♣8,♣9 | Full House
♣6,♠8,♥Q,♠T,♣8 | Pair
♣6,♠8,♥Q,♣8,♣9 | Pair
♣6,♠8,♠T,♣8,♣9 | Pair
♣6,♦8,♥Q,♠T,♣8 | Pair
♣6,♦8,♥Q,♣8,♣9 | Pair
♣6,♦8,♠T,♣8,♣9 | Pair
♦9,♠8,♦8,♥Q,♠T | Pair
♦9,♠8,♦8,♥Q,♣8 | Full House
♦9,♠8,♦8,♥Q,♣9 | Two Pairs
♦9,♠8,♦8,♠T,♣8 | Full House
♦9,♠8,♦8,♠T,♣9 | Two Pairs
♦9,♠8,♦8,♣8,♣9 | Full House
♦9,♠8,♥Q,♠T,♣8 | Pair
♦9,♠8,♥Q,♠T,♣9 | Pair
♦9,♠8,♥Q,♣8,♣9 | Two Pairs
♦9,♠8,♠T,♣8,♣9 | Two Pairs
♦9,♦8,♥Q,♠T,♣8 | Pair
♦9,♦8,♥Q,♠T,♣9 | Pair
♦9,♦8,♥Q,♣8,♣9 | Two Pairs
♦9,♦8,♠T,♣8,♣9 | Two Pairs
♦9,♥Q,♠T,♣8,♣9 | Pair
♠8,♦8,♥Q,♠T,♣8 | Full House
♠8,♦8,♥Q,♠T,♣9 | Pair
♠8,♦8,♥Q,♣8,♣9 | Full House
♠8,♦8,♠T,♣8,♣9 | Full House
♠8,♥Q,♠T,♣8,♣9 | Pair
♦8,♥Q,♠T,♣8,♣9 | Pair
