♥A,♥K,♠K,♠7,♦4 | Pair
♥A,♥K,♠K,♠7,♦T | Pair
♥A,♥K,♠K,♠7,♦5 | Pair
♥A,♥K,♠K,♠7,♦7 | Two Pairs
♥A,♥K,♠K,♠7,♥8 | Pair
♥A,♥K,♠K,♠7,♦K | Full House
♥A,♥K,♠K,♦4,♦T | Pair
♥A,♥K,♠K,♦4,♦5 | Pair
♥A,♥K,♠K,♦4,♦7 | Pair
♥A,♥K,♠K,♦4,♥8 | Pair
♥A,♥K,♠K,♦4,♦K | Full House
♥A,♥K,♠K,♦T,♦5 | Pair
♥A,♥K,♠K,♦T,♦7 | Pair
♥A,♥K,♠K,♦T,♥8 | Pair
♥A,♥K,♠K,♦T,♦K | Full House
♥A,♥K,♠K,♦5,♦7 | Pair
♥A,♥K,♠K,♦5,♥8 | Pair
♥A,♥K,♠K,♦5,♦K | Full House
♥A,♥K,♠K,♦7,♥8 | Pair
♥A,♥K,♠K,♦7,♦K | Full House
♥A,♥K,♠K,♥8,♦K | Full House
♥A,♥K,♠7,♦4,♦7 | Pair
♥A,♥K,♠7,♦4,♦K | Pair
♥A,♥K,♠7,♦T,♦7 | Pair
♥A,♥K,♠7,♦T,♦K | Pair
♥A,♥K,♠7,♦5,♦7 | Pair
♥A,♥K,♠7,♦5,♦K | Pair
♥A,♥K,♠7,♦7,♥8 | Pair
♥A,♥K,♠7,♦7,♦K | Two Pairs
♥A,♥K,♠7,♥8,♦K | Pair
♥A,♥K,♦4,♦T,♦K | Pair
♥A,♥K,♦4,♦5,♦K | Pair
♥A,♥K,♦4,♦7,♦K | Pair
♥A,♥K,♦4,♥8,♦K | Pair
♥A,♥K,♦T,♦5,♦K | Pair
♥A,♥K,♦T,♦7,♦K | Pair
♥A,♥K,♦T,♥8,♦K | Pair
♥A,♥K,♦5,♦7,♦K | Pair
♥A,♥K,♦5,♥8,♦K | Pair
♥A,♥K,♦7,♥8,♦K | Pair
♥A,♠K,♠7,♦4,♦7 | Pair
♥A,♠K,♠7,♦4,♦K | Pair
♥A,♠K,♠7,♦T,♦7 | Pair
♥A,♠K,♠7,♦T,♦K | Pair
♥A,♠K,♠7,♦5,♦7 | Pair
♥A,♠K,♠7,♦5,♦K | Pair
♥A,♠K,♠7,♦7,♥8 | Pair
♥A,♠K,♠7,♦7,♦K | Two Pairs
♥A,♠K,♠7,♥8,♦K | Pair
♥A,♠K,♦4,♦T,♦K | Pair
♥A,♠K,♦4,♦5,♦K | Pair
♥A,♠K,♦4,♦7,♦K | Pair
♥A,♠K,♦4,♥8,♦K | Pair
♥A,♠K,♦T,♦5,♦K | Pair
♥A,♠K,♦T,♦7,♦K | Pair
♥A,♠K,♦T,♥8,♦K | Pair
♥A,♠K,♦5,♦7,♦K | Pair
♥A,♠K,♦5,♥8,♦K | Pair
♥A,♠K,♦7,♥8,♦K | Pair
♥A,♠7,♦4,♦T,♦7 | Pair
♥A,♠7,♦4,♦5,♦7 | Pair
♥A,♠7,♦4,♦7,♥8 | Pair
♥A,♠7,♦4,♦7,♦K | Pair
♥A,♠7,♦T,♦5,♦7 | Pair
♥A,♠7,♦T,♦7,♥8 | Pair
♥A,♠7,♦T,♦7,♦K | Pair
♥A,♠7,♦5,♦7,♥8 | Pair
♥A,♠7,♦5,♦7,♦K | Pair
♥A,♠7,♦7,♥8,♦K | Pair
♥K,♠K,♠7,♦4,♦T | Pair
♥K,♠K,♠7,♦4,♦5 | Pair
♥K,♠K,♠7,♦4,♦7 | Two Pairs
♥K,♠K,♠7,♦4,♥8 | Pair
♥K,♠K,♠7,♦4,♦K | Full House
♥K,♠K,♠7,♦T,♦5 | Pair
♥K,♠K,♠7,♦T,♦7 | Two Pairs
♥K,♠K,♠7,♦T,♥8 | Pair
♥K,♠K,♠7,♦T,♦K | Full House
♥K,♠K,♠7,♦5,♦7 | Two Pairs
♥K,♠K,♠7,♦5,♥8 | Pair
♥K,♠K,♠7,♦5,♦K | Full House
♥K,♠K,♠7,♦7,♥8 | Two Pairs
♥K,♠K,♠7,♦7,♦K | Full House
♥K,♠K,♠7,♥8,♦K | Full House
♥K,♠K,♦4,♦T,♦5 | Pair
