♣2,♣6,♦5,♦6,♥A | Pair
♣2,♣6,♦5,♦6,♣J | Pair
♣2,♣6,♦5,♦6,♥K | Pair
♣2,♣6,♦5,♦6,♥4 | Pair
♣2,♣6,♦5,♦6,♣2 | Pair
♣2,♣6,♦5,♦6,♣2 | Pair
♣2,♣6,♦5,♦6,♠J | Pair
♣2,♣6,♦5,♦6,♣J | Pair
♣2,♣6,♦5,♥A,♣J | Pair
♣2,♣6,♦5,♥A,♥K | Pair
♣2,♣6,♦5,♥A,♣2 | Pair
♣2,♣6,♦5,♥A,♠J | Pair
♣2,♣6,♦5,♥A,♣J | Pair
♣2,♣6,♦5,♣J,♥K | Pair
♣2,♣6,♦5,♣J,♣2 | Pair
♣2,♣6,♦5,♣J,♠J | Pair
♣2,♣6,♦5,♣J,♣J | Pair
♣2,♣6,♦5,♥K,♣2 | Pair
♣2,♣6,♦5,♥K,♠J | Pair
♣2,♣6,♦5,♥K,♣J | Pair
♣2,♣6,♦5,♥4,♣2 | Pair
♣2,♣6,♦5,♣2,♠J | Pair
♣2,♣6,♦5,♣2,♣J | Pair
♣2,♣6,♦5,♠J,♣J | Pair
♣2,♣6,♦6,♥A,♣J | Pair
♣2,♣6,♦6,♥A,♣J | Pair
♣2,♣6,♦6,♥A,♥K | Pair
♣2,♣6,♦6,♥A,♥K | Pair
♣2,♣6,♦6,♥A,♥4 | Pair
♣2,♣6,♦6,♥A,♣2 | Pair
♣2,♣6,♦6,♥A,♣2 | Pair
♣2,♣6,♦6,♥A,♠J | Pair
♣2,♣6,♦6,♥A,♠J | Pair
♣2,♣6,♦6,♥A,♣J | Pair
♣2,♣6,♦6,♥A,♣J | Pair
♣2,♣6,♦6,♣J,♥K | Pair
♣2,♣6,♦6,♣J,♥K | Pair
♣2,♣6,♦6,♣J,♥4 | Pair
♣2,♣6,♦6,♣J,♣2 | Pair
♣2,♣6,♦6,♣J,♣2 | Pair
♣2,♣6,♦6,♣J,♠J | Pair
♣2,♣6,♦6,♣J,♠J | Pair
♣2,♣6,♦6,♣J,♣J | Pair
♣2,♣6,♦6,♣J,♣J | Pair
♣2,♣6,♦6,♥K,♥4 | Pair
♣2,♣6,♦6,♥K,♣2 | Pair
♣2,♣6,♦6,♥K,♣2 | Pair
♣2,♣6,♦6,♥K,♠J | Pair
♣2,♣6,♦6,♥K,♠J | Pair
♣2,♣6,♦6,♥K,♣J | Pair
♣2,♣6,♦6,♥K,♣J | Pair
♣2,♣6,♦6,♥4,♣2 | Pair
♣2,♣6,♦6,♥4,♣2 | Pair
♣2,♣6,♦6,♥4,♠J | Pair
♣2,♣6,♦6,♥4,♣J | Pair
♣2,♣6,♦6,♣2,♠J | Pair
♣2,♣6,♦6,♣2,♠J | Pair
♣2,♣6,♦6,♣2,♣J | Pair
♣2,♣6,♦6,♣2,♣J | Pair
♣2,♣6,♦6,♠J,♣J | Pair
♣2,♣6,♦6,♠J,♣J | Pair
♣2,♣6,♥A,♣J,♥K | Pair
♣2,♣6,♥A,♣J,♥K | Three Of A Kind
♣2,♣6,♥A,♣J,♥4 | Pair
♣2,♣6,♥A,♣J,♣2 | Pair
♣2,♣6,♥A,♣J,♣2 | Pair
♣2,♣6,♥A,♣J,♠J | Pair
♣2,♣6,♥A,♣J,♠J | Three Of A Kind
♣2,♣6,♥A,♣J,♣J | Pair
♣2,♣6,♥A,♣J,♣J | Three Of A Kind
♣2,♣6,♥A,♥K,♥4 | Pair
♣2,♣6,♥A,♥K,♣2 | Pair
♣2,♣6,♥A,♥K,♣2 | Pair
♣2,♣6,♥A,♥K,♠J | Pair
♣2,♣6,♥A,♥K,♠J | Three Of A Kind
♣2,♣6,♥A,♥K,♣J | Pair
♣2,♣6,♥A,♥K,♣J | Three Of A Kind
♣2,♣6,♥A,♥4,♣2 | Pair
♣2,♣6,♥A,♥4,♠J | Pair
♣2,♣6,♥A,♥4,♣J | Pair
♣2,♣6,♥A,♣2,♠J | Pair
♣2,♣6,♥A,♣2,♠J | Pair
♣2,♣6,♥A,♣2,♣J | Pair
♣2,♣6,♥A,♣2,♣J | Pair
♣2,♣6,♥A,♠J,♣J | Pair
♣2,♣6,♥A,♠J,♣J | Three Of A Kind
♣2,♣6,♣J,♥K,♥4 | Pair
♣2,♣6,♣J,♥K,♣2 | Pair
♣2,♣6,♣J,♥K,♣2 | Pair
♣2,♣6,♣J,♥K,♠J | Pair
♣2,♣6,♣J,♥K,♠J | Three Of A Kind
♣2,♣6,♣J,♥K,♣J | Pair
♣2,♣6,♣J,♥K,♣J | Three Of A Kind
♣2,♣6,♣J,♥4,♣2 | Pair
♣2,♣6,♣J,♥4,♠J | Pair
♣2,♣6,♣J,♥4,♣J | Pair
♣2,♣6,♣J,♣2,♠J | Pair
♣2,♣6,♣J,♣2,♠J | Pair
♣2,♣6,♣J,♣2,♣J | Pair
♣2,♣6,♣J,♣2,♣J | Pair
♣2,♣6,♣J,♠J,♣J | Pair
♣2,♣6,♣J,♠J,♣J | Three Of A Kind
♣2,♣6,♥K,♥4,♣2 | Pair
♣2,♣6,♥K,♥4,♠J | Pair
♣2,♣6,♥K,♥4,♣J | Pair
♣2,♣6,♥K,♣2,♠J | Pair
♣2,♣6,♥K,♣2,♠J | Pair
♣2,♣6,♥K,♣2,♣J | Pair
♣2,♣6,♥K,♣2,♣J | Pair
♣2,♣6,♥K,♠J,♣J | Pair
♣2,♣6,♥K,♠J,♣J | Three Of A Kind
♣2,♣6,♥4,♣2,♠J | Pair
♣2,♣6,♥4,♣2,♣J | Pair
♣2,♣6,♥4,♠J,♣J | Pair
♣2,♣6,♣2,♠J,♣J | Pair
♣2,♣6,♣2,♠J,♣J | Pair
♣2,♦5,♦6,♥A,♣J | Pair
♣2,♦5,♦6,♥A,♥K | Pair
♣2,♦5,♦6,♥A,♣2 | Pair
♣2,♦5,♦6,♥A,♠J | Pair
♣2,♦5,♦6,♥A,♣J | Pair
♣2,♦5,♦6,♣J,♥K | Pair
♣2,♦5,♦6,♣J,♣2 | Pair
♣2,♦5,♦6,♣J,♠J | Pair
♣2,♦5,♦6,♣J,♣J | Pair
♣2,♦5,♦6,♥K,♣2 | Pair
♣2,♦5,♦6,♥K,♠J | Pair
♣2,♦5,♦6,♥K,♣J | Pair
♣2,♦5,♦6,♥4,♣2 | Pair
♣2,♦5,♦6,♣2,♠J | Pair
♣2,♦5,♦6,♣2,♣J | Pair
♣2,♦5,♦6,♠J,♣J | Pair
♣2,♦5,♥A,♣J,♥K | Pair
♣2,♦5,♥A,♣J,♥K | Three Of A Kind
♣2,♦5,♥A,♣J,♥4 | Pair
♣2,♦5,♥A,♣J,♣2 | Pair
♣2,♦5,♥A,♣J,♣2 | Pair
♣2,♦5,♥A,♣J,♠J | Pair
♣2,♦5,♥A,♣J,♠J | Three Of A Kind
♣2,♦5,♥A,♣J,♣J | Pair
♣2,♦5,♥A,♣J,♣J | Three Of A Kind
♣2,♦5,♥A,♥K,♥4 | Pair
♣2,♦5,♥A,♥K,♣2 | Pair
♣2,♦5,♥A,♥K,♣2 | Pair
♣2,♦5,♥A,♥K,♠J | Pair
♣2,♦5,♥A,♥K,♠J | Three Of A Kind
♣2,♦5,♥A,♥K,♣J | Pair
♣2,♦5,♥A,♥K,♣J | Three Of A Kind
