♠8,♣4,♥9,♣J,♠J | Pair
♠8,♣4,♥9,♠3,♣3 | Pair
♠8,♣4,♥9,♦T,♣T | Pair
♠8,♣4,♥9,♣6,♦6 | Pair
♠8,♣4,♣J,♠3,♣3 | Pair
♠8,♣4,♣J,♠3,♠J | Pair
♠8,♣4,♣J,♦T,♠J | Pair
♠8,♣4,♣J,♦T,♣T | Pair
♠8,♣4,♣J,♣6,♦6 | Pair
♠8,♣4,♣J,♣6,♠J | Pair
♠8,♣4,♣J,♠Q,♠J | Pair
♠8,♣4,♣J,♦6,♠J | Pair
♠8,♣4,♣J,♠5,♠J | Pair
♠8,♣4,♣J,♣3,♠J | Pair
♠8,♣4,♣J,♠J,♣T | Pair
♠8,♣4,♠3,♦T,♣3 | Pair
♠8,♣4,♠3,♦T,♣T | Pair
♠8,♣4,♠3,♣6,♦6 | Pair
♠8,♣4,♠3,♣6,♣3 | Pair
♠8,♣4,♠3,♠Q,♣3 | Pair
♠8,♣4,♠3,♦6,♣3 | Pair
♠8,♣4,♠3,♠5,♣3 | Pair
♠8,♣4,♠3,♣3,♠J | Pair
♠8,♣4,♠3,♣3,♣T | Pair
♠8,♣4,♦T,♣6,♦6 | Pair
♠8,♣4,♦T,♣6,♣T | Pair
♠8,♣4,♦T,♠Q,♣T | Pair
♠8,♣4,♦T,♦6,♣T | Pair
♠8,♣4,♦T,♠5,♣T | Pair
♠8,♣4,♦T,♣3,♣T | Pair
♠8,♣4,♦T,♠J,♣T | Pair
♠8,♣4,♣6,♠Q,♦6 | Pair
♠8,♣4,♣6,♦6,♠5 | Pair
♠8,♣4,♣6,♦6,♣3 | Pair
♠8,♣4,♣6,♦6,♠J | Pair
♠8,♣4,♣6,♦6,♣T | Pair
♠8,♥9,♣J,♠3,♣3 | Pair
♠8,♥9,♣J,♠3,♠J | Pair
♠8,♥9,♣J,♦T,♠J | Pair
♠8,♥9,♣J,♦T,♣T | Pair
♠8,♥9,♣J,♣6,♦6 | Pair
♠8,♥9,♣J,♣6,♠J | Pair
♠8,♥9,♣J,♠Q,♠J | Pair
♠8,♥9,♣J,♦6,♠J | Pair
♠8,♥9,♣J,♠5,♠J | Pair
