♥9, ♥3, ♦10, ♠J, ♥J | pair
♥9, ♥3, ♦5, ♠J, ♥J | pair
♥9, ♥3, ♥8, ♠J, ♥J | pair
♥9, ♥3, ♠J, ♠2, ♥J | pair
♥9, ♥3, ♠J, ♠7, ♥J | pair
♥9, ♥3, ♠J, ♣6, ♥J | pair
♥9, ♦10, ♦5, ♠J, ♥J | pair
♥9, ♦10, ♥8, ♠J, ♠7 | straight
♥9, ♦10, ♥8, ♠J, ♥J | pair
♥9, ♦10, ♥8, ♠7, ♣6 | straight
♥9, ♦10, ♥8, ♠7, ♥J | straight
♥9, ♦10, ♠J, ♠2, ♥J | pair
♥9, ♦10, ♠J, ♠7, ♥J | pair
♥9, ♦10, ♠J, ♣6, ♥J | pair
♥9, ♦5, ♥8, ♠J, ♥J | pair
♥9, ♦5, ♥8, ♠7, ♣6 | straight
♥9, ♦5, ♠J, ♠2, ♥J | pair
♥9, ♦5, ♠J, ♠7, ♥J | pair
♥9, ♦5, ♠J, ♣6, ♥J | pair
♥9, ♥8, ♠J, ♠2, ♥J | pair
♥9, ♥8, ♠J, ♠7, ♥J | pair
♥9, ♥8, ♠J, ♣6, ♥J | pair
♥9, ♠J, ♠2, ♠7, ♥J | pair
♥9, ♠J, ♠2, ♣6, ♥J | pair
♥9, ♠J, ♠7, ♣6, ♥J | pair
♥3, ♦10, ♦5, ♠J, ♥J | pair
♥3, ♦10, ♥8, ♠J, ♥J | pair
♥3, ♦10, ♠J, ♠2, ♥J | pair
♥3, ♦10, ♠J, ♠7, ♥J | pair
♥3, ♦10, ♠J, ♣6, ♥J | pair
♥3, ♦5, ♥8, ♠J, ♥J | pair
♥3, ♦5, ♠J, ♠2, ♥J | pair
♥3, ♦5, ♠J, ♠7, ♥J | pair
♥3, ♦5, ♠J, ♣6, ♥J | pair
♥3, ♥8, ♠J, ♠2, ♥J | pair
♥3, ♥8, ♠J, ♠7, ♥J | pair
♥3, ♥8, ♠J, ♣6, ♥J | pair
♥3, ♠J, ♠2, ♠7, ♥J | pair
♥3, ♠J, ♠2, ♣6, ♥J | pair
♥3, ♠J, ♠7, ♣6, ♥J | pair
♦10, ♦5, ♥8, ♠J, ♥J | pair
♦10, ♦5, ♠J, ♠2, ♥J | pair
♦10, ♦5, ♠J, ♠7, ♥J | pair
♦10, ♦5, ♠J, ♣6, ♥J | pair
♦10, ♥8, ♠J, ♠2, ♥J | pair
♦10, ♥8, ♠J, ♠7, ♥J | pair
♦10, ♥8, ♠J, ♣6, ♥J | pair
♦10, ♠J, ♠2, ♠7, ♥J | pair
♦10, ♠J, ♠2, ♣6, ♥J | pair
♦10, ♠J, ♠7, ♣6, ♥J | pair
♦5, ♥8, ♠J, ♠2, ♥J | pair
♦5, ♥8, ♠J, ♠7, ♥J | pair
♦5, ♥8, ♠J, ♣6, ♥J | pair
♦5, ♠J, ♠2, ♠7, ♥J | pair
♦5, ♠J, ♠2, ♣6, ♥J | pair
♦5, ♠J, ♠7, ♣6, ♥J | pair
♥8, ♠J, ♠2, ♠7, ♥J | pair
♥8, ♠J, ♠2, ♣6, ♥J | pair
♥8, ♠J, ♠7, ♣6, ♥J | pair
♠J, ♠2, ♠7, ♣6, ♥J | pair
