♠K, ♠8, ♣9, ♠5, ♥K | pair
♠K, ♠8, ♣9, ♠5, ♣K | pair
♠K, ♠8, ♣9, ♠5, ♥9 | pair
♠K, ♠8, ♣9, ♠5, ♣8 | pair
♠K, ♠8, ♣9, ♠5, ♦8 | pair
♠K, ♠8, ♣9, ♠7, ♣7 | pair
♠K, ♠8, ♣9, ♠7, ♥K | pair
♠K, ♠8, ♣9, ♠7, ♣K | pair
♠K, ♠8, ♣9, ♠7, ♥9 | pair
♠K, ♠8, ♣9, ♠7, ♣8 | pair
♠K, ♠8, ♣9, ♠7, ♥7 | pair
♠K, ♠8, ♣9, ♠7, ♦8 | pair
♠K, ♠8, ♣9, ♣4, ♥K | pair
♠K, ♠8, ♣9, ♣4, ♣K | pair
♠K, ♠8, ♣9, ♣4, ♥9 | pair
♠K, ♠8, ♣9, ♣4, ♣8 | pair
♠K, ♠8, ♣9, ♣4, ♦8 | pair
♠K, ♠8, ♣9, ♣7, ♥K | pair
♠K, ♠8, ♣9, ♣7, ♣K | pair
♠K, ♠8, ♣9, ♣7, ♥9 | pair
♠K, ♠8, ♣9, ♣7, ♣8 | pair
♠K, ♠8, ♣9, ♣7, ♥7 | pair
♠K, ♠8, ♣9, ♣7, ♦8 | pair
♠K, ♠8, ♣9, ♥K, ♣K | three of a kind
♠K, ♠8, ♣9, ♥K, ♥9 | two pairs
♠K, ♠8, ♣9, ♥K, ♥6 | pair
♠K, ♠8, ♣9, ♥K, ♣8 | two pairs
♠K, ♠8, ♣9, ♥K, ♥7 | pair
♠K, ♠8, ♣9, ♥K, ♦8 | two pairs
♠K, ♠8, ♣9, ♣K, ♥9 | two pairs
♠K, ♠8, ♣9, ♣K, ♥6 | pair
♠K, ♠8, ♣9, ♣K, ♣8 | two pairs
♠K, ♠8, ♣9, ♣K, ♥7 | pair
♠K, ♠8, ♣9, ♣K, ♦8 | two pairs
♠K, ♠8, ♣9, ♥9, ♥6 | pair
♠K, ♠8, ♣9, ♥9, ♣8 | two pairs
♠K, ♠8, ♣9, ♥9, ♥7 | pair
♠K, ♠8, ♣9, ♥9, ♦8 | two pairs
♠K, ♠8, ♣9, ♥6, ♣8 | pair
♠K, ♠8, ♣9, ♥6, ♦8 | pair
♠K, ♠8, ♣9, ♣8, ♥7 | pair
♠K, ♠8, ♣9, ♣8, ♦8 | three of a kind
♠K, ♠8, ♣9, ♥7, ♦8 | pair
♠K, ♠8, ♠5, ♠7, ♣7 | pair
♠K, ♠8, ♠5, ♠7, ♥K | pair
♠K, ♠8, ♠5, ♠7, ♣K | pair
♠K, ♠8, ♠5, ♠7, ♣8 | pair
♠K, ♠8, ♠5, ♠7, ♥7 | pair
♠K, ♠8, ♠5, ♠7, ♦8 | pair
♠K, ♠8, ♠5, ♣4, ♥K | pair
♠K, ♠8, ♠5, ♣4, ♣K | pair
♠K, ♠8, ♠5, ♣4, ♣8 | pair
♠K, ♠8, ♠5, ♣4, ♦8 | pair
♠K, ♠8, ♠5, ♣7, ♥K | pair
♠K, ♠8, ♠5, ♣7, ♣K | pair
♠K, ♠8, ♠5, ♣7, ♣8 | pair
♠K, ♠8, ♠5, ♣7, ♥7 | pair
♠K, ♠8, ♠5, ♣7, ♦8 | pair
♠K, ♠8, ♠5, ♥K, ♣K | three of a kind
♠K, ♠8, ♠5, ♥K, ♥9 | pair
♠K, ♠8, ♠5, ♥K, ♥6 | pair
♠K, ♠8, ♠5, ♥K, ♣8 | two pairs
♠K, ♠8, ♠5, ♥K, ♥7 | pair
♠K, ♠8, ♠5, ♥K, ♦8 | two pairs
♠K, ♠8, ♠5, ♣K, ♥9 | pair
♠K, ♠8, ♠5, ♣K, ♥6 | pair
♠K, ♠8, ♠5, ♣K, ♣8 | two pairs
♠K, ♠8, ♠5, ♣K, ♥7 | pair
♠K, ♠8, ♠5, ♣K, ♦8 | two pairs
♠K, ♠8, ♠5, ♥9, ♣8 | pair
♠K, ♠8, ♠5, ♥9, ♦8 | pair
♠K, ♠8, ♠5, ♥6, ♣8 | pair
♠K, ♠8, ♠5, ♥6, ♦8 | pair
♠K, ♠8, ♠5, ♣8, ♥7 | pair
