♦J,♠2,♠3,♠8,♦K | Pair
♦J,♠2,♠3,♠8,♠3 | Pair
♦J,♠2,♠3,♠8,♥J | Pair
♦J,♠2,♠3,♠8,♥K | Pair
♦J,♠2,♠3,♠8,♣3 | Pair
♦J,♠2,♠3,♠8,♣2 | Pair
♦J,♠2,♠3,♦K,♠3 | Pair
♦J,♠2,♠3,♦K,♠3 | Pair
♦J,♠2,♠3,♦K,♥5 | Pair
♦J,♠2,♠3,♦K,♥J | Pair
♦J,♠2,♠3,♦K,♥J | Three Of A Kind
♦J,♠2,♠3,♦K,♥K | Pair
♦J,♠2,♠3,♦K,♥K | Three Of A Kind
♦J,♠2,♠3,♦K,♣3 | Pair
♦J,♠2,♠3,♦K,♣3 | Pair
♦J,♠2,♠3,♦K,♣2 | Pair
♦J,♠2,♠3,♦K,♣2 | Pair
♦J,♠2,♠3,♦K,♥4 | Pair
♦J,♠2,♠3,♠3,♥5 | Pair
♦J,♠2,♠3,♠3,♥J | Pair
♦J,♠2,♠3,♠3,♥J | Pair
♦J,♠2,♠3,♠3,♥K | Pair
♦J,♠2,♠3,♠3,♥K | Pair
♦J,♠2,♠3,♠3,♣3 | Pair
♦J,♠2,♠3,♠3,♣3 | Three Of A Kind
♦J,♠2,♠3,♠3,♣2 | Pair
♦J,♠2,♠3,♠3,♣2 | Pair
♦J,♠2,♠3,♠3,♥4 | Pair
♦J,♠2,♠3,♥5,♥J | Pair
♦J,♠2,♠3,♥5,♥K | Pair
♦J,♠2,♠3,♥5,♣3 | Pair
♦J,♠2,♠3,♥5,♣2 | Pair
♦J,♠2,♠3,♥J,♥K | Pair
♦J,♠2,♠3,♥J,♥K | Three Of A Kind
♦J,♠2,♠3,♥J,♣3 | Pair
♦J,♠2,♠3,♥J,♣3 | Pair
♦J,♠2,♠3,♥J,♣2 | Pair
♦J,♠2,♠3,♥J,♣2 | Pair
♦J,♠2,♠3,♥J,♥4 | Pair
♦J,♠2,♠3,♥K,♣3 | Pair
♦J,♠2,♠3,♥K,♣3 | Pair
♦J,♠2,♠3,♥K,♣2 | Pair
♦J,♠2,♠3,♥K,♣2 | Pair
♦J,♠2,♠3,♥K,♥4 | Pair
♦J,♠2,♠3,♣3,♣2 | Pair
♦J,♠2,♠3,♣3,♣2 | Pair
♦J,♠2,♠3,♣3,♥4 | Pair
♦J,♠2,♠3,♣2,♥4 | Pair
♦J,♠2,♠8,♦K,♠3 | Pair
♦J,♠2,♠8,♦K,♥5 | Pair
♦J,♠2,♠8,♦K,♥J | Pair
♦J,♠2,♠8,♦K,♥J | Three Of A Kind
♦J,♠2,♠8,♦K,♥K | Pair
♦J,♠2,♠8,♦K,♥K | Three Of A Kind
♦J,♠2,♠8,♦K,♣3 | Pair
♦J,♠2,♠8,♦K,♣2 | Pair
♦J,♠2,♠8,♦K,♣2 | Pair
♦J,♠2,♠8,♦K,♥4 | Pair
♦J,♠2,♠8,♠3,♥J | Pair
♦J,♠2,♠8,♠3,♥K | Pair
♦J,♠2,♠8,♠3,♣3 | Pair
♦J,♠2,♠8,♠3,♣2 | Pair
♦J,♠2,♠8,♥5,♥J | Pair
♦J,♠2,♠8,♥5,♥K | Pair
