♦Q,♣5,♠A,♦8,♠Q | Pair
♦Q,♣5,♠A,♦8,♥8 | Pair
♦Q,♣5,♠A,♣K,♠Q | Pair
♦Q,♣5,♠A,♣T,♠Q | Pair
♦Q,♣5,♠A,♣T,♥T | Pair
♦Q,♣5,♠A,♠Q,♣6 | Pair
♦Q,♣5,♠A,♠Q,♦7 | Pair
♦Q,♣5,♠A,♠Q,♦3 | Pair
♦Q,♣5,♠A,♠Q,♥8 | Pair
♦Q,♣5,♠A,♠Q,♥T | Pair
♦Q,♣5,♠A,♠Q,♥9 | Pair
♦Q,♣5,♦8,♣K,♠Q | Pair
♦Q,♣5,♦8,♣K,♥8 | Pair
♦Q,♣5,♦8,♣T,♠Q | Pair
♦Q,♣5,♦8,♣T,♥8 | Pair
♦Q,♣5,♦8,♣T,♥T | Pair
♦Q,♣5,♦8,♠Q,♣6 | Pair
♦Q,♣5,♦8,♠Q,♦7 | Pair
♦Q,♣5,♦8,♠Q,♦3 | Pair
♦Q,♣5,♦8,♠Q,♥8 | Two Pairs
♦Q,♣5,♦8,♠Q,♥T | Pair
♦Q,♣5,♦8,♠Q,♥9 | Pair
♦Q,♣5,♦8,♣6,♥8 | Pair
♦Q,♣5,♦8,♦7,♥8 | Pair
♦Q,♣5,♦8,♦3,♥8 | Pair
♦Q,♣5,♦8,♥8,♥T | Pair
♦Q,♣5,♦8,♥8,♥9 | Pair
♦Q,♣5,♣K,♣T,♠Q | Pair
♦Q,♣5,♣K,♣T,♥T | Pair
♦Q,♣5,♣K,♠Q,♣6 | Pair
♦Q,♣5,♣K,♠Q,♦7 | Pair
♦Q,♣5,♣K,♠Q,♦3 | Pair
♦Q,♣5,♣K,♠Q,♥8 | Pair
♦Q,♣5,♣K,♠Q,♥T | Pair
♦Q,♣5,♣K,♠Q,♥9 | Pair
♦Q,♣5,♣T,♠Q,♣6 | Pair
♦Q,♣5,♣T,♠Q,♦7 | Pair
♦Q,♣5,♣T,♠Q,♦3 | Pair
