♥K, ♥A, ♣4, ♠K, ♦8 | pair
♥K, ♥A, ♣4, ♠K, ♥7 | pair
♥K, ♥A, ♣4, ♠K, ♦10 | pair
♥K, ♥A, ♣4, ♠K, ♦A | two pairs
♥K, ♥A, ♣4, ♠K, ♣7 | pair
♥K, ♥A, ♣4, ♠K, ♦K | three of a kind
♥K, ♥A, ♣4, ♠K, ♠7 | pair
♥K, ♥A, ♣4, ♠K, ♦2 | pair
♥K, ♥A, ♣4, ♦8, ♦A | pair
♥K, ♥A, ♣4, ♦8, ♦K | pair
♥K, ♥A, ♣4, ♥7, ♦A | pair
♥K, ♥A, ♣4, ♥7, ♣7 | pair
♥K, ♥A, ♣4, ♥7, ♦K | pair
♥K, ♥A, ♣4, ♥7, ♠7 | pair
♥K, ♥A, ♣4, ♦10, ♦A | pair
♥K, ♥A, ♣4, ♦10, ♦K | pair
♥K, ♥A, ♣4, ♦A, ♣7 | pair
♥K, ♥A, ♣4, ♦A, ♦K | two pairs
♥K, ♥A, ♣4, ♦A, ♠7 | pair
♥K, ♥A, ♣4, ♦A, ♦2 | pair
♥K, ♥A, ♣4, ♣7, ♦K | pair
♥K, ♥A, ♣4, ♣7, ♠7 | pair
♥K, ♥A, ♣4, ♦K, ♠7 | pair
♥K, ♥A, ♣4, ♦K, ♦2 | pair
♥K, ♥A, ♠K, ♦8, ♥7 | pair
♥K, ♥A, ♠K, ♦8, ♦10 | pair
♥K, ♥A, ♠K, ♦8, ♦A | two pairs
♥K, ♥A, ♠K, ♦8, ♣7 | pair
♥K, ♥A, ♠K, ♦8, ♦K | three of a kind
♥K, ♥A, ♠K, ♦8, ♠7 | pair
♥K, ♥A, ♠K, ♦8, ♦2 | pair
♥K, ♥A, ♠K, ♥7, ♦10 | pair
♥K, ♥A, ♠K, ♥7, ♦A | two pairs
♥K, ♥A, ♠K, ♥7, ♣7 | two pairs
♥K, ♥A, ♠K, ♥7, ♦K | three of a kind
♥K, ♥A, ♠K, ♥7, ♠7 | two pairs
♥K, ♥A, ♠K, ♥7, ♦2 | pair
♥K, ♥A, ♠K, ♦10, ♦A | two pairs
♥K, ♥A, ♠K, ♦10, ♣7 | pair
♥K, ♥A, ♠K, ♦10, ♦K | three of a kind
♥K, ♥A, ♠K, ♦10, ♠7 | pair
♥K, ♥A, ♠K, ♦10, ♦2 | pair
♥K, ♥A, ♠K, ♦A, ♣7 | two pairs
♥K, ♥A, ♠K, ♦A, ♦K | fullhouse
♥K, ♥A, ♠K, ♦A, ♠7 | two pairs
♥K, ♥A, ♠K, ♦A, ♦2 | two pairs
♥K, ♥A, ♠K, ♣7, ♦K | three of a kind
♥K, ♥A, ♠K, ♣7, ♠7 | two pairs
♥K, ♥A, ♠K, ♣7, ♦2 | pair
♥K, ♥A, ♠K, ♦K, ♠7 | three of a kind
♥K, ♥A, ♠K, ♦K, ♦2 | three of a kind
♥K, ♥A, ♠K, ♠7, ♦2 | pair
♥K, ♥A, ♦8, ♥7, ♦A | pair
♥K, ♥A, ♦8, ♥7, ♣7 | pair
♥K, ♥A, ♦8, ♥7, ♦K | pair
♥K, ♥A, ♦8, ♥7, ♠7 | pair
♥K, ♥A, ♦8, ♦10, ♦A | pair
♥K, ♥A, ♦8, ♦10, ♦K | pair
♥K, ♥A, ♦8, ♦A, ♣7 | pair
♥K, ♥A, ♦8, ♦A, ♦K | two pairs
♥K, ♥A, ♦8, ♦A, ♠7 | pair
♥K, ♥A, ♦8, ♦A, ♦2 | pair
♥K, ♥A, ♦8, ♣7, ♦K | pair
♥K, ♥A, ♦8, ♣7, ♠7 | pair
♥K, ♥A, ♦8, ♦K, ♠7 | pair
♥K, ♥A, ♦8, ♦K, ♦2 | pair
♥K, ♥A, ♥7, ♦10, ♦A | pair
♥K, ♥A, ♥7, ♦10, ♣7 | pair
♥K, ♥A, ♥7, ♦10, ♦K | pair
♥K, ♥A, ♥7, ♦10, ♠7 | pair
♥K, ♥A, ♥7, ♦A, ♣7 | two pairs
♥K, ♥A, ♥7, ♦A, ♦K | two pairs
♥K, ♥A, ♥7, ♦A, ♠7 | two pairs
♥K, ♥A, ♥7, ♦A, ♦2 | pair
♥K, ♥A, ♥7, ♣7, ♦K | two pairs
♥K, ♥A, ♥7, ♣7, ♠7 | three of a kind
♥K, ♥A, ♥7, ♣7, ♦2 | pair
♥K, ♥A, ♥7, ♦K, ♠7 | two pairs
♥K, ♥A, ♥7, ♦K, ♦2 | pair
♥K, ♥A, ♥7, ♠7, ♦2 | pair
♥K, ♥A, ♦10, ♦A, ♣7 | pair
♥K, ♥A, ♦10, ♦A, ♦K | two pairs
♥K, ♥A, ♦10, ♦A, ♠7 | pair
♥K, ♥A, ♦10, ♦A, ♦2 | pair
♥K, ♥A, ♦10, ♣7, ♦K | pair
♥K, ♥A, ♦10, ♣7, ♠7 | pair
♥K, ♥A, ♦10, ♦K, ♠7 | pair
♥K, ♥A, ♦10, ♦K, ♦2 | pair
♥K, ♥A, ♦A, ♣7, ♦K | two pairs
♥K, ♥A, ♦A, ♣7, ♠7 | two pairs
♥K, ♥A, ♦A, ♣7, ♦2 | pair
♥K, ♥A, ♦A, ♦K, ♠7 | two pairs
♥K, ♥A, ♦A, ♦K, ♦2 | two pairs
♥K, ♥A, ♦A, ♠7, ♦2 | pair
♥K, ♥A, ♣7, ♦K, ♠7 | two pairs
♥K, ♥A, ♣7, ♦K, ♦2 | pair
♥K, ♥A, ♣7, ♠7, ♦2 | pair
♥K, ♥A, ♦K, ♠7, ♦2 | pair
♥K, ♣4, ♠K, ♦8, ♥7 | pair
♥K, ♣4, ♠K, ♦8, ♦10 | pair
♥K, ♣4, ♠K, ♦8, ♦A | pair
♥K, ♣4, ♠K, ♦8, ♣7 | pair
♥K, ♣4, ♠K, ♦8, ♦K | three of a kind
♥K, ♣4, ♠K, ♦8, ♠7 | pair
♥K, ♣4, ♠K, ♦8, ♦2 | pair
♥K, ♣4, ♠K, ♥7, ♦10 | pair
♥K, ♣4, ♠K, ♥7, ♦A | pair
♥K, ♣4, ♠K, ♥7, ♣7 | two pairs
♥K, ♣4, ♠K, ♥7, ♦K | three of a kind
♥K, ♣4, ♠K, ♥7, ♠7 | two pairs
♥K, ♣4, ♠K, ♥7, ♦2 | pair
♥K, ♣4, ♠K, ♦10, ♦A | pair
♥K, ♣4, ♠K, ♦10, ♣7 | pair
♥K, ♣4, ♠K, ♦10, ♦K | three of a kind
♥K, ♣4, ♠K, ♦10, ♠7 | pair
♥K, ♣4, ♠K, ♦10, ♦2 | pair
♥K, ♣4, ♠K, ♦A, ♣7 | pair
♥K, ♣4, ♠K, ♦A, ♦K | three of a kind
♥K, ♣4, ♠K, ♦A, ♠7 | pair
♥K, ♣4, ♠K, ♦A, ♦2 | pair
♥K, ♣4, ♠K, ♣7, ♦K | three of a kind
♥K, ♣4, ♠K, ♣7, ♠7 | two pairs
♥K, ♣4, ♠K, ♣7, ♦2 | pair
♥K, ♣4, ♠K, ♦K, ♠7 | three of a kind
♥K, ♣4, ♠K, ♦K, ♦2 | three of a kind
♥K, ♣4, ♠K, ♠7, ♦2 | pair
♥K, ♣4, ♦8, ♥7, ♣7 | pair
♥K, ♣4, ♦8, ♥7, ♦K | pair
♥K, ♣4, ♦8, ♥7, ♠7 | pair
♥K, ♣4, ♦8, ♦10, ♦K | pair
♥K, ♣4, ♦8, ♦A, ♦K | pair
♥K, ♣4, ♦8, ♣7, ♦K | pair
♥K, ♣4, ♦8, ♣7, ♠7 | pair
♥K, ♣4, ♦8, ♦K, ♠7 | pair
♥K, ♣4, ♦8, ♦K, ♦2 | pair
♥K, ♣4, ♥7, ♦10, ♣7 | pair
♥K, ♣4, ♥7, ♦10, ♦K | pair
♥K, ♣4, ♥7, ♦10, ♠7 | pair
♥K, ♣4, ♥7, ♦A, ♣7 | pair
♥K, ♣4, ♥7, ♦A, ♦K | pair
♥K, ♣4, ♥7, ♦A, ♠7 | pair
♥K, ♣4, ♥7, ♣7, ♦K | two pairs
♥K, ♣4, ♥7, ♣7, ♠7 | three of a kind
♥K, ♣4, ♥7, ♣7, ♦2 | pair
♥K, ♣4, ♥7, ♦K, ♠7 | two pairs
♥K, ♣4, ♥7, ♦K, ♦2 | pair
♥K, ♣4, ♥7, ♠7, ♦2 | pair
♥K, ♣4, ♦10, ♦A, ♦K | pair
♥K, ♣4, ♦10, ♣7, ♦K | pair
♥K, ♣4, ♦10, ♣7, ♠7 | pair
♥K, ♣4, ♦10, ♦K, ♠7 | pair
♥K, ♣4, ♦10, ♦K, ♦2 | pair
♥K, ♣4, ♦A, ♣7, ♦K | pair
♥K, ♣4, ♦A, ♣7, ♠7 | pair
♥K, ♣4, ♦A, ♦K, ♠7 | pair
♥K, ♣4, ♦A, ♦K, ♦2 | pair
♥K, ♣4, ♣7, ♦K, ♠7 | two pairs
♥K, ♣4, ♣7, ♦K, ♦2 | pair
♥K, ♣4, ♣7, ♠7, ♦2 | pair
♥K, ♣4, ♦K, ♠7, ♦2 | pair
♥K, ♠K, ♦8, ♥7, ♦10 | pair
♥K, ♠K, ♦8, ♥7, ♦A | pair
♥K, ♠K, ♦8, ♥7, ♣7 | two pairs
♥K, ♠K, ♦8, ♥7, ♦K | three of a kind
♥K, ♠K, ♦8, ♥7, ♠7 | two pairs
♥K, ♠K, ♦8, ♥7, ♦2 | pair
♥K, ♠K, ♦8, ♦10, ♦A | pair
♥K, ♠K, ♦8, ♦10, ♣7 | pair
♥K, ♠K, ♦8, ♦10, ♦K | three of a kind
♥K, ♠K, ♦8, ♦10, ♠7 | pair
♥K, ♠K, ♦8, ♦10, ♦2 | pair
♥K, ♠K, ♦8, ♦A, ♣7 | pair
♥K, ♠K, ♦8, ♦A, ♦K | three of a kind
♥K, ♠K, ♦8, ♦A, ♠7 | pair
♥K, ♠K, ♦8, ♦A, ♦2 | pair
