♥Q,♣J,♦7,♥8,♣Q | Pair
♥Q,♣J,♦7,♥8,♠Q | Pair
♥Q,♣J,♦7,♠9,♣Q | Pair
♥Q,♣J,♦7,♠9,♣9 | Pair
♥Q,♣J,♦7,♠9,♠Q | Pair
♥Q,♣J,♦7,♣Q,♥T | Pair
♥Q,♣J,♦7,♣Q,♥2 | Pair
♥Q,♣J,♦7,♣Q,♣9 | Pair
♥Q,♣J,♦7,♣Q,♠Q | Full House
♥Q,♣J,♦7,♥T,♠Q | Pair
♥Q,♣J,♦7,♥2,♠Q | Pair
♥Q,♣J,♦7,♣9,♠Q | Pair
♥Q,♣J,♥8,♠9,♣Q | Pair
♥Q,♣J,♥8,♠9,♣9 | Pair
♥Q,♣J,♥8,♠9,♠Q | Pair
♥Q,♣J,♥8,♣Q,♥T | Pair
♥Q,♣J,♥8,♣Q,♥2 | Pair
♥Q,♣J,♥8,♣Q,♣9 | Pair
♥Q,♣J,♥8,♣Q,♠Q | Full House
♥Q,♣J,♥8,♥T,♠Q | Pair
♥Q,♣J,♥8,♥2,♠Q | Pair
♥Q,♣J,♥8,♣9,♠Q | Pair
♥Q,♣J,♠9,♣Q,♥T | Pair
♥Q,♣J,♠9,♣Q,♥2 | Pair
♥Q,♣J,♠9,♣Q,♣9 | Two Pairs
♥Q,♣J,♠9,♣Q,♠Q | Full House
♥Q,♣J,♠9,♥T,♣9 | Pair
♥Q,♣J,♠9,♥T,♠Q | Pair
♥Q,♣J,♠9,♥2,♣9 | Pair
♥Q,♣J,♠9,♥2,♠Q | Pair
♥Q,♣J,♠9,♣9,♠Q | Two Pairs
♥Q,♣J,♣Q,♥T,♥2 | Pair
♥Q,♣J,♣Q,♥T,♣9 | Pair
♥Q,♣J,♣Q,♥T,♠Q | Full House
♥Q,♣J,♣Q,♥2,♣9 | Pair
♥Q,♣J,♣Q,♥2,♠Q | Full House
♥Q,♣J,♣Q,♣9,♠Q | Full House
♥Q,♣J,♥T,♥2,♠Q | Pair
♥Q,♣J,♥T,♣9,♠Q | Pair
♥Q,♣J,♥2,♣9,♠Q | Pair
♥Q,♦7,♥8,♠9,♣Q | Pair
♥Q,♦7,♥8,♠9,♣9 | Pair
♥Q,♦7,♥8,♠9,♠Q | Pair
♥Q,♦7,♥8,♣Q,♥T | Pair
♥Q,♦7,♥8,♣Q,♥2 | Pair
♥Q,♦7,♥8,♣Q,♣9 | Pair
♥Q,♦7,♥8,♣Q,♠Q | Full House
♥Q,♦7,♥8,♥T,♠Q | Pair
♥Q,♦7,♥8,♥2,♠Q | Pair
♥Q,♦7,♥8,♣9,♠Q | Pair
♥Q,♦7,♠9,♣Q,♥T | Pair
♥Q,♦7,♠9,♣Q,♥2 | Pair
♥Q,♦7,♠9,♣Q,♣9 | Two Pairs
♥Q,♦7,♠9,♣Q,♠Q | Full House
♥Q,♦7,♠9,♥T,♣9 | Pair
♥Q,♦7,♠9,♥T,♠Q | Pair
♥Q,♦7,♠9,♥2,♣9 | Pair
♥Q,♦7,♠9,♥2,♠Q | Pair
♥Q,♦7,♠9,♣9,♠Q | Two Pairs
♥Q,♦7,♣Q,♥T,♥2 | Pair
♥Q,♦7,♣Q,♥T,♣9 | Pair
♥Q,♦7,♣Q,♥T,♠Q | Full House
♥Q,♦7,♣Q,♥2,♣9 | Pair
♥Q,♦7,♣Q,♥2,♠Q | Full House
♥Q,♦7,♣Q,♣9,♠Q | Full House
♥Q,♦7,♥T,♥2,♠Q | Pair
♥Q,♦7,♥T,♣9,♠Q | Pair
♥Q,♦7,♥2,♣9,♠Q | Pair
♥Q,♥8,♠9,♣Q,♥T | Pair
♥Q,♥8,♠9,♣Q,♥2 | Pair
