♣J, ♣9, ♦2, ♠6, ♥6 | pair
♣J, ♣9, ♠6, ♠3, ♥6 | pair
♣J, ♣9, ♠6, ♣4, ♥6 | pair
♣J, ♣9, ♠6, ♣Q, ♥6 | pair
♣J, ♦2, ♠6, ♠3, ♥6 | pair
♣J, ♦2, ♠6, ♣4, ♥6 | pair
♣J, ♦2, ♠6, ♣Q, ♥6 | pair
♣J, ♠6, ♠3, ♣4, ♥6 | pair
♣J, ♠6, ♠3, ♣Q, ♥6 | pair
♣J, ♠6, ♣4, ♣Q, ♥6 | pair
♣9, ♦2, ♠6, ♠3, ♥6 | pair
♣9, ♦2, ♠6, ♣4, ♥6 | pair
♣9, ♦2, ♠6, ♣Q, ♥6 | pair
♣9, ♠6, ♠3, ♣4, ♥6 | pair
♣9, ♠6, ♠3, ♣Q, ♥6 | pair
♣9, ♠6, ♣4, ♣Q, ♥6 | pair
♦2, ♠6, ♠3, ♣4, ♥6 | pair
♦2, ♠6, ♠3, ♣Q, ♥6 | pair
♦2, ♠6, ♣4, ♣Q, ♥6 | pair
♠6, ♠3, ♣4, ♣Q, ♥6 | pair
