♣K,♥T,♠3,♠4,♣4 | Pair
♣K,♥T,♠3,♠4,♦T | Pair
♣K,♥T,♠3,♠5,♦5 | Pair
♣K,♥T,♠3,♠5,♦T | Pair
♣K,♥T,♠3,♣4,♦T | Pair
♣K,♥T,♠3,♦5,♦T | Pair
♣K,♥T,♠4,♠5,♣4 | Pair
♣K,♥T,♠4,♠5,♦5 | Pair
♣K,♥T,♠4,♠5,♦T | Pair
♣K,♥T,♠4,♣4,♦5 | Pair
♣K,♥T,♠4,♣4,♦T | Two Pairs
♣K,♥T,♠4,♦5,♦T | Pair
♣K,♥T,♠5,♣4,♦5 | Pair
♣K,♥T,♠5,♣4,♦T | Pair
♣K,♥T,♠5,♦5,♦T | Two Pairs
♣K,♥T,♣4,♦5,♦T | Pair
♣K,♠3,♠4,♠5,♣4 | Pair
♣K,♠3,♠4,♠5,♦5 | Pair
♣K,♠3,♠4,♣4,♦5 | Pair
♣K,♠3,♠4,♣4,♦T | Pair
♣K,♠3,♠5,♣4,♦5 | Pair
♣K,♠3,♠5,♦5,♦T | Pair
♣K,♠4,♠5,♣4,♦5 | Two Pairs
♣K,♠4,♠5,♣4,♦T | Pair
♣K,♠4,♠5,♦5,♦T | Pair
♣K,♠4,♣4,♦5,♦T | Pair
♣K,♠5,♣4,♦5,♦T | Pair
♥T,♠3,♠4,♠5,♣4 | Pair
♥T,♠3,♠4,♠5,♦5 | Pair
♥T,♠3,♠4,♠5,♦T | Pair
♥T,♠3,♠4,♣4,♦5 | Pair
♥T,♠3,♠4,♣4,♦T | Two Pairs
♥T,♠3,♠4,♦5,♦T | Pair
♥T,♠3,♠5,♣4,♦5 | Pair
♥T,♠3,♠5,♣4,♦T | Pair
♥T,♠3,♠5,♦5,♦T | Two Pairs
♥T,♠3,♣4,♦5,♦T | Pair
♥T,♠4,♠5,♣4,♦5 | Two Pairs
♥T,♠4,♠5,♣4,♦T | Two Pairs
♥T,♠4,♠5,♦5,♦T | Two Pairs
♥T,♠4,♣4,♦5,♦T | Two Pairs
♥T,♠5,♣4,♦5,♦T | Two Pairs
♠3,♠4,♠5,♣4,♦5 | Two Pairs
♠3,♠4,♠5,♣4,♦T | Pair
♠3,♠4,♠5,♦5,♦T | Pair
♠3,♠4,♣4,♦5,♦T | Pair
♠3,♠5,♣4,♦5,♦T | Pair
♠4,♠5,♣4,♦5,♦T | Two Pairs
