♣Q,♥4,♣4,♠J,♥T | Pair
♣Q,♥4,♣4,♠J,♠8 | Pair
♣Q,♥4,♣4,♠J,♣K | Pair
♣Q,♥4,♣4,♠J,♥6 | Pair
♣Q,♥4,♣4,♠J,♠6 | Pair
♣Q,♥4,♣4,♠J,♦8 | Pair
♣Q,♥4,♣4,♠J,♣J | Two Pairs
♣Q,♥4,♣4,♠J,♦T | Pair
♣Q,♥4,♣4,♠J,♥2 | Pair
♣Q,♥4,♣4,♥T,♠8 | Pair
♣Q,♥4,♣4,♥T,♣K | Pair
♣Q,♥4,♣4,♥T,♥6 | Pair
♣Q,♥4,♣4,♥T,♠6 | Pair
♣Q,♥4,♣4,♥T,♦8 | Pair
♣Q,♥4,♣4,♥T,♣J | Pair
♣Q,♥4,♣4,♥T,♦T | Two Pairs
♣Q,♥4,♣4,♥T,♥2 | Pair
♣Q,♥4,♣4,♠8,♣K | Pair
♣Q,♥4,♣4,♠8,♥6 | Pair
♣Q,♥4,♣4,♠8,♠6 | Pair
♣Q,♥4,♣4,♠8,♦8 | Two Pairs
♣Q,♥4,♣4,♠8,♣J | Pair
♣Q,♥4,♣4,♠8,♦T | Pair
♣Q,♥4,♣4,♠8,♥2 | Pair
♣Q,♥4,♣4,♣K,♥6 | Pair
♣Q,♥4,♣4,♣K,♠6 | Pair
♣Q,♥4,♣4,♣K,♦8 | Pair
♣Q,♥4,♣4,♣K,♣J | Pair
♣Q,♥4,♣4,♣K,♦T | Pair
♣Q,♥4,♣4,♣K,♥2 | Pair
♣Q,♥4,♣4,♥6,♠6 | Two Pairs
♣Q,♥4,♣4,♥6,♦8 | Pair
♣Q,♥4,♣4,♥6,♣J | Pair
♣Q,♥4,♣4,♥6,♦T | Pair
♣Q,♥4,♣4,♥6,♥2 | Pair
♣Q,♥4,♣4,♠6,♦8 | Pair
♣Q,♥4,♣4,♠6,♣J | Pair
♣Q,♥4,♣4,♠6,♦T | Pair
♣Q,♥4,♣4,♠6,♥2 | Pair
♣Q,♥4,♣4,♦8,♣J | Pair
♣Q,♥4,♣4,♦8,♦T | Pair
♣Q,♥4,♣4,♦8,♥2 | Pair
♣Q,♥4,♣4,♣J,♦T | Pair
♣Q,♥4,♣4,♣J,♥2 | Pair
♣Q,♥4,♣4,♦T,♥2 | Pair
♣Q,♥4,♠J,♥T,♣J | Pair
♣Q,♥4,♠J,♥T,♦T | Pair
♣Q,♥4,♠J,♠8,♦8 | Pair
♣Q,♥4,♠J,♠8,♣J | Pair
♣Q,♥4,♠J,♣K,♣J | Pair
♣Q,♥4,♠J,♥6,♠6 | Pair
♣Q,♥4,♠J,♥6,♣J | Pair
♣Q,♥4,♠J,♠6,♣J | Pair
♣Q,♥4,♠J,♦8,♣J | Pair
♣Q,♥4,♠J,♣J,♦T | Pair
♣Q,♥4,♠J,♣J,♥2 | Pair
♣Q,♥4,♥T,♠8,♦8 | Pair
♣Q,♥4,♥T,♠8,♦T | Pair
♣Q,♥4,♥T,♣K,♦T | Pair
♣Q,♥4,♥T,♥6,♠6 | Pair
♣Q,♥4,♥T,♥6,♦T | Pair
♣Q,♥4,♥T,♠6,♦T | Pair
♣Q,♥4,♥T,♦8,♦T | Pair
♣Q,♥4,♥T,♣J,♦T | Pair
♣Q,♥4,♥T,♦T,♥2 | Pair
♣Q,♥4,♠8,♣K,♦8 | Pair
♣Q,♥4,♠8,♥6,♠6 | Pair
♣Q,♥4,♠8,♥6,♦8 | Pair
♣Q,♥4,♠8,♠6,♦8 | Pair
♣Q,♥4,♠8,♦8,♣J | Pair
♣Q,♥4,♠8,♦8,♦T | Pair
♣Q,♥4,♠8,♦8,♥2 | Pair
♣Q,♥4,♣K,♥6,♠6 | Pair
♣Q,♥4,♥6,♠6,♦8 | Pair
♣Q,♥4,♥6,♠6,♣J | Pair
♣Q,♥4,♥6,♠6,♦T | Pair
♣Q,♥4,♥6,♠6,♥2 | Pair
♣Q,♣4,♠J,♥T,♣J | Pair
♣Q,♣4,♠J,♥T,♦T | Pair
♣Q,♣4,♠J,♠8,♦8 | Pair
♣Q,♣4,♠J,♠8,♣J | Pair
♣Q,♣4,♠J,♣K,♣J | Pair
♣Q,♣4,♠J,♥6,♠6 | Pair
♣Q,♣4,♠J,♥6,♣J | Pair
♣Q,♣4,♠J,♠6,♣J | Pair
♣Q,♣4,♠J,♦8,♣J | Pair
♣Q,♣4,♠J,♣J,♦T | Pair
♣Q,♣4,♠J,♣J,♥2 | Pair
♣Q,♣4,♥T,♠8,♦8 | Pair
♣Q,♣4,♥T,♠8,♦T | Pair
♣Q,♣4,♥T,♣K,♦T | Pair
♣Q,♣4,♥T,♥6,♠6 | Pair
♣Q,♣4,♥T,♥6,♦T | Pair
♣Q,♣4,♥T,♠6,♦T | Pair
♣Q,♣4,♥T,♦8,♦T | Pair
♣Q,♣4,♥T,♣J,♦T | Pair
♣Q,♣4,♥T,♦T,♥2 | Pair
♣Q,♣4,♠8,♣K,♦8 | Pair
♣Q,♣4,♠8,♥6,♠6 | Pair
♣Q,♣4,♠8,♥6,♦8 | Pair
♣Q,♣4,♠8,♠6,♦8 | Pair
♣Q,♣4,♠8,♦8,♣J | Pair
♣Q,♣4,♠8,♦8,♦T | Pair
♣Q,♣4,♠8,♦8,♥2 | Pair
♣Q,♣4,♣K,♥6,♠6 | Pair
♣Q,♣4,♥6,♠6,♦8 | Pair
♣Q,♣4,♥6,♠6,♣J | Pair
♣Q,♣4,♥6,♠6,♦T | Pair
♣Q,♣4,♥6,♠6,♥2 | Pair
♣Q,♠J,♥T,♠8,♦8 | Pair
♣Q,♠J,♥T,♠8,♣J | Pair
♣Q,♠J,♥T,♠8,♦T | Pair
♣Q,♠J,♥T,♣K,♣J | Pair
♣Q,♠J,♥T,♣K,♦T | Pair
♣Q,♠J,♥T,♥6,♠6 | Pair
♣Q,♠J,♥T,♥6,♣J | Pair
♣Q,♠J,♥T,♥6,♦T | Pair
♣Q,♠J,♥T,♠6,♣J | Pair
♣Q,♠J,♥T,♠6,♦T | Pair
♣Q,♠J,♥T,♦8,♣J | Pair
♣Q,♠J,♥T,♦8,♦T | Pair
♣Q,♠J,♥T,♣J,♦T | Two Pairs
