♦7,♠T,♥K,♣3,♥3 | Pair
♦7,♠T,♥K,♣3,♠7 | Pair
♦7,♠T,♥K,♣3,♣T | Pair
♦7,♠T,♥K,♠9,♠7 | Pair
♦7,♠T,♥K,♠9,♣T | Pair
♦7,♠T,♥K,♥3,♠7 | Pair
♦7,♠T,♥K,♥3,♣T | Pair
♦7,♠T,♥K,♠7,♣A | Pair
♦7,♠T,♥K,♠7,♥4 | Pair
♦7,♠T,♥K,♠7,♣2 | Pair
♦7,♠T,♥K,♠7,♦Q | Pair
♦7,♠T,♥K,♠7,♣T | Two Pairs
♦7,♠T,♥K,♠7,♠A | Pair
♦7,♠T,♥K,♣A,♣T | Pair
♦7,♠T,♥K,♣A,♠A | Pair
♦7,♠T,♥K,♥4,♣T | Pair
♦7,♠T,♥K,♣2,♣T | Pair
♦7,♠T,♥K,♦Q,♣T | Pair
♦7,♠T,♥K,♣T,♠A | Pair
♦7,♠T,♣3,♠9,♥3 | Pair
♦7,♠T,♣3,♠9,♠7 | Pair
♦7,♠T,♣3,♠9,♣T | Pair
♦7,♠T,♣3,♥3,♠7 | Two Pairs
♦7,♠T,♣3,♥3,♣A | Pair
♦7,♠T,♣3,♥3,♥4 | Pair
♦7,♠T,♣3,♥3,♣2 | Pair
♦7,♠T,♣3,♥3,♦Q | Pair
♦7,♠T,♣3,♥3,♣T | Two Pairs
♦7,♠T,♣3,♥3,♠A | Pair
♦7,♠T,♣3,♠7,♣A | Pair
♦7,♠T,♣3,♠7,♥4 | Pair
♦7,♠T,♣3,♠7,♣2 | Pair
♦7,♠T,♣3,♠7,♦Q | Pair
♦7,♠T,♣3,♠7,♣T | Two Pairs
♦7,♠T,♣3,♠7,♠A | Pair
♦7,♠T,♣3,♣A,♣T | Pair
♦7,♠T,♣3,♣A,♠A | Pair
♦7,♠T,♣3,♥4,♣T | Pair
♦7,♠T,♣3,♣2,♣T | Pair
♦7,♠T,♣3,♦Q,♣T | Pair
♦7,♠T,♣3,♣T,♠A | Pair
♦7,♠T,♠9,♥3,♠7 | Pair
♦7,♠T,♠9,♥3,♣T | Pair
♦7,♠T,♠9,♠7,♣A | Pair
♦7,♠T,♠9,♠7,♥4 | Pair
♦7,♠T,♠9,♠7,♣2 | Pair
♦7,♠T,♠9,♠7,♦Q | Pair
♦7,♠T,♠9,♠7,♣T | Two Pairs
♦7,♠T,♠9,♠7,♠A | Pair
♦7,♠T,♠9,♣A,♣T | Pair
♦7,♠T,♠9,♣A,♠A | Pair
♦7,♠T,♠9,♥4,♣T | Pair
♦7,♠T,♠9,♣2,♣T | Pair
♦7,♠T,♠9,♦Q,♣T | Pair
♦7,♠T,♠9,♣T,♠A | Pair
