♣Q, ♥4, ♣4, ♠J, ♥10 | pair
♣Q, ♥4, ♣4, ♠J, ♠8 | pair
♣Q, ♥4, ♣4, ♠J, ♣K | pair
♣Q, ♥4, ♣4, ♠J, ♥6 | pair
♣Q, ♥4, ♣4, ♠J, ♠6 | pair
♣Q, ♥4, ♣4, ♠J, ♦8 | pair
♣Q, ♥4, ♣4, ♠J, ♣J | two pairs
♣Q, ♥4, ♣4, ♠J, ♦10 | pair
♣Q, ♥4, ♣4, ♠J, ♥2 | pair
♣Q, ♥4, ♣4, ♥10, ♠8 | pair
♣Q, ♥4, ♣4, ♥10, ♣K | pair
♣Q, ♥4, ♣4, ♥10, ♥6 | pair
♣Q, ♥4, ♣4, ♥10, ♠6 | pair
♣Q, ♥4, ♣4, ♥10, ♦8 | pair
♣Q, ♥4, ♣4, ♥10, ♣J | pair
♣Q, ♥4, ♣4, ♥10, ♦10 | two pairs
♣Q, ♥4, ♣4, ♥10, ♥2 | pair
♣Q, ♥4, ♣4, ♠8, ♣K | pair
♣Q, ♥4, ♣4, ♠8, ♥6 | pair
♣Q, ♥4, ♣4, ♠8, ♠6 | pair
♣Q, ♥4, ♣4, ♠8, ♦8 | two pairs
♣Q, ♥4, ♣4, ♠8, ♣J | pair
♣Q, ♥4, ♣4, ♠8, ♦10 | pair
♣Q, ♥4, ♣4, ♠8, ♥2 | pair
♣Q, ♥4, ♣4, ♣K, ♥6 | pair
♣Q, ♥4, ♣4, ♣K, ♠6 | pair
♣Q, ♥4, ♣4, ♣K, ♦8 | pair
♣Q, ♥4, ♣4, ♣K, ♣J | pair
♣Q, ♥4, ♣4, ♣K, ♦10 | pair
♣Q, ♥4, ♣4, ♣K, ♥2 | pair
♣Q, ♥4, ♣4, ♥6, ♠6 | two pairs
♣Q, ♥4, ♣4, ♥6, ♦8 | pair
♣Q, ♥4, ♣4, ♥6, ♣J | pair
♣Q, ♥4, ♣4, ♥6, ♦10 | pair
♣Q, ♥4, ♣4, ♥6, ♥2 | pair
♣Q, ♥4, ♣4, ♠6, ♦8 | pair
♣Q, ♥4, ♣4, ♠6, ♣J | pair
♣Q, ♥4, ♣4, ♠6, ♦10 | pair
♣Q, ♥4, ♣4, ♠6, ♥2 | pair
♣Q, ♥4, ♣4, ♦8, ♣J | pair
♣Q, ♥4, ♣4, ♦8, ♦10 | pair
♣Q, ♥4, ♣4, ♦8, ♥2 | pair
♣Q, ♥4, ♣4, ♣J, ♦10 | pair
♣Q, ♥4, ♣4, ♣J, ♥2 | pair
♣Q, ♥4, ♣4, ♦10, ♥2 | pair
♣Q, ♥4, ♠J, ♥10, ♣J | pair
♣Q, ♥4, ♠J, ♥10, ♦10 | pair
♣Q, ♥4, ♠J, ♠8, ♦8 | pair
♣Q, ♥4, ♠J, ♠8, ♣J | pair
♣Q, ♥4, ♠J, ♣K, ♣J | pair
♣Q, ♥4, ♠J, ♥6, ♠6 | pair
♣Q, ♥4, ♠J, ♥6, ♣J | pair
♣Q, ♥4, ♠J, ♠6, ♣J | pair
♣Q, ♥4, ♠J, ♦8, ♣J | pair
♣Q, ♥4, ♠J, ♣J, ♦10 | pair
♣Q, ♥4, ♠J, ♣J, ♥2 | pair
♣Q, ♥4, ♥10, ♠8, ♦8 | pair
♣Q, ♥4, ♥10, ♠8, ♦10 | pair
♣Q, ♥4, ♥10, ♣K, ♦10 | pair
♣Q, ♥4, ♥10, ♥6, ♠6 | pair
♣Q, ♥4, ♥10, ♥6, ♦10 | pair
♣Q, ♥4, ♥10, ♠6, ♦10 | pair
♣Q, ♥4, ♥10, ♦8, ♦10 | pair
♣Q, ♥4, ♥10, ♣J, ♦10 | pair
♣Q, ♥4, ♥10, ♦10, ♥2 | pair
♣Q, ♥4, ♠8, ♣K, ♦8 | pair
♣Q, ♥4, ♠8, ♥6, ♠6 | pair
♣Q, ♥4, ♠8, ♥6, ♦8 | pair
♣Q, ♥4, ♠8, ♠6, ♦8 | pair
♣Q, ♥4, ♠8, ♦8, ♣J | pair
♣Q, ♥4, ♠8, ♦8, ♦10 | pair
♣Q, ♥4, ♠8, ♦8, ♥2 | pair
♣Q, ♥4, ♣K, ♥6, ♠6 | pair
♣Q, ♥4, ♥6, ♠6, ♦8 | pair
♣Q, ♥4, ♥6, ♠6, ♣J | pair
♣Q, ♥4, ♥6, ♠6, ♦10 | pair
♣Q, ♥4, ♥6, ♠6, ♥2 | pair
♣Q, ♣4, ♠J, ♥10, ♣J | pair
♣Q, ♣4, ♠J, ♥10, ♦10 | pair
♣Q, ♣4, ♠J, ♠8, ♦8 | pair
♣Q, ♣4, ♠J, ♠8, ♣J | pair
♣Q, ♣4, ♠J, ♣K, ♣J | pair
♣Q, ♣4, ♠J, ♥6, ♠6 | pair
♣Q, ♣4, ♠J, ♥6, ♣J | pair
♣Q, ♣4, ♠J, ♠6, ♣J | pair
♣Q, ♣4, ♠J, ♦8, ♣J | pair
♣Q, ♣4, ♠J, ♣J, ♦10 | pair
♣Q, ♣4, ♠J, ♣J, ♥2 | pair
♣Q, ♣4, ♥10, ♠8, ♦8 | pair
♣Q, ♣4, ♥10, ♠8, ♦10 | pair
♣Q, ♣4, ♥10, ♣K, ♦10 | pair
♣Q, ♣4, ♥10, ♥6, ♠6 | pair
♣Q, ♣4, ♥10, ♥6, ♦10 | pair
♣Q, ♣4, ♥10, ♠6, ♦10 | pair
♣Q, ♣4, ♥10, ♦8, ♦10 | pair
♣Q, ♣4, ♥10, ♣J, ♦10 | pair
♣Q, ♣4, ♥10, ♦10, ♥2 | pair
♣Q, ♣4, ♠8, ♣K, ♦8 | pair
♣Q, ♣4, ♠8, ♥6, ♠6 | pair
♣Q, ♣4, ♠8, ♥6, ♦8 | pair
♣Q, ♣4, ♠8, ♠6, ♦8 | pair
♣Q, ♣4, ♠8, ♦8, ♣J | pair
♣Q, ♣4, ♠8, ♦8, ♦10 | pair
♣Q, ♣4, ♠8, ♦8, ♥2 | pair
♣Q, ♣4, ♣K, ♥6, ♠6 | pair
♣Q, ♣4, ♥6, ♠6, ♦8 | pair
♣Q, ♣4, ♥6, ♠6, ♣J | pair
♣Q, ♣4, ♥6, ♠6, ♦10 | pair
♣Q, ♣4, ♥6, ♠6, ♥2 | pair
