♣J,♠J,♠A,♠T,♦8 | Pair
♣J,♠J,♠A,♠T,♣2 | Pair
♣J,♠J,♠A,♠T,♠8 | Pair
♣J,♠J,♠A,♠T,♥J | Full House
♣J,♠J,♠A,♠T,♥Q | Pair
♣J,♠J,♠A,♠T,♦2 | Pair
♣J,♠J,♠A,♠T,♥3 | Pair
♣J,♠J,♠A,♠T,♣4 | Pair
♣J,♠J,♠A,♠T,♦5 | Pair
♣J,♠J,♠A,♠T,♣8 | Pair
♣J,♠J,♠A,♦8,♣2 | Pair
♣J,♠J,♠A,♦8,♠8 | Two Pairs
♣J,♠J,♠A,♦8,♥J | Full House
♣J,♠J,♠A,♦8,♥Q | Pair
♣J,♠J,♠A,♦8,♦2 | Pair
♣J,♠J,♠A,♦8,♥3 | Pair
♣J,♠J,♠A,♦8,♣4 | Pair
♣J,♠J,♠A,♦8,♦5 | Pair
♣J,♠J,♠A,♦8,♣8 | Two Pairs
♣J,♠J,♠A,♣2,♠8 | Pair
♣J,♠J,♠A,♣2,♥J | Full House
♣J,♠J,♠A,♣2,♥Q | Pair
♣J,♠J,♠A,♣2,♦2 | Two Pairs
♣J,♠J,♠A,♣2,♥3 | Pair
♣J,♠J,♠A,♣2,♣4 | Pair
♣J,♠J,♠A,♣2,♦5 | Pair
♣J,♠J,♠A,♣2,♣8 | Pair
♣J,♠J,♠A,♠8,♥J | Full House
♣J,♠J,♠A,♠8,♥Q | Pair
♣J,♠J,♠A,♠8,♦2 | Pair
♣J,♠J,♠A,♠8,♥3 | Pair
♣J,♠J,♠A,♠8,♣4 | Pair
♣J,♠J,♠A,♠8,♦5 | Pair
♣J,♠J,♠A,♠8,♣8 | Two Pairs
♣J,♠J,♠A,♥J,♥Q | Full House
♣J,♠J,♠A,♥J,♦2 | Full House
♣J,♠J,♠A,♥J,♥3 | Full House
♣J,♠J,♠A,♥J,♣4 | Full House
♣J,♠J,♠A,♥J,♦5 | Full House
♣J,♠J,♠A,♥J,♣8 | Full House
♣J,♠J,♠A,♥Q,♦2 | Pair
♣J,♠J,♠A,♥Q,♥3 | Pair
♣J,♠J,♠A,♥Q,♣4 | Pair
♣J,♠J,♠A,♥Q,♦5 | Pair
♣J,♠J,♠A,♥Q,♣8 | Pair
♣J,♠J,♠A,♦2,♥3 | Pair
♣J,♠J,♠A,♦2,♣4 | Pair
♣J,♠J,♠A,♦2,♦5 | Pair
♣J,♠J,♠A,♦2,♣8 | Pair
♣J,♠J,♠A,♥3,♣4 | Pair
♣J,♠J,♠A,♥3,♦5 | Pair
♣J,♠J,♠A,♥3,♣8 | Pair
♣J,♠J,♠A,♣4,♦5 | Pair
♣J,♠J,♠A,♣4,♣8 | Pair
♣J,♠J,♠A,♦5,♣8 | Pair
