♠10,♠7,♠7,♠8,♣8 | Pair
♠10,♠7,♠7,♠8,♣8 | Pair
♠10,♠7,♠7,♠8,♥6 | Pair
♠10,♠7,♠7,♠8,♣8 | Pair
♠10,♠7,♠7,♠8,♣8 | Pair
♠10,♠7,♠7,♠8,♥4 | Pair
♠10,♠7,♠7,♠8,♦5 | Pair
♠10,♠7,♠7,♠8,♦6 | Pair
♠10,♠7,♠7,♠8,♣5 | Pair
♠10,♠7,♠7,♣8,♥6 | Pair
♠10,♠7,♠7,♣8,♣8 | Pair
♠10,♠7,♠7,♣8,♣8 | Pair
♠10,♠7,♠7,♣8,♥4 | Pair
♠10,♠7,♠7,♣8,♦5 | Pair
♠10,♠7,♠7,♣8,♦6 | Pair
♠10,♠7,♠7,♣8,♣5 | Pair
♠10,♠7,♠7,♥6,♣8 | Pair
♠10,♠7,♠7,♥6,♥4 | Pair
♠10,♠7,♠7,♥6,♦5 | Pair
♠10,♠7,♠7,♥6,♦6 | Pair
♠10,♠7,♠7,♥6,♦6 | Pair
♠10,♠7,♠7,♥6,♣5 | Pair
♠10,♠7,♠7,♣8,♥4 | Pair
♠10,♠7,♠7,♣8,♦5 | Pair
♠10,♠7,♠7,♣8,♦6 | Pair
♠10,♠7,♠7,♣8,♣5 | Pair
♠10,♠7,♠7,♥4,♦5 | Pair
♠10,♠7,♠7,♥4,♦6 | Pair
♠10,♠7,♠7,♥4,♣5 | Pair
♠10,♠7,♠7,♦5,♦6 | Pair
♠10,♠7,♠7,♦5,♣5 | Pair
♠10,♠7,♠7,♦5,♣5 | Pair
♠10,♠7,♠7,♦6,♣5 | Pair
♠10,♠7,♠8,♣8,♥6 | Pair
♠10,♠7,♠8,♣8,♣8 | Pair
♠10,♠7,♠8,♣8,♣8 | Three Of A Kind
♠10,♠7,♠8,♣8,♥4 | Pair
♠10,♠7,♠8,♣8,♦5 | Pair
♠10,♠7,♠8,♣8,♦6 | Pair
♠10,♠7,♠8,♣8,♣5 | Pair
♠10,♠7,♠8,♥6,♣8 | Pair
♠10,♠7,♠8,♥6,♦6 | Pair
♠10,♠7,♠8,♣8,♥4 | Pair
♠10,♠7,♠8,♣8,♦5 | Pair
♠10,♠7,♠8,♣8,♦6 | Pair
♠10,♠7,♠8,♣8,♣5 | Pair
♠10,♠7,♠8,♦5,♣5 | Pair
♠10,♠7,♣8,♥6,♣8 | Pair
♠10,♠7,♣8,♥6,♦6 | Pair
♠10,♠7,♣8,♣8,♥4 | Pair
♠10,♠7,♣8,♣8,♦5 | Pair
♠10,♠7,♣8,♣8,♦6 | Pair
♠10,♠7,♣8,♣8,♣5 | Pair
♠10,♠7,♣8,♦5,♣5 | Pair
♠10,♠7,♥6,♣8,♦6 | Pair
♠10,♠7,♥6,♥4,♦6 | Pair
♠10,♠7,♥6,♦5,♦6 | Pair
♠10,♠7,♥6,♦5,♣5 | Pair
♠10,♠7,♥6,♦6,♣5 | Pair
♠10,♠7,♣8,♦5,♣5 | Pair
♠10,♠7,♥4,♦5,♣5 | Pair
♠10,♠7,♦5,♦6,♣5 | Pair
♠10,♠7,♠8,♣8,♥6 | Pair
♠10,♠7,♠8,♣8,♣8 | Pair
♠10,♠7,♠8,♣8,♣8 | Three Of A Kind
♠10,♠7,♠8,♣8,♥4 | Pair
♠10,♠7,♠8,♣8,♦5 | Pair
♠10,♠7,♠8,♣8,♦6 | Pair
♠10,♠7,♠8,♣8,♣5 | Pair
♠10,♠7,♠8,♥6,♣8 | Pair
♠10,♠7,♠8,♥6,♦6 | Pair
♠10,♠7,♠8,♣8,♥4 | Pair
♠10,♠7,♠8,♣8,♦5 | Pair
♠10,♠7,♠8,♣8,♦6 | Pair
♠10,♠7,♠8,♣8,♣5 | Pair
♠10,♠7,♠8,♦5,♣5 | Pair
♠10,♠7,♣8,♥6,♣8 | Pair
♠10,♠7,♣8,♥6,♦6 | Pair
♠10,♠7,♣8,♣8,♥4 | Pair
♠10,♠7,♣8,♣8,♦5 | Pair
♠10,♠7,♣8,♣8,♦6 | Pair
♠10,♠7,♣8,♣8,♣5 | Pair
♠10,♠7,♣8,♦5,♣5 | Pair
♠10,♠7,♥6,♣8,♦6 | Pair
♠10,♠7,♥6,♥4,♦6 | Pair
♠10,♠7,♥6,♦5,♦6 | Pair
♠10,♠7,♥6,♦5,♣5 | Pair
♠10,♠7,♥6,♦6,♣5 | Pair
♠10,♠7,♣8,♦5,♣5 | Pair
♠10,♠7,♥4,♦5,♣5 | Pair
♠10,♠7,♦5,♦6,♣5 | Pair
♠10,♠8,♣8,♥6,♣8 | Pair
♠10,♠8,♣8,♥6,♣8 | Three Of A Kind
♠10,♠8,♣8,♥6,♥4 | Pair
♠10,♠8,♣8,♥6,♦5 | Pair
♠10,♠8,♣8,♥6,♦6 | Pair
♠10,♠8,♣8,♥6,♦6 | Pair
♠10,♠8,♣8,♥6,♣5 | Pair
♠10,♠8,♣8,♣8,♥4 | Pair
♠10,♠8,♣8,♣8,♥4 | Three Of A Kind
♠10,♠8,♣8,♣8,♦5 | Pair
♠10,♠8,♣8,♣8,♦5 | Three Of A Kind
♠10,♠8,♣8,♣8,♦6 | Pair
♠10,♠8,♣8,♣8,♦6 | Three Of A Kind
♠10,♠8,♣8,♣8,♣5 | Pair
♠10,♠8,♣8,♣8,♣5 | Three Of A Kind
♠10,♠8,♣8,♥4,♦5 | Pair
♠10,♠8,♣8,♥4,♦6 | Pair
♠10,♠8,♣8,♥4,♣5 | Pair
♠10,♠8,♣8,♦5,♦6 | Pair
♠10,♠8,♣8,♦5,♣5 | Pair
♠10,♠8,♣8,♦5,♣5 | Pair
♠10,♠8,♣8,♦6,♣5 | Pair
♠10,♠8,♥6,♣8,♥4 | Pair
♠10,♠8,♥6,♣8,♦5 | Pair
♠10,♠8,♥6,♣8,♦6 | Pair
♠10,♠8,♥6,♣8,♦6 | Pair
♠10,♠8,♥6,♣8,♣5 | Pair
♠10,♠8,♥6,♥4,♦6 | Pair
♠10,♠8,♥6,♦5,♦6 | Pair
♠10,♠8,♥6,♦5,♣5 | Pair
♠10,♠8,♥6,♦6,♣5 | Pair
♠10,♠8,♣8,♥4,♦5 | Pair
♠10,♠8,♣8,♥4,♦6 | Pair
♠10,♠8,♣8,♥4,♣5 | Pair
♠10,♠8,♣8,♦5,♦6 | Pair
♠10,♠8,♣8,♦5,♣5 | Pair
♠10,♠8,♣8,♦5,♣5 | Pair
♠10,♠8,♣8,♦6,♣5 | Pair
♠10,♠8,♥4,♦5,♣5 | Pair
♠10,♠8,♦5,♦6,♣5 | Pair
♠10,♣8,♥6,♣8,♥4 | Pair
♠10,♣8,♥6,♣8,♦5 | Pair
♠10,♣8,♥6,♣8,♦6 | Pair
♠10,♣8,♥6,♣8,♦6 | Pair
♠10,♣8,♥6,♣8,♣5 | Pair
♠10,♣8,♥6,♥4,♦6 | Pair
♠10,♣8,♥6,♦5,♦6 | Pair
♠10,♣8,♥6,♦5,♣5 | Pair
♠10,♣8,♥6,♦6,♣5 | Pair
♠10,♣8,♣8,♥4,♦5 | Pair
♠10,♣8,♣8,♥4,♦6 | Pair
♠10,♣8,♣8,♥4,♣5 | Pair
♠10,♣8,♣8,♦5,♦6 | Pair
♠10,♣8,♣8,♦5,♣5 | Pair
♠10,♣8,♣8,♦5,♣5 | Pair
♠10,♣8,♣8,♦6,♣5 | Pair
♠10,♣8,♥4,♦5,♣5 | Pair
♠10,♣8,♦5,♦6,♣5 | Pair
♠10,♥6,♣8,♥4,♦6 | Pair
♠10,♥6,♣8,♦5,♦6 | Pair
♠10,♥6,♣8,♦5,♣5 | Pair
♠10,♥6,♣8,♦6,♣5 | Pair
♠10,♥6,♥4,♦5,♦6 | Pair
♠10,♥6,♥4,♦5,♣5 | Pair
♠10,♥6,♥4,♦6,♣5 | Pair
♠10,♥6,♦5,♦6,♣5 | Pair
♠10,♥6,♦5,♦6,♣5 | Pair
♠10,♣8,♥4,♦5,♣5 | Pair
♠10,♣8,♦5,♦6,♣5 | Pair
♠10,♥4,♦5,♦6,♣5 | Pair
♠7,♠7,♠8,♣8,♥6 | Pair
♠7,♠7,♠8,♣8,♥6 | Pair
♠7,♠7,♠8,♣8,♣8 | Pair
♠7,♠7,♠8,♣8,♣8 | Pair
♠7,♠7,♠8,♣8,♣8 | Three Of A Kind
♠7,♠7,♠8,♣8,♥4 | Pair
♠7,♠7,♠8,♣8,♥4 | Pair
♠7,♠7,♠8,♣8,♦5 | Pair
♠7,♠7,♠8,♣8,♦5 | Pair
♠7,♠7,♠8,♣8,♦6 | Pair
♠7,♠7,♠8,♣8,♦6 | Pair
♠7,♠7,♠8,♣8,♣5 | Pair
♠7,♠7,♠8,♣8,♣5 | Pair
♠7,♠7,♠8,♥6,♣8 | Pair
