♠6, ♥8, ♦J, ♥10, ♦6 | pair
♠6, ♥8, ♦J, ♣7, ♦7 | pair
♠6, ♥8, ♦J, ♣7, ♦6 | pair
♠6, ♥8, ♦J, ♣7, ♠7 | pair
♠6, ♥8, ♦J, ♦Q, ♦6 | pair
♠6, ♥8, ♦J, ♦Q, ♣Q | pair
♠6, ♥8, ♦J, ♣K, ♦6 | pair
♠6, ♥8, ♦J, ♦7, ♦6 | pair
♠6, ♥8, ♦J, ♦7, ♠7 | pair
♠6, ♥8, ♦J, ♣2, ♦6 | pair
♠6, ♥8, ♦J, ♦6, ♠7 | pair
♠6, ♥8, ♦J, ♦6, ♠5 | pair
♠6, ♥8, ♦J, ♦6, ♣Q | pair
♠6, ♥8, ♦J, ♦6, ♣9 | pair
♠6, ♥8, ♦J, ♦6, ♣5 | pair
♠6, ♥8, ♦J, ♠5, ♣5 | pair
♠6, ♥8, ♥10, ♣7, ♦7 | pair
♠6, ♥8, ♥10, ♣7, ♦6 | pair
♠6, ♥8, ♥10, ♣7, ♠7 | pair
♠6, ♥8, ♥10, ♣7, ♣9 | straight
♠6, ♥8, ♥10, ♦Q, ♦6 | pair
♠6, ♥8, ♥10, ♦Q, ♣Q | pair
♠6, ♥8, ♥10, ♣K, ♦6 | pair
♠6, ♥8, ♥10, ♦7, ♦6 | pair
♠6, ♥8, ♥10, ♦7, ♠7 | pair
♠6, ♥8, ♥10, ♦7, ♣9 | straight
♠6, ♥8, ♥10, ♣2, ♦6 | pair
♠6, ♥8, ♥10, ♦6, ♠7 | pair
♠6, ♥8, ♥10, ♦6, ♠5 | pair
♠6, ♥8, ♥10, ♦6, ♣Q | pair
♠6, ♥8, ♥10, ♦6, ♣9 | pair
♠6, ♥8, ♥10, ♦6, ♣5 | pair
♠6, ♥8, ♥10, ♠7, ♣9 | straight
♠6, ♥8, ♥10, ♠5, ♣5 | pair
♠6, ♥8, ♣7, ♦Q, ♦7 | pair
♠6, ♥8, ♣7, ♦Q, ♦6 | pair
♠6, ♥8, ♣7, ♦Q, ♠7 | pair
♠6, ♥8, ♣7, ♦Q, ♣Q | pair
♠6, ♥8, ♣7, ♣K, ♦7 | pair
♠6, ♥8, ♣7, ♣K, ♦6 | pair
♠6, ♥8, ♣7, ♣K, ♠7 | pair
♠6, ♥8, ♣7, ♦7, ♣2 | pair
♠6, ♥8, ♣7, ♦7, ♦6 | two pairs
♠6, ♥8, ♣7, ♦7, ♠7 | three of a kind
♠6, ♥8, ♣7, ♦7, ♠5 | pair
♠6, ♥8, ♣7, ♦7, ♣Q | pair
♠6, ♥8, ♣7, ♦7, ♣9 | pair
