♥8,♦T,♥T,♠6,♥9 | Pair
♥8,♦T,♥T,♠6,♣J | Pair
♥8,♦T,♥T,♠6,♣6 | Two Pairs
♥8,♦T,♥T,♠6,♥K | Pair
♥8,♦T,♥T,♠6,♣T | Full House
♥8,♦T,♥T,♠6,♣2 | Pair
♥8,♦T,♥T,♠6,♦A | Pair
♥8,♦T,♥T,♠6,♣K | Pair
♥8,♦T,♥T,♠6,♠3 | Pair
♥8,♦T,♥T,♥9,♣J | Pair
♥8,♦T,♥T,♥9,♣6 | Pair
♥8,♦T,♥T,♥9,♥K | Pair
♥8,♦T,♥T,♥9,♣T | Full House
♥8,♦T,♥T,♥9,♣2 | Pair
♥8,♦T,♥T,♥9,♦A | Pair
♥8,♦T,♥T,♥9,♣K | Pair
♥8,♦T,♥T,♥9,♠3 | Pair
♥8,♦T,♥T,♣J,♣6 | Pair
♥8,♦T,♥T,♣J,♥K | Pair
♥8,♦T,♥T,♣J,♣T | Full House
♥8,♦T,♥T,♣J,♣2 | Pair
♥8,♦T,♥T,♣J,♦A | Pair
♥8,♦T,♥T,♣J,♣K | Pair
♥8,♦T,♥T,♣J,♠3 | Pair
♥8,♦T,♥T,♣6,♥K | Pair
♥8,♦T,♥T,♣6,♣T | Full House
♥8,♦T,♥T,♣6,♣2 | Pair
♥8,♦T,♥T,♣6,♦A | Pair
♥8,♦T,♥T,♣6,♣K | Pair
♥8,♦T,♥T,♣6,♠3 | Pair
♥8,♦T,♥T,♥K,♣T | Full House
♥8,♦T,♥T,♥K,♣2 | Pair
♥8,♦T,♥T,♥K,♦A | Pair
♥8,♦T,♥T,♥K,♣K | Two Pairs
♥8,♦T,♥T,♥K,♠3 | Pair
♥8,♦T,♥T,♣T,♣2 | Full House
♥8,♦T,♥T,♣T,♦A | Full House
♥8,♦T,♥T,♣T,♣K | Full House
♥8,♦T,♥T,♣T,♠3 | Full House
♥8,♦T,♥T,♣2,♦A | Pair
♥8,♦T,♥T,♣2,♣K | Pair
♥8,♦T,♥T,♣2,♠3 | Pair
♥8,♦T,♥T,♦A,♣K | Pair
♥8,♦T,♥T,♦A,♠3 | Pair
♥8,♦T,♥T,♣K,♠3 | Pair
♥8,♦T,♠6,♥9,♣6 | Pair
♥8,♦T,♠6,♥9,♣T | Pair
♥8,♦T,♠6,♣J,♣6 | Pair
♥8,♦T,♠6,♣J,♣T | Pair
♥8,♦T,♠6,♣6,♥K | Pair
♥8,♦T,♠6,♣6,♣T | Two Pairs
♥8,♦T,♠6,♣6,♣2 | Pair
♥8,♦T,♠6,♣6,♦A | Pair
♥8,♦T,♠6,♣6,♣K | Pair
