♦8,♥4,♠4,♦9,♦7 | Pair
♦8,♥4,♠4,♦9,♥7 | Pair
♦8,♥4,♠4,♦9,♣T | Pair
♦8,♥4,♠4,♦9,♠K | Pair
♦8,♥4,♠4,♦9,♥2 | Pair
♦8,♥4,♠4,♦9,♥K | Pair
♦8,♥4,♠4,♦9,♠2 | Pair
♦8,♥4,♠4,♦9,♦K | Pair
♦8,♥4,♠4,♦7,♥7 | Two Pairs
♦8,♥4,♠4,♦7,♣T | Pair
♦8,♥4,♠4,♦7,♠K | Pair
♦8,♥4,♠4,♦7,♥2 | Pair
♦8,♥4,♠4,♦7,♥K | Pair
♦8,♥4,♠4,♦7,♠2 | Pair
♦8,♥4,♠4,♦7,♦K | Pair
♦8,♥4,♠4,♥7,♣T | Pair
♦8,♥4,♠4,♥7,♠K | Pair
♦8,♥4,♠4,♥7,♥2 | Pair
♦8,♥4,♠4,♥7,♥K | Pair
♦8,♥4,♠4,♥7,♠2 | Pair
♦8,♥4,♠4,♥7,♦K | Pair
♦8,♥4,♠4,♣T,♠K | Pair
♦8,♥4,♠4,♣T,♥2 | Pair
♦8,♥4,♠4,♣T,♥K | Pair
♦8,♥4,♠4,♣T,♠2 | Pair
♦8,♥4,♠4,♣T,♦K | Pair
♦8,♥4,♠4,♠K,♥2 | Pair
♦8,♥4,♠4,♠K,♥K | Two Pairs
♦8,♥4,♠4,♠K,♠2 | Pair
♦8,♥4,♠4,♠K,♦K | Two Pairs
♦8,♥4,♠4,♥2,♥K | Pair
♦8,♥4,♠4,♥2,♠2 | Two Pairs
♦8,♥4,♠4,♥2,♦K | Pair
♦8,♥4,♠4,♥K,♠2 | Pair
♦8,♥4,♠4,♥K,♦K | Two Pairs
♦8,♥4,♠4,♠2,♦K | Pair
♦8,♥4,♦9,♦7,♥7 | Pair
♦8,♥4,♦9,♠K,♥K | Pair
♦8,♥4,♦9,♠K,♦K | Pair
♦8,♥4,♦9,♥2,♠2 | Pair
♦8,♥4,♦9,♥K,♦K | Pair
♦8,♥4,♦7,♥7,♣T | Pair
