♣T,♥A,♠7,♥J,♦7 | Pair
♣T,♥A,♠7,♥J,♣7 | Pair
♣T,♥A,♠7,♥J,♥T | Pair
♣T,♥A,♠7,♣5,♦7 | Pair
♣T,♥A,♠7,♣5,♣7 | Pair
♣T,♥A,♠7,♣5,♥T | Pair
♣T,♥A,♠7,♣9,♦7 | Pair
♣T,♥A,♠7,♣9,♣7 | Pair
♣T,♥A,♠7,♣9,♥T | Pair
♣T,♥A,♠7,♣9,♦9 | Pair
♣T,♥A,♠7,♣9,♠9 | Pair
♣T,♥A,♠7,♦7,♦K | Pair
♣T,♥A,♠7,♦7,♣3 | Pair
♣T,♥A,♠7,♦7,♣7 | Full House
♣T,♥A,♠7,♦7,♥Q | Pair
♣T,♥A,♠7,♦7,♦3 | Pair
♣T,♥A,♠7,♦7,♥T | Two Pairs
♣T,♥A,♠7,♦7,♦9 | Pair
♣T,♥A,♠7,♦7,♠9 | Pair
♣T,♥A,♠7,♦7,♠6 | Pair
♣T,♥A,♠7,♦K,♣7 | Pair
♣T,♥A,♠7,♦K,♥T | Pair
♣T,♥A,♠7,♣3,♣7 | Pair
♣T,♥A,♠7,♣3,♦3 | Pair
♣T,♥A,♠7,♣3,♥T | Pair
♣T,♥A,♠7,♣7,♥Q | Pair
♣T,♥A,♠7,♣7,♦3 | Pair
♣T,♥A,♠7,♣7,♥T | Two Pairs
♣T,♥A,♠7,♣7,♦9 | Pair
♣T,♥A,♠7,♣7,♠9 | Pair
♣T,♥A,♠7,♣7,♠6 | Pair
♣T,♥A,♠7,♥Q,♥T | Pair
♣T,♥A,♠7,♦3,♥T | Pair
♣T,♥A,♠7,♥T,♦9 | Pair
♣T,♥A,♠7,♥T,♠9 | Pair
♣T,♥A,♠7,♥T,♠6 | Pair
♣T,♥A,♠7,♦9,♠9 | Pair
♣T,♥A,♥J,♣5,♥T | Pair
♣T,♥A,♥J,♣9,♥T | Pair
♣T,♥A,♥J,♣9,♦9 | Pair
♣T,♥A,♥J,♣9,♠9 | Pair
♣T,♥A,♥J,♦7,♣7 | Pair
♣T,♥A,♥J,♦7,♥T | Pair
♣T,♥A,♥J,♦K,♥T | Pair
♣T,♥A,♥J,♣3,♦3 | Pair
♣T,♥A,♥J,♣3,♥T | Pair
♣T,♥A,♥J,♣7,♥T | Pair
♣T,♥A,♥J,♥Q,♥T | Pair
♣T,♥A,♥J,♦3,♥T | Pair
♣T,♥A,♥J,♥T,♦9 | Pair
♣T,♥A,♥J,♥T,♠9 | Pair
♣T,♥A,♥J,♥T,♠6 | Pair
♣T,♥A,♥J,♦9,♠9 | Pair
♣T,♥A,♣5,♣9,♥T | Pair
♣T,♥A,♣5,♣9,♦9 | Pair
♣T,♥A,♣5,♣9,♠9 | Pair
♣T,♥A,♣5,♦7,♣7 | Pair
♣T,♥A,♣5,♦7,♥T | Pair
♣T,♥A,♣5,♦K,♥T | Pair
♣T,♥A,♣5,♣3,♦3 | Pair
♣T,♥A,♣5,♣3,♥T | Pair
♣T,♥A,♣5,♣7,♥T | Pair
♣T,♥A,♣5,♥Q,♥T | Pair
♣T,♥A,♣5,♦3,♥T | Pair
♣T,♥A,♣5,♥T,♦9 | Pair
♣T,♥A,♣5,♥T,♠9 | Pair
♣T,♥A,♣5,♥T,♠6 | Pair
♣T,♥A,♣5,♦9,♠9 | Pair
♣T,♥A,♣9,♦7,♣7 | Pair
♣T,♥A,♣9,♦7,♥T | Pair
♣T,♥A,♣9,♦7,♦9 | Pair
♣T,♥A,♣9,♦7,♠9 | Pair
♣T,♥A,♣9,♦K,♥T | Pair
♣T,♥A,♣9,♦K,♦9 | Pair
♣T,♥A,♣9,♦K,♠9 | Pair
♣T,♥A,♣9,♣3,♦3 | Pair
♣T,♥A,♣9,♣3,♥T | Pair
♣T,♥A,♣9,♣3,♦9 | Pair
♣T,♥A,♣9,♣3,♠9 | Pair
♣T,♥A,♣9,♣7,♥T | Pair
♣T,♥A,♣9,♣7,♦9 | Pair
♣T,♥A,♣9,♣7,♠9 | Pair
♣T,♥A,♣9,♥Q,♥T | Pair
♣T,♥A,♣9,♥Q,♦9 | Pair
♣T,♥A,♣9,♥Q,♠9 | Pair
♣T,♥A,♣9,♦3,♥T | Pair
♣T,♥A,♣9,♦3,♦9 | Pair
♣T,♥A,♣9,♦3,♠9 | Pair
♣T,♥A,♣9,♥T,♦9 | Two Pairs
♣T,♥A,♣9,♥T,♠9 | Two Pairs
♣T,♥A,♣9,♥T,♠6 | Pair
♣T,♥A,♣9,♦9,♠9 | Full House
♣T,♥A,♣9,♦9,♠6 | Pair
♣T,♥A,♣9,♠9,♠6 | Pair
♣T,♥A,♦7,♦K,♣7 | Pair
♣T,♥A,♦7,♦K,♥T | Pair
♣T,♥A,♦7,♣3,♣7 | Pair
♣T,♥A,♦7,♣3,♦3 | Pair
♣T,♥A,♦7,♣3,♥T | Pair
♣T,♥A,♦7,♣7,♥Q | Pair
♣T,♥A,♦7,♣7,♦3 | Pair
♣T,♥A,♦7,♣7,♥T | Two Pairs
♣T,♥A,♦7,♣7,♦9 | Pair
♣T,♥A,♦7,♣7,♠9 | Pair
♣T,♥A,♦7,♣7,♠6 | Pair
♣T,♥A,♦7,♥Q,♥T | Pair
♣T,♥A,♦7,♦3,♥T | Pair
♣T,♥A,♦7,♥T,♦9 | Pair
♣T,♥A,♦7,♥T,♠9 | Pair
♣T,♥A,♦7,♥T,♠6 | Pair
♣T,♥A,♦7,♦9,♠9 | Pair
♣T,♥A,♦K,♣3,♦3 | Pair
♣T,♥A,♦K,♣3,♥T | Pair
♣T,♥A,♦K,♣7,♥T | Pair
♣T,♥A,♦K,♥Q,♥T | Pair
♣T,♥A,♦K,♦3,♥T | Pair
♣T,♥A,♦K,♥T,♦9 | Pair
♣T,♥A,♦K,♥T,♠9 | Pair
♣T,♥A,♦K,♥T,♠6 | Pair
♣T,♥A,♦K,♦9,♠9 | Pair
♣T,♥A,♣3,♣7,♦3 | Pair
♣T,♥A,♣3,♣7,♥T | Pair
♣T,♥A,♣3,♥Q,♦3 | Pair
♣T,♥A,♣3,♥Q,♥T | Pair
♣T,♥A,♣3,♦3,♥T | Two Pairs
♣T,♥A,♣3,♦3,♦9 | Pair
♣T,♥A,♣3,♦3,♠9 | Pair
♣T,♥A,♣3,♦3,♠6 | Pair
