♦8, ♣4, ♦2, ♦3, ♥3 | pair
♦8, ♣4, ♠7, ♦3, ♥3 | pair
♦8, ♣4, ♦3, ♦A, ♥3 | pair
♦8, ♣4, ♦3, ♥3, ♥10 | pair
♦8, ♣4, ♦3, ♥3, ♠J | pair
♦8, ♦2, ♠7, ♦3, ♥3 | pair
♦8, ♦2, ♦3, ♦A, ♥3 | pair
♦8, ♦2, ♦3, ♥3, ♥10 | pair
♦8, ♦2, ♦3, ♥3, ♠J | pair
♦8, ♠7, ♦3, ♦A, ♥3 | pair
♦8, ♠7, ♦3, ♥3, ♥10 | pair
♦8, ♠7, ♦3, ♥3, ♠J | pair
♦8, ♦3, ♦A, ♥3, ♥10 | pair
♦8, ♦3, ♦A, ♥3, ♠J | pair
♦8, ♦3, ♥3, ♥10, ♠J | pair
♣4, ♦2, ♠7, ♦3, ♥3 | pair
♣4, ♦2, ♦3, ♦A, ♥3 | pair
♣4, ♦2, ♦3, ♥3, ♥10 | pair
♣4, ♦2, ♦3, ♥3, ♠J | pair
♣4, ♠7, ♦3, ♦A, ♥3 | pair
♣4, ♠7, ♦3, ♥3, ♥10 | pair
♣4, ♠7, ♦3, ♥3, ♠J | pair
♣4, ♦3, ♦A, ♥3, ♥10 | pair
♣4, ♦3, ♦A, ♥3, ♠J | pair
♣4, ♦3, ♥3, ♥10, ♠J | pair
♦2, ♠7, ♦3, ♦A, ♥3 | pair
♦2, ♠7, ♦3, ♥3, ♥10 | pair
♦2, ♠7, ♦3, ♥3, ♠J | pair
♦2, ♦3, ♦A, ♥3, ♥10 | pair
♦2, ♦3, ♦A, ♥3, ♠J | pair
♦2, ♦3, ♥3, ♥10, ♠J | pair
♠7, ♦3, ♦A, ♥3, ♥10 | pair
♠7, ♦3, ♦A, ♥3, ♠J | pair
♠7, ♦3, ♥3, ♥10, ♠J | pair
♦3, ♦A, ♥3, ♥10, ♠J | pair
