♠7,♣A,♦8,♠J,♣7 | Pair
♠7,♣A,♦8,♥5,♣7 | Pair
♠7,♣A,♦8,♠Q,♣7 | Pair
♠7,♣A,♦8,♦T,♣7 | Pair
♠7,♣A,♦8,♦T,♠T | Pair
♠7,♣A,♦8,♣7,♦K | Pair
♠7,♣A,♦8,♣7,♠T | Pair
♠7,♣A,♦8,♣7,♠2 | Pair
♠7,♣A,♠J,♥5,♣7 | Pair
♠7,♣A,♠J,♠Q,♣7 | Pair
♠7,♣A,♠J,♦T,♣7 | Pair
♠7,♣A,♠J,♦T,♠T | Pair
♠7,♣A,♠J,♣7,♦K | Pair
♠7,♣A,♠J,♣7,♠T | Pair
♠7,♣A,♠J,♣7,♠2 | Pair
♠7,♣A,♥5,♠Q,♣7 | Pair
♠7,♣A,♥5,♦T,♣7 | Pair
♠7,♣A,♥5,♦T,♠T | Pair
♠7,♣A,♥5,♣7,♦K | Pair
♠7,♣A,♥5,♣7,♠T | Pair
♠7,♣A,♥5,♣7,♠2 | Pair
♠7,♣A,♠Q,♦T,♣7 | Pair
♠7,♣A,♠Q,♦T,♠T | Pair
♠7,♣A,♠Q,♣7,♦K | Pair
♠7,♣A,♠Q,♣7,♠T | Pair
♠7,♣A,♠Q,♣7,♠2 | Pair
♠7,♣A,♦T,♣7,♦K | Pair
♠7,♣A,♦T,♣7,♠T | Two Pairs
♠7,♣A,♦T,♣7,♠2 | Pair
♠7,♣A,♦T,♦K,♠T | Pair
♠7,♣A,♦T,♠T,♠2 | Pair
♠7,♣A,♣7,♦K,♠T | Pair
♠7,♣A,♣7,♦K,♠2 | Pair
♠7,♣A,♣7,♠T,♠2 | Pair
♠7,♦8,♠J,♥5,♣7 | Pair
♠7,♦8,♠J,♠Q,♣7 | Pair
♠7,♦8,♠J,♦T,♣7 | Pair
♠7,♦8,♠J,♦T,♠T | Pair
♠7,♦8,♠J,♣7,♦K | Pair
♠7,♦8,♠J,♣7,♠T | Pair
♠7,♦8,♠J,♣7,♠2 | Pair
♠7,♦8,♥5,♠Q,♣7 | Pair
♠7,♦8,♥5,♦T,♣7 | Pair
♠7,♦8,♥5,♦T,♠T | Pair
♠7,♦8,♥5,♣7,♦K | Pair
♠7,♦8,♥5,♣7,♠T | Pair
♠7,♦8,♥5,♣7,♠2 | Pair
♠7,♦8,♠Q,♦T,♣7 | Pair
♠7,♦8,♠Q,♦T,♠T | Pair
♠7,♦8,♠Q,♣7,♦K | Pair
♠7,♦8,♠Q,♣7,♠T | Pair
♠7,♦8,♠Q,♣7,♠2 | Pair
♠7,♦8,♦T,♣7,♦K | Pair
♠7,♦8,♦T,♣7,♠T | Two Pairs
