♣2,♥5,♠10,♦10,♦J | Pair
♣2,♠9,♠10,♦10,♦J | Pair
♣2,♠10,♦10,♦J,♥Q | Pair
♣2,♥3,♠10,♦10,♦J | Pair
♣2,♥3,♦3,♠10,♦J | Pair
♣2,♥4,♠10,♦10,♦J | Pair
♣2,♦6,♠10,♦10,♦J | Pair
♣2,♦3,♠10,♦10,♦J | Pair
♣2,♦4,♠10,♦10,♦J | Pair
♣2,♥4,♦4,♠10,♦J | Pair
♣2,♥3,♦3,♥5,♦J | Pair
♣2,♥4,♦4,♥5,♦J | Pair
♣2,♥3,♦3,♠9,♦J | Pair
♣2,♥4,♦4,♠9,♦J | Pair
♣2,♥3,♦3,♦J,♥Q | Pair
♣2,♥4,♦4,♦J,♥Q | Pair
♣2,♥3,♦3,♦10,♦J | Pair
♣2,♥3,♦3,♥4,♦J | Pair
♣2,♥3,♥4,♦4,♦J | Pair
♣2,♥3,♦3,♦6,♦J | Pair
♣2,♥3,♦3,♦4,♦J | Pair
♣2,♥4,♦4,♦10,♦J | Pair
♣2,♥4,♦4,♦6,♦J | Pair
♣2,♦3,♥4,♦4,♦J | Pair
♣2,♥5,♠9,♠10,♦10 | Pair
♣2,♥5,♠10,♦10,♥Q | Pair
♣2,♥3,♥5,♠10,♦10 | Pair
♣2,♥3,♦3,♥5,♠10 | Pair
♣2,♥4,♥5,♠10,♦10 | Pair
♣2,♥5,♦6,♠10,♦10 | Pair
♣2,♦3,♥5,♠10,♦10 | Pair
♣2,♦4,♥5,♠10,♦10 | Pair
♣2,♥4,♦4,♥5,♠10 | Pair
♣2,♠9,♠10,♦10,♥Q | Pair
♣2,♥3,♠9,♠10,♦10 | Pair
♣2,♥3,♦3,♠9,♠10 | Pair
♣2,♥4,♠9,♠10,♦10 | Pair
♣2,♦6,♠9,♠10,♦10 | Pair
♣2,♦3,♠9,♠10,♦10 | Pair
♣2,♦4,♠9,♠10,♦10 | Pair
♣2,♥4,♦4,♠9,♠10 | Pair
♣2,♥3,♠10,♦10,♥Q | Pair
♣2,♥3,♦3,♠10,♥Q | Pair
♣2,♥4,♠10,♦10,♥Q | Pair
♣2,♦6,♠10,♦10,♥Q | Pair
♣2,♦3,♠10,♦10,♥Q | Pair
♣2,♦4,♠10,♦10,♥Q | Pair
♣2,♥4,♦4,♠10,♥Q | Pair
♣2,♥3,♥4,♠10,♦10 | Pair
♣2,♥3,♦6,♠10,♦10 | Pair
♣2,♥3,♦3,♠10,♦10 | Two pairs
♣2,♥3,♦4,♠10,♦10 | Pair
♣2,♥3,♦3,♥4,♠10 | Pair
♣2,♥3,♥4,♦4,♠10 | Pair
♣2,♥3,♦3,♦6,♠10 | Pair
♣2,♥3,♦3,♦4,♠10 | Pair
♣2,♥4,♦6,♠10,♦10 | Pair
♣2,♦3,♥4,♠10,♦10 | Pair
♣2,♥4,♦4,♠10,♦10 | Two pairs
♣2,♦3,♦6,♠10,♦10 | Pair
♣2,♦4,♦6,♠10,♦10 | Pair
♣2,♦3,♦4,♠10,♦10 | Pair
♣2,♥4,♦4,♦6,♠10 | Pair
♣2,♦3,♥4,♦4,♠10 | Pair
♣2,♥3,♦3,♥5,♠9 | Pair
♣2,♥4,♦4,♥5,♠9 | Pair
♣2,♥3,♦3,♥5,♥Q | Pair
♣2,♥4,♦4,♥5,♥Q | Pair
♣2,♥3,♦3,♥5,♦10 | Pair
♣2,♥3,♥4,♥5,♦6 | Straight
♣2,♥3,♦3,♥4,♥5 | Pair
♣2,♥3,♥4,♦4,♥5 | Pair
♣2,♥3,♦3,♥5,♦6 | Pair
♣2,♥3,♦4,♥5,♦6 | Straight
♣2,♥3,♦3,♦4,♥5 | Pair
♣2,♥4,♦4,♥5,♦10 | Pair
♣2,♦3,♥4,♥5,♦6 | Straight
♣2,♥4,♦4,♥5,♦6 | Pair
♣2,♦3,♥4,♦4,♥5 | Pair
♣2,♦3,♦4,♥5,♦6 | Straight
♣2,♥3,♦3,♠9,♥Q | Pair
♣2,♥4,♦4,♠9,♥Q | Pair
♣2,♥3,♦3,♠9,♦10 | Pair
♣2,♥3,♦3,♥4,♠9 | Pair
♣2,♥3,♥4,♦4,♠9 | Pair
♣2,♥3,♦3,♦6,♠9 | Pair
♣2,♥3,♦3,♦4,♠9 | Pair
♣2,♥4,♦4,♠9,♦10 | Pair
♣2,♥4,♦4,♦6,♠9 | Pair
♣2,♦3,♥4,♦4,♠9 | Pair
♣2,♥3,♦3,♦10,♥Q | Pair
♣2,♥3,♦3,♥4,♥Q | Pair
♣2,♥3,♥4,♦4,♥Q | Pair
♣2,♥3,♦3,♦6,♥Q | Pair
♣2,♥3,♦3,♦4,♥Q | Pair
♣2,♥4,♦4,♦10,♥Q | Pair
♣2,♥4,♦4,♦6,♥Q | Pair
♣2,♦3,♥4,♦4,♥Q | Pair
♣2,♥3,♦3,♥4,♦10 | Pair
♣2,♥3,♥4,♦4,♦10 | Pair
♣2,♥3,♦3,♦6,♦10 | Pair
♣2,♥3,♦3,♦4,♦10 | Pair
♣2,♥3,♦3,♥4,♦6 | Pair
♣2,♥3,♥4,♦4,♦6 | Pair
♣2,♥3,♦3,♥4,♦4 | Two pairs
♣2,♥3,♦3,♦4,♦6 | Pair
♣2,♥4,♦4,♦6,♦10 | Pair
♣2,♦3,♥4,♦4,♦10 | Pair
♣2,♦3,♥4,♦4,♦6 | Pair
♥5,♠9,♠10,♦10,♦J | Pair
♥5,♠10,♦10,♦J,♥Q | Pair
♥3,♥5,♠10,♦10,♦J | Pair
♥3,♦3,♥5,♠10,♦J | Pair
♥4,♥5,♠10,♦10,♦J | Pair
♥5,♦6,♠10,♦10,♦J | Pair
♦3,♥5,♠10,♦10,♦J | Pair
♦4,♥5,♠10,♦10,♦J | Pair
♥4,♦4,♥5,♠10,♦J | Pair
♠9,♠10,♦10,♦J,♥Q | Pair
♥3,♠9,♠10,♦10,♦J | Pair
♥3,♦3,♠9,♠10,♦J | Pair
♥4,♠9,♠10,♦10,♦J | Pair
♦6,♠9,♠10,♦10,♦J | Pair
♦3,♠9,♠10,♦10,♦J | Pair
♦4,♠9,♠10,♦10,♦J | Pair
♥4,♦4,♠9,♠10,♦J | Pair
♥3,♠10,♦10,♦J,♥Q | Pair
♥3,♦3,♠10,♦J,♥Q | Pair
♥4,♠10,♦10,♦J,♥Q | Pair
♦6,♠10,♦10,♦J,♥Q | Pair
♦3,♠10,♦10,♦J,♥Q | Pair
♦4,♠10,♦10,♦J,♥Q | Pair
♥4,♦4,♠10,♦J,♥Q | Pair
♥3,♥4,♠10,♦10,♦J | Pair
♥3,♦6,♠10,♦10,♦J | Pair
♥3,♦3,♠10,♦10,♦J | Two pairs
♥3,♦4,♠10,♦10,♦J | Pair
♥3,♦3,♥4,♠10,♦J | Pair
♥3,♥4,♦4,♠10,♦J | Pair
♥3,♦3,♦6,♠10,♦J | Pair
♥3,♦3,♦4,♠10,♦J | Pair
♥4,♦6,♠10,♦10,♦J | Pair
♦3,♥4,♠10,♦10,♦J | Pair
♥4,♦4,♠10,♦10,♦J | Two pairs
♦3,♦6,♠10,♦10,♦J | Pair
♦4,♦6,♠10,♦10,♦J | Pair
♦3,♦4,♠10,♦10,♦J | Pair
♥4,♦4,♦6,♠10,♦J | Pair
♦3,♥4,♦4,♠10,♦J | Pair
♥3,♦3,♥5,♠9,♦J | Pair
♥4,♦4,♥5,♠9,♦J | Pair
♥3,♦3,♥5,♦J,♥Q | Pair
♥4,♦4,♥5,♦J,♥Q | Pair
♥3,♦3,♥5,♦10,♦J | Pair
♥3,♦3,♥4,♥5,♦J | Pair
♥3,♥4,♦4,♥5,♦J | Pair
♥3,♦3,♥5,♦6,♦J | Pair
♥3,♦3,♦4,♥5,♦J | Pair
♥4,♦4,♥5,♦10,♦J | Pair
♥4,♦4,♥5,♦6,♦J | Pair
♦3,♥4,♦4,♥5,♦J | Pair
♥3,♦3,♠9,♦J,♥Q | Pair
♥4,♦4,♠9,♦J,♥Q | Pair
♥3,♦3,♠9,♦10,♦J | Pair
♥3,♦3,♥4,♠9,♦J | Pair
♥3,♥4,♦4,♠9,♦J | Pair
♥3,♦3,♦6,♠9,♦J | Pair
♥3,♦3,♦4,♠9,♦J | Pair
♥4,♦4,♠9,♦10,♦J | Pair
♥4,♦4,♦6,♠9,♦J | Pair
♦3,♥4,♦4,♠9,♦J | Pair
♥3,♦3,♦10,♦J,♥Q | Pair
♥3,♦3,♥4,♦J,♥Q | Pair
♥3,♥4,♦4,♦J,♥Q | Pair
♥3,♦3,♦6,♦J,♥Q | Pair
♥3,♦3,♦4,♦J,♥Q | Pair
♥4,♦4,♦10,♦J,♥Q | Pair
♥4,♦4,♦6,♦J,♥Q | Pair
♦3,♥4,♦4,♦J,♥Q | Pair
♥3,♦3,♥4,♦10,♦J | Pair
♥3,♥4,♦4,♦10,♦J | Pair
♥3,♦3,♦6,♦10,♦J | Pair
♥3,♦3,♦4,♦10,♦J | Pair
♥3,♦3,♥4,♦6,♦J | Pair
♥3,♥4,♦4,♦6,♦J | Pair
♥3,♦3,♥4,♦4,♦J | Two pairs
♥3,♦3,♦4,♦6,♦J | Pair
♥4,♦4,♦6,♦10,♦J | Pair
♦3,♥4,♦4,♦10,♦J | Pair
♦3,♦4,♦6,♦10,♦J | Flush
♦3,♥4,♦4,♦6,♦J | Pair
♥5,♠9,♠10,♦10,♥Q | Pair
♥3,♥5,♠9,♠10,♦10 | Pair
♥3,♦3,♥5,♠9,♠10 | Pair
♥4,♥5,♠9,♠10,♦10 | Pair
♥5,♦6,♠9,♠10,♦10 | Pair
♦3,♥5,♠9,♠10,♦10 | Pair
♦4,♥5,♠9,♠10,♦10 | Pair
