♠5,♥K,♣5,♥T,♦2 | Pair
♠5,♥K,♣5,♥T,♥2 | Pair
♠5,♥K,♣5,♥T,♣8 | Pair
♠5,♥K,♣5,♥T,♣7 | Pair
♠5,♥K,♣5,♥T,♦6 | Pair
♠5,♥K,♣5,♥T,♦4 | Pair
♠5,♥K,♣5,♦2,♥2 | Two Pairs
♠5,♥K,♣5,♦2,♣8 | Pair
♠5,♥K,♣5,♦2,♣7 | Pair
♠5,♥K,♣5,♦2,♦6 | Pair
♠5,♥K,♣5,♦2,♦4 | Pair
♠5,♥K,♣5,♥2,♣8 | Pair
♠5,♥K,♣5,♥2,♣7 | Pair
♠5,♥K,♣5,♥2,♦6 | Pair
♠5,♥K,♣5,♥2,♦4 | Pair
♠5,♥K,♣5,♣8,♣7 | Pair
♠5,♥K,♣5,♣8,♦6 | Pair
♠5,♥K,♣5,♣8,♦4 | Pair
♠5,♥K,♣5,♣7,♦6 | Pair
♠5,♥K,♣5,♣7,♦4 | Pair
♠5,♥K,♣5,♦6,♦4 | Pair
♠5,♥K,♥T,♦2,♥2 | Pair
♠5,♥K,♦2,♥2,♣8 | Pair
♠5,♥K,♦2,♥2,♣7 | Pair
♠5,♥K,♦2,♥2,♦6 | Pair
♠5,♥K,♦2,♥2,♦4 | Pair
♠5,♣5,♥T,♦2,♥2 | Two Pairs
♠5,♣5,♥T,♦2,♣8 | Pair
♠5,♣5,♥T,♦2,♣7 | Pair
♠5,♣5,♥T,♦2,♦6 | Pair
♠5,♣5,♥T,♦2,♦4 | Pair
♠5,♣5,♥T,♥2,♣8 | Pair
♠5,♣5,♥T,♥2,♣7 | Pair
♠5,♣5,♥T,♥2,♦6 | Pair
♠5,♣5,♥T,♥2,♦4 | Pair
♠5,♣5,♥T,♣8,♣7 | Pair
♠5,♣5,♥T,♣8,♦6 | Pair
♠5,♣5,♥T,♣8,♦4 | Pair
♠5,♣5,♥T,♣7,♦6 | Pair
♠5,♣5,♥T,♣7,♦4 | Pair
♠5,♣5,♥T,♦6,♦4 | Pair
♠5,♣5,♦2,♥2,♣8 | Two Pairs
♠5,♣5,♦2,♥2,♣7 | Two Pairs
♠5,♣5,♦2,♥2,♦6 | Two Pairs
♠5,♣5,♦2,♥2,♦4 | Two Pairs
♠5,♣5,♦2,♣8,♣7 | Pair
♠5,♣5,♦2,♣8,♦6 | Pair
♠5,♣5,♦2,♣8,♦4 | Pair
♠5,♣5,♦2,♣7,♦6 | Pair
♠5,♣5,♦2,♣7,♦4 | Pair
♠5,♣5,♦2,♦6,♦4 | Pair
♠5,♣5,♥2,♣8,♣7 | Pair
♠5,♣5,♥2,♣8,♦6 | Pair
♠5,♣5,♥2,♣8,♦4 | Pair
♠5,♣5,♥2,♣7,♦6 | Pair
♠5,♣5,♥2,♣7,♦4 | Pair
♠5,♣5,♥2,♦6,♦4 | Pair
♠5,♣5,♣8,♣7,♦6 | Pair
♠5,♣5,♣8,♣7,♦4 | Pair
♠5,♣5,♣8,♦6,♦4 | Pair
♠5,♣5,♣7,♦6,♦4 | Pair
♠5,♥T,♦2,♥2,♣8 | Pair
♠5,♥T,♦2,♥2,♣7 | Pair
♠5,♥T,♦2,♥2,♦6 | Pair
♠5,♥T,♦2,♥2,♦4 | Pair
♠5,♦2,♥2,♣8,♣7 | Pair
♠5,♦2,♥2,♣8,♦6 | Pair
♠5,♦2,♥2,♣8,♦4 | Pair
♠5,♦2,♥2,♣7,♦6 | Pair
♠5,♦2,♥2,♣7,♦4 | Pair
♠5,♦2,♥2,♦6,♦4 | Pair
♥K,♣5,♥T,♦2,♥2 | Pair
♥K,♣5,♦2,♥2,♣8 | Pair
♥K,♣5,♦2,♥2,♣7 | Pair
♥K,♣5,♦2,♥2,♦6 | Pair
♥K,♣5,♦2,♥2,♦4 | Pair
♥K,♥T,♦2,♥2,♣8 | Pair
♥K,♥T,♦2,♥2,♣7 | Pair
♥K,♥T,♦2,♥2,♦6 | Pair
♥K,♥T,♦2,♥2,♦4 | Pair
♥K,♦2,♥2,♣8,♣7 | Pair
♥K,♦2,♥2,♣8,♦6 | Pair
♥K,♦2,♥2,♣8,♦4 | Pair
♥K,♦2,♥2,♣7,♦6 | Pair
♥K,♦2,♥2,♣7,♦4 | Pair
♥K,♦2,♥2,♦6,♦4 | Pair
♣5,♥T,♦2,♥2,♣8 | Pair
♣5,♥T,♦2,♥2,♣7 | Pair
♣5,♥T,♦2,♥2,♦6 | Pair
♣5,♥T,♦2,♥2,♦4 | Pair
♣5,♦2,♥2,♣8,♣7 | Pair
♣5,♦2,♥2,♣8,♦6 | Pair
♣5,♦2,♥2,♣8,♦4 | Pair
♣5,♦2,♥2,♣7,♦6 | Pair
♣5,♦2,♥2,♣7,♦4 | Pair
♣5,♦2,♥2,♦6,♦4 | Pair
♥T,♦2,♥2,♣8,♣7 | Pair
♥T,♦2,♥2,♣8,♦6 | Pair
♥T,♦2,♥2,♣8,♦4 | Pair
♥T,♦2,♥2,♣7,♦6 | Pair
♥T,♦2,♥2,♣7,♦4 | Pair
♥T,♦2,♥2,♦6,♦4 | Pair
♦2,♥2,♣8,♣7,♦6 | Pair
♦2,♥2,♣8,♣7,♦4 | Pair
♦2,♥2,♣8,♦6,♦4 | Pair
♦2,♥2,♣7,♦6,♦4 | Pair
