♠T,♣Q,♣8,♣T,♣7 | Pair
♠T,♣Q,♣8,♣T,♠2 | Pair
♠T,♣Q,♣8,♣T,♣3 | Pair
♠T,♣Q,♣8,♣T,♠5 | Pair
♠T,♣Q,♣8,♣T,♥8 | Two Pairs
♠T,♣Q,♣8,♣T,♥2 | Pair
♠T,♣Q,♣8,♣T,♣4 | Pair
♠T,♣Q,♣8,♣T,♣2 | Pair
♠T,♣Q,♣8,♣T,♦J | Pair
♠T,♣Q,♣8,♣7,♥8 | Pair
♠T,♣Q,♣8,♠2,♥8 | Pair
♠T,♣Q,♣8,♠2,♥2 | Pair
♠T,♣Q,♣8,♠2,♣2 | Pair
♠T,♣Q,♣8,♣3,♥8 | Pair
♠T,♣Q,♣8,♠5,♥8 | Pair
♠T,♣Q,♣8,♥8,♥2 | Pair
♠T,♣Q,♣8,♥8,♣4 | Pair
♠T,♣Q,♣8,♥8,♣2 | Pair
♠T,♣Q,♣8,♥8,♦J | Pair
♠T,♣Q,♣8,♥2,♣2 | Pair
♠T,♣Q,♣T,♣7,♠2 | Pair
♠T,♣Q,♣T,♣7,♣3 | Pair
♠T,♣Q,♣T,♣7,♠5 | Pair
♠T,♣Q,♣T,♣7,♥8 | Pair
♠T,♣Q,♣T,♣7,♥2 | Pair
♠T,♣Q,♣T,♣7,♣4 | Pair
♠T,♣Q,♣T,♣7,♣2 | Pair
♠T,♣Q,♣T,♣7,♦J | Pair
♠T,♣Q,♣T,♠2,♣3 | Pair
♠T,♣Q,♣T,♠2,♠5 | Pair
♠T,♣Q,♣T,♠2,♥8 | Pair
♠T,♣Q,♣T,♠2,♥2 | Two Pairs
♠T,♣Q,♣T,♠2,♣4 | Pair
♠T,♣Q,♣T,♠2,♣2 | Two Pairs
♠T,♣Q,♣T,♠2,♦J | Pair
♠T,♣Q,♣T,♣3,♠5 | Pair
♠T,♣Q,♣T,♣3,♥8 | Pair
♠T,♣Q,♣T,♣3,♥2 | Pair
♠T,♣Q,♣T,♣3,♣4 | Pair
♠T,♣Q,♣T,♣3,♣2 | Pair
♠T,♣Q,♣T,♣3,♦J | Pair
♠T,♣Q,♣T,♠5,♥8 | Pair
♠T,♣Q,♣T,♠5,♥2 | Pair
♠T,♣Q,♣T,♠5,♣4 | Pair
♠T,♣Q,♣T,♠5,♣2 | Pair
♠T,♣Q,♣T,♠5,♦J | Pair
♠T,♣Q,♣T,♥8,♥2 | Pair
♠T,♣Q,♣T,♥8,♣4 | Pair
♠T,♣Q,♣T,♥8,♣2 | Pair
♠T,♣Q,♣T,♥8,♦J | Pair
♠T,♣Q,♣T,♥2,♣4 | Pair
♠T,♣Q,♣T,♥2,♣2 | Two Pairs
♠T,♣Q,♣T,♥2,♦J | Pair
♠T,♣Q,♣T,♣4,♣2 | Pair
♠T,♣Q,♣T,♣4,♦J | Pair
♠T,♣Q,♣T,♣2,♦J | Pair
♠T,♣Q,♣7,♠2,♥2 | Pair
♠T,♣Q,♣7,♠2,♣2 | Pair
♠T,♣Q,♣7,♥2,♣2 | Pair
♠T,♣Q,♠2,♣3,♥2 | Pair
♠T,♣Q,♠2,♣3,♣2 | Pair
♠T,♣Q,♠2,♠5,♥2 | Pair
♠T,♣Q,♠2,♠5,♣2 | Pair
♠T,♣Q,♠2,♥8,♥2 | Pair
♠T,♣Q,♠2,♥8,♣2 | Pair
♠T,♣Q,♠2,♥2,♣4 | Pair
♠T,♣Q,♠2,♥2,♣2 | Full House
♠T,♣Q,♠2,♥2,♦J | Pair
♠T,♣Q,♠2,♣4,♣2 | Pair
♠T,♣Q,♠2,♣2,♦J | Pair
♠T,♣Q,♣3,♥2,♣2 | Pair
♠T,♣Q,♠5,♥2,♣2 | Pair
♠T,♣Q,♥8,♥2,♣2 | Pair
♠T,♣Q,♥2,♣4,♣2 | Pair
♠T,♣Q,♥2,♣2,♦J | Pair
♠T,♣8,♣T,♣7,♠2 | Pair
♠T,♣8,♣T,♣7,♣3 | Pair
♠T,♣8,♣T,♣7,♠5 | Pair
♠T,♣8,♣T,♣7,♥8 | Two Pairs
♠T,♣8,♣T,♣7,♥2 | Pair
♠T,♣8,♣T,♣7,♣4 | Pair
♠T,♣8,♣T,♣7,♣2 | Pair
♠T,♣8,♣T,♣7,♦J | Pair
♠T,♣8,♣T,♠2,♣3 | Pair
♠T,♣8,♣T,♠2,♠5 | Pair
♠T,♣8,♣T,♠2,♥8 | Two Pairs
♠T,♣8,♣T,♠2,♥2 | Two Pairs
♠T,♣8,♣T,♠2,♣4 | Pair
♠T,♣8,♣T,♠2,♣2 | Two Pairs
♠T,♣8,♣T,♠2,♦J | Pair
♠T,♣8,♣T,♣3,♠5 | Pair
♠T,♣8,♣T,♣3,♥8 | Two Pairs
♠T,♣8,♣T,♣3,♥2 | Pair
♠T,♣8,♣T,♣3,♣4 | Pair
♠T,♣8,♣T,♣3,♣2 | Pair
♠T,♣8,♣T,♣3,♦J | Pair
♠T,♣8,♣T,♠5,♥8 | Two Pairs
♠T,♣8,♣T,♠5,♥2 | Pair
♠T,♣8,♣T,♠5,♣4 | Pair
♠T,♣8,♣T,♠5,♣2 | Pair
♠T,♣8,♣T,♠5,♦J | Pair
♠T,♣8,♣T,♥8,♥2 | Two Pairs
♠T,♣8,♣T,♥8,♣4 | Two Pairs
♠T,♣8,♣T,♥8,♣2 | Two Pairs
♠T,♣8,♣T,♥8,♦J | Two Pairs
♠T,♣8,♣T,♥2,♣4 | Pair
♠T,♣8,♣T,♥2,♣2 | Two Pairs
♠T,♣8,♣T,♥2,♦J | Pair
♠T,♣8,♣T,♣4,♣2 | Pair
♠T,♣8,♣T,♣4,♦J | Pair
♠T,♣8,♣T,♣2,♦J | Pair
♠T,♣8,♣7,♠2,♥8 | Pair
♠T,♣8,♣7,♠2,♥2 | Pair
♠T,♣8,♣7,♠2,♣2 | Pair
♠T,♣8,♣7,♣3,♥8 | Pair
♠T,♣8,♣7,♠5,♥8 | Pair
♠T,♣8,♣7,♥8,♥2 | Pair
♠T,♣8,♣7,♥8,♣4 | Pair
♠T,♣8,♣7,♥8,♣2 | Pair
♠T,♣8,♣7,♥8,♦J | Pair
♠T,♣8,♣7,♥2,♣2 | Pair
♠T,♣8,♠2,♣3,♥8 | Pair
♠T,♣8,♠2,♣3,♥2 | Pair
♠T,♣8,♠2,♣3,♣2 | Pair
♠T,♣8,♠2,♠5,♥8 | Pair
♠T,♣8,♠2,♠5,♥2 | Pair
♠T,♣8,♠2,♠5,♣2 | Pair
♠T,♣8,♠2,♥8,♥2 | Two Pairs
♠T,♣8,♠2,♥8,♣4 | Pair
♠T,♣8,♠2,♥8,♣2 | Two Pairs
♠T,♣8,♠2,♥8,♦J | Pair
♠T,♣8,♠2,♥2,♣4 | Pair
♠T,♣8,♠2,♥2,♣2 | Full House
♠T,♣8,♠2,♥2,♦J | Pair
♠T,♣8,♠2,♣4,♣2 | Pair
♠T,♣8,♠2,♣2,♦J | Pair
♠T,♣8,♣3,♠5,♥8 | Pair
♠T,♣8,♣3,♥8,♥2 | Pair
♠T,♣8,♣3,♥8,♣4 | Pair
♠T,♣8,♣3,♥8,♣2 | Pair
♠T,♣8,♣3,♥8,♦J | Pair
♠T,♣8,♣3,♥2,♣2 | Pair
♠T,♣8,♠5,♥8,♥2 | Pair
♠T,♣8,♠5,♥8,♣4 | Pair
♠T,♣8,♠5,♥8,♣2 | Pair
♠T,♣8,♠5,♥8,♦J | Pair
♠T,♣8,♠5,♥2,♣2 | Pair
♠T,♣8,♥8,♥2,♣4 | Pair
♠T,♣8,♥8,♥2,♣2 | Two Pairs
♠T,♣8,♥8,♥2,♦J | Pair
♠T,♣8,♥8,♣4,♣2 | Pair
♠T,♣8,♥8,♣4,♦J | Pair
♠T,♣8,♥8,♣2,♦J | Pair
♠T,♣8,♥2,♣4,♣2 | Pair
♠T,♣8,♥2,♣2,♦J | Pair
♠T,♣T,♣7,♠2,♣3 | Pair
♠T,♣T,♣7,♠2,♠5 | Pair
♠T,♣T,♣7,♠2,♥8 | Pair
♠T,♣T,♣7,♠2,♥2 | Two Pairs
♠T,♣T,♣7,♠2,♣4 | Pair
♠T,♣T,♣7,♠2,♣2 | Two Pairs
♠T,♣T,♣7,♠2,♦J | Pair
♠T,♣T,♣7,♣3,♠5 | Pair
♠T,♣T,♣7,♣3,♥8 | Pair
♠T,♣T,♣7,♣3,♥2 | Pair
♠T,♣T,♣7,♣3,♣4 | Pair
♠T,♣T,♣7,♣3,♣2 | Pair
♠T,♣T,♣7,♣3,♦J | Pair
♠T,♣T,♣7,♠5,♥8 | Pair
♠T,♣T,♣7,♠5,♥2 | Pair
♠T,♣T,♣7,♠5,♣4 | Pair
♠T,♣T,♣7,♠5,♣2 | Pair
♠T,♣T,♣7,♠5,♦J | Pair
♠T,♣T,♣7,♥8,♥2 | Pair
♠T,♣T,♣7,♥8,♣4 | Pair
♠T,♣T,♣7,♥8,♣2 | Pair
♠T,♣T,♣7,♥8,♦J | Pair
♠T,♣T,♣7,♥2,♣4 | Pair
♠T,♣T,♣7,♥2,♣2 | Two Pairs
♠T,♣T,♣7,♥2,♦J | Pair
♠T,♣T,♣7,♣4,♣2 | Pair
♠T,♣T,♣7,♣4,♦J | Pair
♠T,♣T,♣7,♣2,♦J | Pair
♠T,♣T,♠2,♣3,♠5 | Pair
♠T,♣T,♠2,♣3,♥8 | Pair
♠T,♣T,♠2,♣3,♥2 | Two Pairs
♠T,♣T,♠2,♣3,♣4 | Pair
♠T,♣T,♠2,♣3,♣2 | Two Pairs
♠T,♣T,♠2,♣3,♦J | Pair
♠T,♣T,♠2,♠5,♥8 | Pair
♠T,♣T,♠2,♠5,♥2 | Two Pairs
♠T,♣T,♠2,♠5,♣4 | Pair
