♥T,♣3,♦4,♥9,♦T | Pair
♥T,♣3,♦4,♥9,♣9 | Pair
♥T,♣3,♦4,♥9,♠9 | Pair
♥T,♣3,♦4,♦T,♣9 | Pair
♥T,♣3,♦4,♦T,♠9 | Pair
♥T,♣3,♦4,♦T,♣2 | Pair
♥T,♣3,♦4,♦T,♣8 | Pair
♥T,♣3,♦4,♦T,♣K | Pair
♥T,♣3,♦4,♦T,♣Q | Pair
♥T,♣3,♦4,♣9,♠9 | Pair
♥T,♣3,♥9,♦T,♣9 | Two Pairs
♥T,♣3,♥9,♦T,♠9 | Two Pairs
♥T,♣3,♥9,♦T,♣2 | Pair
♥T,♣3,♥9,♦T,♣8 | Pair
♥T,♣3,♥9,♦T,♣K | Pair
♥T,♣3,♥9,♦T,♣Q | Pair
♥T,♣3,♥9,♣9,♠9 | Full House
♥T,♣3,♥9,♣9,♣2 | Pair
♥T,♣3,♥9,♣9,♣8 | Pair
♥T,♣3,♥9,♣9,♣K | Pair
♥T,♣3,♥9,♣9,♣Q | Pair
♥T,♣3,♥9,♠9,♣2 | Pair
♥T,♣3,♥9,♠9,♣8 | Pair
♥T,♣3,♥9,♠9,♣K | Pair
♥T,♣3,♥9,♠9,♣Q | Pair
♥T,♣3,♦T,♣9,♠9 | Two Pairs
♥T,♣3,♦T,♣9,♣2 | Pair
♥T,♣3,♦T,♣9,♣8 | Pair
♥T,♣3,♦T,♣9,♣K | Pair
♥T,♣3,♦T,♣9,♣Q | Pair
♥T,♣3,♦T,♠9,♣2 | Pair
♥T,♣3,♦T,♠9,♣8 | Pair
♥T,♣3,♦T,♠9,♣K | Pair
♥T,♣3,♦T,♠9,♣Q | Pair
♥T,♣3,♦T,♣2,♣8 | Pair
♥T,♣3,♦T,♣2,♣K | Pair
♥T,♣3,♦T,♣2,♣Q | Pair
♥T,♣3,♦T,♣8,♣K | Pair
♥T,♣3,♦T,♣8,♣Q | Pair
♥T,♣3,♦T,♣K,♣Q | Pair
♥T,♣3,♣9,♠9,♣2 | Pair
♥T,♣3,♣9,♠9,♣8 | Pair
♥T,♣3,♣9,♠9,♣K | Pair
♥T,♣3,♣9,♠9,♣Q | Pair
♥T,♦4,♥9,♦T,♣9 | Two Pairs
♥T,♦4,♥9,♦T,♠9 | Two Pairs
♥T,♦4,♥9,♦T,♣2 | Pair
♥T,♦4,♥9,♦T,♣8 | Pair
♥T,♦4,♥9,♦T,♣K | Pair
♥T,♦4,♥9,♦T,♣Q | Pair
♥T,♦4,♥9,♣9,♠9 | Full House
♥T,♦4,♥9,♣9,♣2 | Pair
♥T,♦4,♥9,♣9,♣8 | Pair
♥T,♦4,♥9,♣9,♣K | Pair
♥T,♦4,♥9,♣9,♣Q | Pair
♥T,♦4,♥9,♠9,♣2 | Pair
♥T,♦4,♥9,♠9,♣8 | Pair
♥T,♦4,♥9,♠9,♣K | Pair
♥T,♦4,♥9,♠9,♣Q | Pair
♥T,♦4,♦T,♣9,♠9 | Two Pairs
♥T,♦4,♦T,♣9,♣2 | Pair
♥T,♦4,♦T,♣9,♣8 | Pair
♥T,♦4,♦T,♣9,♣K | Pair
♥T,♦4,♦T,♣9,♣Q | Pair
♥T,♦4,♦T,♠9,♣2 | Pair
♥T,♦4,♦T,♠9,♣8 | Pair
♥T,♦4,♦T,♠9,♣K | Pair
♥T,♦4,♦T,♠9,♣Q | Pair
♥T,♦4,♦T,♣2,♣8 | Pair
♥T,♦4,♦T,♣2,♣K | Pair
♥T,♦4,♦T,♣2,♣Q | Pair
♥T,♦4,♦T,♣8,♣K | Pair
♥T,♦4,♦T,♣8,♣Q | Pair
♥T,♦4,♦T,♣K,♣Q | Pair
♥T,♦4,♣9,♠9,♣2 | Pair
♥T,♦4,♣9,♠9,♣8 | Pair
♥T,♦4,♣9,♠9,♣K | Pair
♥T,♦4,♣9,♠9,♣Q | Pair
♥T,♥9,♦T,♣9,♠9 | Full House
♥T,♥9,♦T,♣9,♣2 | Two Pairs
♥T,♥9,♦T,♣9,♣8 | Two Pairs
♥T,♥9,♦T,♣9,♣K | Two Pairs
♥T,♥9,♦T,♣9,♣Q | Two Pairs
♥T,♥9,♦T,♠9,♣2 | Two Pairs
♥T,♥9,♦T,♠9,♣8 | Two Pairs
♥T,♥9,♦T,♠9,♣K | Two Pairs
♥T,♥9,♦T,♠9,♣Q | Two Pairs
♥T,♥9,♦T,♣2,♣8 | Pair
♥T,♥9,♦T,♣2,♣K | Pair
♥T,♥9,♦T,♣2,♣Q | Pair
♥T,♥9,♦T,♣8,♣K | Pair
♥T,♥9,♦T,♣8,♣Q | Pair
♥T,♥9,♦T,♣K,♣Q | Pair
♥T,♥9,♣9,♠9,♣2 | Full House
♥T,♥9,♣9,♠9,♣8 | Full House
♥T,♥9,♣9,♠9,♣K | Full House
♥T,♥9,♣9,♠9,♣Q | Full House
♥T,♥9,♣9,♣2,♣8 | Pair
♥T,♥9,♣9,♣2,♣K | Pair
♥T,♥9,♣9,♣2,♣Q | Pair
♥T,♥9,♣9,♣8,♣K | Pair
♥T,♥9,♣9,♣8,♣Q | Pair
♥T,♥9,♣9,♣K,♣Q | Pair
♥T,♥9,♠9,♣2,♣8 | Pair
♥T,♥9,♠9,♣2,♣K | Pair
♥T,♥9,♠9,♣2,♣Q | Pair
♥T,♥9,♠9,♣8,♣K | Pair
♥T,♥9,♠9,♣8,♣Q | Pair
♥T,♥9,♠9,♣K,♣Q | Pair
♥T,♦T,♣9,♠9,♣2 | Two Pairs
♥T,♦T,♣9,♠9,♣8 | Two Pairs
♥T,♦T,♣9,♠9,♣K | Two Pairs
♥T,♦T,♣9,♠9,♣Q | Two Pairs
♥T,♦T,♣9,♣2,♣8 | Pair
♥T,♦T,♣9,♣2,♣K | Pair
♥T,♦T,♣9,♣2,♣Q | Pair
♥T,♦T,♣9,♣8,♣K | Pair
♥T,♦T,♣9,♣8,♣Q | Pair
♥T,♦T,♣9,♣K,♣Q | Pair
♥T,♦T,♠9,♣2,♣8 | Pair
♥T,♦T,♠9,♣2,♣K | Pair
♥T,♦T,♠9,♣2,♣Q | Pair
♥T,♦T,♠9,♣8,♣K | Pair
♥T,♦T,♠9,♣8,♣Q | Pair
♥T,♦T,♠9,♣K,♣Q | Pair
♥T,♦T,♣2,♣8,♣K | Pair
♥T,♦T,♣2,♣8,♣Q | Pair
♥T,♦T,♣2,♣K,♣Q | Pair
♥T,♦T,♣8,♣K,♣Q | Pair
♥T,♣9,♠9,♣2,♣8 | Pair
♥T,♣9,♠9,♣2,♣K | Pair
♥T,♣9,♠9,♣2,♣Q | Pair
♥T,♣9,♠9,♣8,♣K | Pair
♥T,♣9,♠9,♣8,♣Q | Pair
♥T,♣9,♠9,♣K,♣Q | Pair
♣3,♦4,♥9,♦T,♣9 | Pair
♣3,♦4,♥9,♦T,♠9 | Pair
♣3,♦4,♥9,♣9,♠9 | Full House
♣3,♦4,♥9,♣9,♣2 | Pair
♣3,♦4,♥9,♣9,♣8 | Pair
♣3,♦4,♥9,♣9,♣K | Pair
♣3,♦4,♥9,♣9,♣Q | Pair
♣3,♦4,♥9,♠9,♣2 | Pair
♣3,♦4,♥9,♠9,♣8 | Pair
♣3,♦4,♥9,♠9,♣K | Pair
♣3,♦4,♥9,♠9,♣Q | Pair
♣3,♦4,♦T,♣9,♠9 | Pair
♣3,♦4,♣9,♠9,♣2 | Pair
♣3,♦4,♣9,♠9,♣8 | Pair
♣3,♦4,♣9,♠9,♣K | Pair
♣3,♦4,♣9,♠9,♣Q | Pair
♣3,♥9,♦T,♣9,♠9 | Full House
♣3,♥9,♦T,♣9,♣2 | Pair
♣3,♥9,♦T,♣9,♣8 | Pair
♣3,♥9,♦T,♣9,♣K | Pair
♣3,♥9,♦T,♣9,♣Q | Pair
♣3,♥9,♦T,♠9,♣2 | Pair
♣3,♥9,♦T,♠9,♣8 | Pair
♣3,♥9,♦T,♠9,♣K | Pair
♣3,♥9,♦T,♠9,♣Q | Pair
♣3,♥9,♣9,♠9,♣2 | Full House
♣3,♥9,♣9,♠9,♣8 | Full House
♣3,♥9,♣9,♠9,♣K | Full House
♣3,♥9,♣9,♠9,♣Q | Full House
♣3,♥9,♣9,♣2,♣8 | Pair
♣3,♥9,♣9,♣2,♣K | Pair
♣3,♥9,♣9,♣2,♣Q | Pair
♣3,♥9,♣9,♣8,♣K | Pair
♣3,♥9,♣9,♣8,♣Q | Pair
♣3,♥9,♣9,♣K,♣Q | Pair
♣3,♥9,♠9,♣2,♣8 | Pair
♣3,♥9,♠9,♣2,♣K | Pair
♣3,♥9,♠9,♣2,♣Q | Pair
♣3,♥9,♠9,♣8,♣K | Pair
♣3,♥9,♠9,♣8,♣Q | Pair
♣3,♥9,♠9,♣K,♣Q | Pair
♣3,♦T,♣9,♠9,♣2 | Pair
♣3,♦T,♣9,♠9,♣8 | Pair
♣3,♦T,♣9,♠9,♣K | Pair
♣3,♦T,♣9,♠9,♣Q | Pair
♣3,♣9,♠9,♣2,♣8 | Pair
♣3,♣9,♠9,♣2,♣K | Pair
♣3,♣9,♠9,♣2,♣Q | Pair
♣3,♣9,♠9,♣8,♣K | Pair
♣3,♣9,♠9,♣8,♣Q | Pair
♣3,♣9,♠9,♣K,♣Q | Pair
♣3,♣9,♣2,♣8,♣K | Flush
♣3,♣9,♣2,♣8,♣Q | Flush
♣3,♣9,♣2,♣K,♣Q | Flush
♣3,♣9,♣8,♣K,♣Q | Flush
♣3,♣2,♣8,♣K,♣Q | Flush
♦4,♥9,♦T,♣9,♠9 | Full House
♦4,♥9,♦T,♣9,♣2 | Pair
♦4,♥9,♦T,♣9,♣8 | Pair
♦4,♥9,♦T,♣9,♣K | Pair
