♥8, ♣4, ♥7, ♥K, ♠8 | pair
♥8, ♣4, ♥7, ♥K, ♥4 | pair
♥8, ♣4, ♥7, ♥K, ♠4 | pair
♥8, ♣4, ♥7, ♠8, ♥10 | pair
♥8, ♣4, ♥7, ♠8, ♣A | pair
♥8, ♣4, ♥7, ♠8, ♦A | pair
♥8, ♣4, ♥7, ♠8, ♠9 | pair
♥8, ♣4, ♥7, ♠8, ♥4 | two pairs
♥8, ♣4, ♥7, ♠8, ♠3 | pair
♥8, ♣4, ♥7, ♠8, ♠4 | two pairs
♥8, ♣4, ♥7, ♠8, ♥9 | pair
♥8, ♣4, ♥7, ♥10, ♥4 | pair
♥8, ♣4, ♥7, ♥10, ♠4 | pair
♥8, ♣4, ♥7, ♣A, ♦A | pair
♥8, ♣4, ♥7, ♣A, ♥4 | pair
♥8, ♣4, ♥7, ♣A, ♠4 | pair
♥8, ♣4, ♥7, ♦A, ♥4 | pair
♥8, ♣4, ♥7, ♦A, ♠4 | pair
♥8, ♣4, ♥7, ♠9, ♥4 | pair
♥8, ♣4, ♥7, ♠9, ♠4 | pair
♥8, ♣4, ♥7, ♠9, ♥9 | pair
♥8, ♣4, ♥7, ♥4, ♠3 | pair
♥8, ♣4, ♥7, ♥4, ♠4 | three of a kind
♥8, ♣4, ♥7, ♥4, ♥9 | pair
♥8, ♣4, ♥7, ♠3, ♠4 | pair
♥8, ♣4, ♥7, ♠4, ♥9 | pair
♥8, ♣4, ♥K, ♠8, ♥10 | pair
♥8, ♣4, ♥K, ♠8, ♣A | pair
♥8, ♣4, ♥K, ♠8, ♦A | pair
♥8, ♣4, ♥K, ♠8, ♠9 | pair
♥8, ♣4, ♥K, ♠8, ♥4 | two pairs
♥8, ♣4, ♥K, ♠8, ♠3 | pair
♥8, ♣4, ♥K, ♠8, ♠4 | two pairs
♥8, ♣4, ♥K, ♠8, ♥9 | pair
♥8, ♣4, ♥K, ♥10, ♥4 | pair
♥8, ♣4, ♥K, ♥10, ♠4 | pair
♥8, ♣4, ♥K, ♣A, ♦A | pair
♥8, ♣4, ♥K, ♣A, ♥4 | pair
♥8, ♣4, ♥K, ♣A, ♠4 | pair
♥8, ♣4, ♥K, ♦A, ♥4 | pair
♥8, ♣4, ♥K, ♦A, ♠4 | pair
♥8, ♣4, ♥K, ♠9, ♥4 | pair
♥8, ♣4, ♥K, ♠9, ♠4 | pair
♥8, ♣4, ♥K, ♠9, ♥9 | pair
♥8, ♣4, ♥K, ♥4, ♠3 | pair
♥8, ♣4, ♥K, ♥4, ♠4 | three of a kind
