♦6,♥J,♣10,♠2,♥K | Pair
♦6,♥J,♣10,♠2,♥K | Pair
♦6,♥J,♣10,♠2,♦A | Pair
♦6,♥J,♣10,♠2,♦A | Pair
♦6,♥J,♣10,♠2,♥6 | Pair
♦6,♥J,♣10,♠2,♥6 | Pair
♦6,♥J,♣10,♠2,♦6 | Pair
♦6,♥J,♣10,♠2,♦6 | Pair
♦6,♥J,♣10,♠2,♥Q | Pair
♦6,♥J,♣10,♠2,♥Q | Pair
♦6,♥J,♣10,♠2,♥10 | Pair
♦6,♥J,♣10,♠2,♥10 | Pair
♦6,♥J,♣10,♠2,♦2 | Pair
♦6,♥J,♣10,♠2,♦2 | Pair
♦6,♥J,♣10,♠8,♥K | Pair
♦6,♥J,♣10,♠8,♥K | Pair
♦6,♥J,♣10,♠8,♦A | Pair
♦6,♥J,♣10,♠8,♦A | Pair
♦6,♥J,♣10,♠8,♥6 | Pair
♦6,♥J,♣10,♠8,♥6 | Pair
♦6,♥J,♣10,♠8,♦6 | Pair
♦6,♥J,♣10,♠8,♦6 | Pair
♦6,♥J,♣10,♠8,♥Q | Pair
♦6,♥J,♣10,♠8,♥Q | Pair
♦6,♥J,♣10,♠8,♥10 | Pair
♦6,♥J,♣10,♠8,♥10 | Pair
♦6,♥J,♣10,♥K,♦A | Pair
♦6,♥J,♣10,♥K,♦A | Three Of A Kind
♦6,♥J,♣10,♥K,♦A | Pair
♦6,♥J,♣10,♥K,♦A | Three Of A Kind
♦6,♥J,♣10,♥K,♥6 | Pair
♦6,♥J,♣10,♥K,♥6 | Pair
♦6,♥J,♣10,♥K,♥6 | Pair
♦6,♥J,♣10,♥K,♥6 | Pair
♦6,♥J,♣10,♥K,♦6 | Pair
♦6,♥J,♣10,♥K,♦6 | Pair
♦6,♥J,♣10,♥K,♦6 | Pair
♦6,♥J,♣10,♥K,♦6 | Pair
♦6,♥J,♣10,♥K,♥Q | Pair
♦6,♥J,♣10,♥K,♥Q | Three Of A Kind
♦6,♥J,♣10,♥K,♥Q | Pair
♦6,♥J,♣10,♥K,♥Q | Three Of A Kind
