♥J,♣2,♦J,♠Q,♦8 | Pair
♥J,♣2,♦J,♠Q,♥A | Pair
♥J,♣2,♦J,♠Q,♣T | Pair
♥J,♣2,♦J,♠Q,♣8 | Pair
♥J,♣2,♦J,♠Q,♠J | Full House
♥J,♣2,♦J,♦8,♥A | Pair
♥J,♣2,♦J,♦8,♣T | Pair
♥J,♣2,♦J,♦8,♣8 | Two Pairs
♥J,♣2,♦J,♦8,♠J | Full House
♥J,♣2,♦J,♥A,♣T | Pair
♥J,♣2,♦J,♥A,♣8 | Pair
♥J,♣2,♦J,♥A,♠J | Full House
♥J,♣2,♦J,♣T,♣8 | Pair
♥J,♣2,♦J,♣T,♠J | Full House
♥J,♣2,♦J,♣8,♠J | Full House
♥J,♣2,♠Q,♦8,♣8 | Pair
♥J,♣2,♠Q,♦8,♠J | Pair
♥J,♣2,♠Q,♥A,♠J | Pair
♥J,♣2,♠Q,♣T,♠J | Pair
♥J,♣2,♠Q,♣8,♠J | Pair
♥J,♣2,♦8,♥A,♣8 | Pair
♥J,♣2,♦8,♥A,♠J | Pair
♥J,♣2,♦8,♣T,♣8 | Pair
♥J,♣2,♦8,♣T,♠J | Pair
♥J,♣2,♦8,♣8,♠J | Two Pairs
♥J,♣2,♥A,♣T,♠J | Pair
♥J,♣2,♥A,♣8,♠J | Pair
♥J,♣2,♣T,♣8,♠J | Pair
♥J,♦J,♠Q,♦8,♥A | Pair
♥J,♦J,♠Q,♦8,♣T | Pair
♥J,♦J,♠Q,♦8,♣8 | Two Pairs
♥J,♦J,♠Q,♦8,♠J | Full House
♥J,♦J,♠Q,♥A,♣T | Pair
♥J,♦J,♠Q,♥A,♣8 | Pair
♥J,♦J,♠Q,♥A,♠J | Full House
♥J,♦J,♠Q,♣T,♣8 | Pair
♥J,♦J,♠Q,♣T,♠J | Full House
♥J,♦J,♠Q,♣8,♠J | Full House
♥J,♦J,♦8,♥A,♣T | Pair
♥J,♦J,♦8,♥A,♣8 | Two Pairs
♥J,♦J,♦8,♥A,♠J | Full House
♥J,♦J,♦8,♣T,♣8 | Two Pairs
♥J,♦J,♦8,♣T,♠J | Full House
♥J,♦J,♦8,♣8,♠J | Full House
♥J,♦J,♥A,♣T,♣8 | Pair
♥J,♦J,♥A,♣T,♠J | Full House
♥J,♦J,♥A,♣8,♠J | Full House
♥J,♦J,♣T,♣8,♠J | Full House
♥J,♠Q,♦8,♥A,♣8 | Pair
♥J,♠Q,♦8,♥A,♠J | Pair
♥J,♠Q,♦8,♣T,♣8 | Pair
♥J,♠Q,♦8,♣T,♠J | Pair
♥J,♠Q,♦8,♣8,♠J | Two Pairs
♥J,♠Q,♥A,♣T,♠J | Pair
♥J,♠Q,♥A,♣8,♠J | Pair
♥J,♠Q,♣T,♣8,♠J | Pair
♥J,♦8,♥A,♣T,♣8 | Pair
♥J,♦8,♥A,♣T,♠J | Pair
♥J,♦8,♥A,♣8,♠J | Two Pairs
♥J,♦8,♣T,♣8,♠J | Two Pairs
♥J,♥A,♣T,♣8,♠J | Pair
♣2,♦J,♠Q,♦8,♣8 | Pair
♣2,♦J,♠Q,♦8,♠J | Pair
♣2,♦J,♠Q,♥A,♠J | Pair
♣2,♦J,♠Q,♣T,♠J | Pair
♣2,♦J,♠Q,♣8,♠J | Pair
♣2,♦J,♦8,♥A,♣8 | Pair
♣2,♦J,♦8,♥A,♠J | Pair
♣2,♦J,♦8,♣T,♣8 | Pair
♣2,♦J,♦8,♣T,♠J | Pair
♣2,♦J,♦8,♣8,♠J | Two Pairs
♣2,♦J,♥A,♣T,♠J | Pair
♣2,♦J,♥A,♣8,♠J | Pair
♣2,♦J,♣T,♣8,♠J | Pair
♣2,♠Q,♦8,♥A,♣8 | Pair
♣2,♠Q,♦8,♣T,♣8 | Pair
♣2,♠Q,♦8,♣8,♠J | Pair
♣2,♦8,♥A,♣T,♣8 | Pair
♣2,♦8,♥A,♣8,♠J | Pair
♣2,♦8,♣T,♣8,♠J | Pair
♦J,♠Q,♦8,♥A,♣8 | Pair
♦J,♠Q,♦8,♥A,♠J | Pair
♦J,♠Q,♦8,♣T,♣8 | Pair
♦J,♠Q,♦8,♣T,♠J | Pair
♦J,♠Q,♦8,♣8,♠J | Two Pairs
♦J,♠Q,♥A,♣T,♠J | Pair
♦J,♠Q,♥A,♣8,♠J | Pair
♦J,♠Q,♣T,♣8,♠J | Pair
♦J,♦8,♥A,♣T,♣8 | Pair
♦J,♦8,♥A,♣T,♠J | Pair
♦J,♦8,♥A,♣8,♠J | Two Pairs
♦J,♦8,♣T,♣8,♠J | Two Pairs
♦J,♥A,♣T,♣8,♠J | Pair
♠Q,♦8,♥A,♣T,♣8 | Pair
♠Q,♦8,♥A,♣8,♠J | Pair
♠Q,♦8,♣T,♣8,♠J | Pair
♦8,♥A,♣T,♣8,♠J | Pair
