♣8,♦4,♥A,♦3,♦4 | Pair
♣8,♦4,♥A,♦3,♠A | Pair
♣8,♦4,♥A,♦3,♦3 | Pair
♣8,♦4,♥A,♠6,♦4 | Pair
♣8,♦4,♥A,♠6,♠A | Pair
♣8,♦4,♥A,♠2,♦4 | Pair
♣8,♦4,♥A,♠2,♠A | Pair
♣8,♦4,♥A,♠2,♠2 | Pair
♣8,♦4,♥A,♠2,♦2 | Pair
♣8,♦4,♥A,♠9,♦4 | Pair
♣8,♦4,♥A,♠9,♠A | Pair
♣8,♦4,♥A,♠9,♦9 | Pair
♣8,♦4,♥A,♦4,♠A | Pair
♣8,♦4,♥A,♦4,♠A | Pair
♣8,♦4,♥A,♦4,♦9 | Pair
♣8,♦4,♥A,♦4,♠2 | Pair
♣8,♦4,♥A,♦4,♦2 | Pair
♣8,♦4,♥A,♦4,♦3 | Pair
♣8,♦4,♥A,♠A,♦9 | Pair
♣8,♦4,♥A,♠A,♠2 | Pair
♣8,♦4,♥A,♠A,♦2 | Pair
♣8,♦4,♥A,♠A,♦3 | Pair
♣8,♦4,♥A,♠2,♦2 | Pair
♣8,♦4,♦3,♠6,♦4 | Pair
♣8,♦4,♦3,♠6,♦3 | Pair
♣8,♦4,♦3,♠2,♦4 | Pair
♣8,♦4,♦3,♠2,♠2 | Pair
♣8,♦4,♦3,♠2,♦2 | Pair
♣8,♦4,♦3,♠2,♦3 | Pair
♣8,♦4,♦3,♠9,♦4 | Pair
♣8,♦4,♦3,♠9,♦9 | Pair
♣8,♦4,♦3,♠9,♦3 | Pair
♣8,♦4,♦3,♦4,♠A | Pair
♣8,♦4,♦3,♦4,♦9 | Pair
♣8,♦4,♦3,♦4,♠2 | Pair
♣8,♦4,♦3,♦4,♦2 | Pair
♣8,♦4,♦3,♦4,♦3 | Pair
♣8,♦4,♦3,♦4,♦3 | Pair
♣8,♦4,♦3,♠A,♦3 | Pair
♣8,♦4,♦3,♦9,♦3 | Pair
♣8,♦4,♦3,♠2,♦2 | Pair
♣8,♦4,♦3,♠2,♦3 | Pair
♣8,♦4,♦3,♦2,♦3 | Pair
♣8,♦4,♠6,♠2,♦4 | Pair
♣8,♦4,♠6,♠2,♠2 | Pair
♣8,♦4,♠6,♠2,♦2 | Pair
♣8,♦4,♠6,♠9,♦4 | Pair
♣8,♦4,♠6,♠9,♦9 | Pair
♣8,♦4,♠6,♦4,♠A | Pair
♣8,♦4,♠6,♦4,♦9 | Pair
♣8,♦4,♠6,♦4,♠2 | Pair
♣8,♦4,♠6,♦4,♦2 | Pair
♣8,♦4,♠6,♦4,♦3 | Pair
♣8,♦4,♠6,♠2,♦2 | Pair
♣8,♦4,♠2,♠9,♦4 | Pair
♣8,♦4,♠2,♠9,♦9 | Pair
♣8,♦4,♠2,♠9,♠2 | Pair
♣8,♦4,♠2,♠9,♦2 | Pair
♣8,♦4,♠2,♦4,♠A | Pair
♣8,♦4,♠2,♦4,♦9 | Pair
♣8,♦4,♠2,♦4,♠2 | Pair
♣8,♦4,♠2,♦4,♠2 | Pair
♣8,♦4,♠2,♦4,♦2 | Pair
♣8,♦4,♠2,♦4,♦2 | Pair
♣8,♦4,♠2,♦4,♦3 | Pair
♣8,♦4,♠2,♠A,♠2 | Pair
♣8,♦4,♠2,♠A,♦2 | Pair
♣8,♦4,♠2,♦9,♠2 | Pair
