♦8,♣4,♣5,♠4,♦Q | Pair
♦8,♣4,♣5,♠4,♣T | Pair
♦8,♣4,♣5,♠4,♠5 | Two Pairs
♦8,♣4,♣5,♠4,♠3 | Pair
♦8,♣4,♣5,♠4,♣2 | Pair
♦8,♣4,♣5,♦Q,♠5 | Pair
♦8,♣4,♣5,♣T,♠5 | Pair
♦8,♣4,♣5,♠5,♠3 | Pair
♦8,♣4,♣5,♠5,♣2 | Pair
♦8,♣4,♠4,♦Q,♣T | Pair
♦8,♣4,♠4,♦Q,♠5 | Pair
♦8,♣4,♠4,♦Q,♠3 | Pair
♦8,♣4,♠4,♦Q,♣2 | Pair
♦8,♣4,♠4,♣T,♠5 | Pair
♦8,♣4,♠4,♣T,♠3 | Pair
♦8,♣4,♠4,♣T,♣2 | Pair
♦8,♣4,♠4,♠5,♠3 | Pair
♦8,♣4,♠4,♠5,♣2 | Pair
♦8,♣4,♠4,♠3,♣2 | Pair
♦8,♣5,♠4,♦Q,♠5 | Pair
♦8,♣5,♠4,♣T,♠5 | Pair
♦8,♣5,♠4,♠5,♠3 | Pair
♦8,♣5,♠4,♠5,♣2 | Pair
♦8,♣5,♦Q,♣T,♠5 | Pair
♦8,♣5,♦Q,♠5,♠3 | Pair
♦8,♣5,♦Q,♠5,♣2 | Pair
♦8,♣5,♣T,♠5,♠3 | Pair
♦8,♣5,♣T,♠5,♣2 | Pair
♦8,♣5,♠5,♠3,♣2 | Pair
♣4,♣5,♠4,♦Q,♣T | Pair
♣4,♣5,♠4,♦Q,♠5 | Two Pairs
♣4,♣5,♠4,♦Q,♠3 | Pair
♣4,♣5,♠4,♦Q,♣2 | Pair
♣4,♣5,♠4,♣T,♠5 | Two Pairs
♣4,♣5,♠4,♣T,♠3 | Pair
♣4,♣5,♠4,♣T,♣2 | Pair
♣4,♣5,♠4,♠5,♠3 | Two Pairs
♣4,♣5,♠4,♠5,♣2 | Two Pairs
♣4,♣5,♠4,♠3,♣2 | Pair
♣4,♣5,♦Q,♣T,♠5 | Pair
♣4,♣5,♦Q,♠5,♠3 | Pair
♣4,♣5,♦Q,♠5,♣2 | Pair
♣4,♣5,♣T,♠5,♠3 | Pair
♣4,♣5,♣T,♠5,♣2 | Pair
♣4,♣5,♠5,♠3,♣2 | Pair
♣4,♠4,♦Q,♣T,♠5 | Pair
♣4,♠4,♦Q,♣T,♠3 | Pair
♣4,♠4,♦Q,♣T,♣2 | Pair
♣4,♠4,♦Q,♠5,♠3 | Pair
♣4,♠4,♦Q,♠5,♣2 | Pair
♣4,♠4,♦Q,♠3,♣2 | Pair
♣4,♠4,♣T,♠5,♠3 | Pair
♣4,♠4,♣T,♠5,♣2 | Pair
♣4,♠4,♣T,♠3,♣2 | Pair
♣4,♠4,♠5,♠3,♣2 | Pair
♣5,♠4,♦Q,♣T,♠5 | Pair
♣5,♠4,♦Q,♠5,♠3 | Pair
♣5,♠4,♦Q,♠5,♣2 | Pair
♣5,♠4,♣T,♠5,♠3 | Pair
♣5,♠4,♣T,♠5,♣2 | Pair
♣5,♠4,♠5,♠3,♣2 | Pair
♣5,♦Q,♣T,♠5,♠3 | Pair
♣5,♦Q,♣T,♠5,♣2 | Pair
♣5,♦Q,♠5,♠3,♣2 | Pair
♣5,♣T,♠5,♠3,♣2 | Pair
