♠2, ♦9, ♦4, ♠10, ♣10 | pair
♠2, ♦9, ♦4, ♠10, ♣4 | pair
♠2, ♦9, ♦4, ♠10, ♥4 | pair
♠2, ♦9, ♦4, ♠8, ♣4 | pair
♠2, ♦9, ♦4, ♠8, ♣8 | pair
♠2, ♦9, ♦4, ♠8, ♥4 | pair
♠2, ♦9, ♦4, ♠6, ♣4 | pair
♠2, ♦9, ♦4, ♠6, ♥4 | pair
♠2, ♦9, ♦4, ♣10, ♣4 | pair
♠2, ♦9, ♦4, ♣10, ♥4 | pair
♠2, ♦9, ♦4, ♥A, ♣4 | pair
♠2, ♦9, ♦4, ♥A, ♥4 | pair
♠2, ♦9, ♦4, ♣4, ♣Q | pair
♠2, ♦9, ♦4, ♣4, ♣8 | pair
♠2, ♦9, ♦4, ♣4, ♥4 | three of a kind
♠2, ♦9, ♦4, ♣Q, ♥4 | pair
♠2, ♦9, ♦4, ♣8, ♥4 | pair
♠2, ♦9, ♠10, ♠8, ♣10 | pair
♠2, ♦9, ♠10, ♠8, ♣8 | pair
♠2, ♦9, ♠10, ♠6, ♣10 | pair
♠2, ♦9, ♠10, ♣10, ♥A | pair
♠2, ♦9, ♠10, ♣10, ♣4 | pair
♠2, ♦9, ♠10, ♣10, ♣Q | pair
♠2, ♦9, ♠10, ♣10, ♣8 | pair
♠2, ♦9, ♠10, ♣10, ♥4 | pair
♠2, ♦9, ♠10, ♣4, ♥4 | pair
♠2, ♦9, ♠8, ♠6, ♣8 | pair
♠2, ♦9, ♠8, ♣10, ♣8 | pair
♠2, ♦9, ♠8, ♥A, ♣8 | pair
♠2, ♦9, ♠8, ♣4, ♣8 | pair
♠2, ♦9, ♠8, ♣4, ♥4 | pair
♠2, ♦9, ♠8, ♣Q, ♣8 | pair
♠2, ♦9, ♠8, ♣8, ♥4 | pair
♠2, ♦9, ♠6, ♣4, ♥4 | pair
♠2, ♦9, ♣10, ♣4, ♥4 | pair
♠2, ♦9, ♥A, ♣4, ♥4 | pair
♠2, ♦9, ♣4, ♣Q, ♥4 | pair
♠2, ♦9, ♣4, ♣8, ♥4 | pair
♠2, ♦4, ♠10, ♠8, ♣10 | pair
♠2, ♦4, ♠10, ♠8, ♣4 | pair
♠2, ♦4, ♠10, ♠8, ♣8 | pair
♠2, ♦4, ♠10, ♠8, ♥4 | pair
♠2, ♦4, ♠10, ♠6, ♣10 | pair
♠2, ♦4, ♠10, ♠6, ♣4 | pair
♠2, ♦4, ♠10, ♠6, ♥4 | pair
♠2, ♦4, ♠10, ♣10, ♥A | pair
♠2, ♦4, ♠10, ♣10, ♣4 | two pairs
♠2, ♦4, ♠10, ♣10, ♣Q | pair
♠2, ♦4, ♠10, ♣10, ♣8 | pair
♠2, ♦4, ♠10, ♣10, ♥4 | two pairs
♠2, ♦4, ♠10, ♥A, ♣4 | pair
♠2, ♦4, ♠10, ♥A, ♥4 | pair
♠2, ♦4, ♠10, ♣4, ♣Q | pair
♠2, ♦4, ♠10, ♣4, ♣8 | pair
♠2, ♦4, ♠10, ♣4, ♥4 | three of a kind
♠2, ♦4, ♠10, ♣Q, ♥4 | pair
♠2, ♦4, ♠10, ♣8, ♥4 | pair
