♠K,♣7,♠9,♦3,♠J | Pair
♠K,♣7,♠9,♦3,♠9 | Pair
♠K,♣7,♠9,♦3,♣Q | Pair
♠K,♣7,♠9,♠10,♠J | Pair
♠K,♣7,♠9,♠10,♠9 | Pair
♠K,♣7,♠9,♠10,♣Q | Pair
♠K,♣7,♠9,♣4,♠J | Pair
♠K,♣7,♠9,♣4,♠9 | Pair
♠K,♣7,♠9,♣4,♣Q | Pair
♠K,♣7,♠9,♦8,♠J | Pair
♠K,♣7,♠9,♦8,♣8 | Pair
♠K,♣7,♠9,♦8,♠9 | Pair
♠K,♣7,♠9,♦8,♥8 | Pair
♠K,♣7,♠9,♦8,♣Q | Pair
♠K,♣7,♠9,♣5,♠J | Pair
♠K,♣7,♠9,♣5,♠9 | Pair
♠K,♣7,♠9,♣5,♣Q | Pair
♠K,♣7,♠9,♠J,♣8 | Pair
♠K,♣7,♠9,♠J,♠9 | Pair
♠K,♣7,♠9,♠J,♠9 | Pair
♠K,♣7,♠9,♠J,♥8 | Pair
♠K,♣7,♠9,♠J,♣Q | Pair
♠K,♣7,♠9,♠J,♣Q | Three Of A Kind
♠K,♣7,♠9,♣8,♠9 | Pair
♠K,♣7,♠9,♣8,♥8 | Pair
♠K,♣7,♠9,♣8,♣Q | Pair
♠K,♣7,♠9,♠9,♥8 | Pair
♠K,♣7,♠9,♠9,♣Q | Pair
♠K,♣7,♠9,♠9,♣Q | Pair
♠K,♣7,♠9,♥8,♣Q | Pair
♠K,♣7,♦3,♠10,♠J | Pair
♠K,♣7,♦3,♠10,♣Q | Pair
♠K,♣7,♦3,♣4,♠J | Pair
♠K,♣7,♦3,♣4,♣Q | Pair
♠K,♣7,♦3,♦8,♠J | Pair
♠K,♣7,♦3,♦8,♣8 | Pair
♠K,♣7,♦3,♦8,♥8 | Pair
♠K,♣7,♦3,♦8,♣Q | Pair
♠K,♣7,♦3,♣5,♠J | Pair
♠K,♣7,♦3,♣5,♣Q | Pair
♠K,♣7,♦3,♠J,♣8 | Pair
♠K,♣7,♦3,♠J,♠9 | Pair
♠K,♣7,♦3,♠J,♥8 | Pair
♠K,♣7,♦3,♠J,♣Q | Pair
♠K,♣7,♦3,♠J,♣Q | Three Of A Kind
♠K,♣7,♦3,♣8,♥8 | Pair
♠K,♣7,♦3,♣8,♣Q | Pair
♠K,♣7,♦3,♠9,♣Q | Pair
♠K,♣7,♦3,♥8,♣Q | Pair
