♣2,♦J,♠T,♥5,♦T | Pair
♣2,♦J,♠T,♠9,♦T | Pair
♣2,♦J,♠T,♥Q,♦T | Pair
♣2,♦J,♠T,♥3,♦T | Pair
♣2,♦J,♠T,♥3,♦3 | Pair
♣2,♦J,♠T,♦T,♥4 | Pair
♣2,♦J,♠T,♦T,♦6 | Pair
♣2,♦J,♠T,♦T,♦3 | Pair
♣2,♦J,♠T,♦T,♦4 | Pair
♣2,♦J,♠T,♥4,♦4 | Pair
♣2,♦J,♥5,♥3,♦3 | Pair
♣2,♦J,♥5,♥4,♦4 | Pair
♣2,♦J,♠9,♥3,♦3 | Pair
♣2,♦J,♠9,♥4,♦4 | Pair
♣2,♦J,♥Q,♥3,♦3 | Pair
♣2,♦J,♥Q,♥4,♦4 | Pair
♣2,♦J,♥3,♦T,♦3 | Pair
♣2,♦J,♥3,♥4,♦3 | Pair
♣2,♦J,♥3,♥4,♦4 | Pair
♣2,♦J,♥3,♦6,♦3 | Pair
♣2,♦J,♥3,♦3,♦4 | Pair
♣2,♦J,♦T,♥4,♦4 | Pair
♣2,♦J,♥4,♦6,♦4 | Pair
♣2,♦J,♥4,♦3,♦4 | Pair
♣2,♠T,♥5,♠9,♦T | Pair
♣2,♠T,♥5,♥Q,♦T | Pair
♣2,♠T,♥5,♥3,♦T | Pair
♣2,♠T,♥5,♥3,♦3 | Pair
♣2,♠T,♥5,♦T,♥4 | Pair
♣2,♠T,♥5,♦T,♦6 | Pair
♣2,♠T,♥5,♦T,♦3 | Pair
♣2,♠T,♥5,♦T,♦4 | Pair
♣2,♠T,♥5,♥4,♦4 | Pair
♣2,♠T,♠9,♥Q,♦T | Pair
♣2,♠T,♠9,♥3,♦T | Pair
♣2,♠T,♠9,♥3,♦3 | Pair
♣2,♠T,♠9,♦T,♥4 | Pair
♣2,♠T,♠9,♦T,♦6 | Pair
♣2,♠T,♠9,♦T,♦3 | Pair
♣2,♠T,♠9,♦T,♦4 | Pair
♣2,♠T,♠9,♥4,♦4 | Pair
♣2,♠T,♥Q,♥3,♦T | Pair
♣2,♠T,♥Q,♥3,♦3 | Pair
♣2,♠T,♥Q,♦T,♥4 | Pair
♣2,♠T,♥Q,♦T,♦6 | Pair
♣2,♠T,♥Q,♦T,♦3 | Pair
♣2,♠T,♥Q,♦T,♦4 | Pair
♣2,♠T,♥Q,♥4,♦4 | Pair
♣2,♠T,♥3,♦T,♥4 | Pair
♣2,♠T,♥3,♦T,♦6 | Pair
♣2,♠T,♥3,♦T,♦3 | Two Pairs
♣2,♠T,♥3,♦T,♦4 | Pair
♣2,♠T,♥3,♥4,♦3 | Pair
♣2,♠T,♥3,♥4,♦4 | Pair
♣2,♠T,♥3,♦6,♦3 | Pair
♣2,♠T,♥3,♦3,♦4 | Pair
♣2,♠T,♦T,♥4,♦6 | Pair
♣2,♠T,♦T,♥4,♦3 | Pair
♣2,♠T,♦T,♥4,♦4 | Two Pairs
♣2,♠T,♦T,♦6,♦3 | Pair
♣2,♠T,♦T,♦6,♦4 | Pair
♣2,♠T,♦T,♦3,♦4 | Pair
♣2,♠T,♥4,♦6,♦4 | Pair
♣2,♠T,♥4,♦3,♦4 | Pair
♣2,♥5,♠9,♥3,♦3 | Pair
♣2,♥5,♠9,♥4,♦4 | Pair
♣2,♥5,♥Q,♥3,♦3 | Pair
♣2,♥5,♥Q,♥4,♦4 | Pair
♣2,♥5,♥3,♦T,♦3 | Pair
♣2,♥5,♥3,♥4,♦3 | Pair
♣2,♥5,♥3,♥4,♦4 | Pair
♣2,♥5,♥3,♦6,♦3 | Pair
