♥Q,♦A,♥Q,♠6,♠5 | Pair
♥Q,♦A,♥Q,♠6,♠5 | Three Of A Kind
♥Q,♦A,♥Q,♠6,♦7 | Pair
♥Q,♦A,♥Q,♠6,♦7 | Three Of A Kind
♥Q,♦A,♥Q,♠6,♣4 | Pair
♥Q,♦A,♥Q,♠6,♣4 | Three Of A Kind
♥Q,♦A,♥Q,♠6,♠8 | Pair
♥Q,♦A,♥Q,♠6,♠8 | Three Of A Kind
♥Q,♦A,♥Q,♠6,♠7 | Pair
♥Q,♦A,♥Q,♠6,♠7 | Three Of A Kind
♥Q,♦A,♥Q,♠5,♦7 | Pair
♥Q,♦A,♥Q,♠5,♦7 | Three Of A Kind
♥Q,♦A,♥Q,♠5,♣4 | Pair
♥Q,♦A,♥Q,♠5,♣4 | Three Of A Kind
♥Q,♦A,♥Q,♠5,♠8 | Pair
♥Q,♦A,♥Q,♠5,♠8 | Three Of A Kind
♥Q,♦A,♥Q,♠5,♠7 | Pair
♥Q,♦A,♥Q,♠5,♠7 | Three Of A Kind
♥Q,♦A,♥Q,♦7,♣4 | Pair
♥Q,♦A,♥Q,♦7,♣4 | Three Of A Kind
♥Q,♦A,♥Q,♦7,♠8 | Pair
♥Q,♦A,♥Q,♦7,♠8 | Three Of A Kind
♥Q,♦A,♥Q,♦7,♠7 | Pair
♥Q,♦A,♥Q,♦7,♠7 | Three Of A Kind
♥Q,♦A,♥Q,♦7,♠7 | Pair
♥Q,♦A,♥Q,♣4,♠8 | Pair
♥Q,♦A,♥Q,♣4,♠8 | Three Of A Kind
♥Q,♦A,♥Q,♣4,♠7 | Pair
♥Q,♦A,♥Q,♣4,♠7 | Three Of A Kind
♥Q,♦A,♥Q,♠8,♠7 | Pair
♥Q,♦A,♥Q,♠8,♠7 | Three Of A Kind
♥Q,♦A,♠6,♠5,♦7 | Pair
♥Q,♦A,♠6,♠5,♣4 | Pair
♥Q,♦A,♠6,♠5,♠8 | Pair
♥Q,♦A,♠6,♠5,♠7 | Pair
♥Q,♦A,♠6,♦7,♣4 | Pair
♥Q,♦A,♠6,♦7,♠8 | Pair
♥Q,♦A,♠6,♦7,♠7 | Pair
♥Q,♦A,♠6,♦7,♠7 | Pair
♥Q,♦A,♠6,♣4,♠8 | Pair
♥Q,♦A,♠6,♣4,♠7 | Pair
♥Q,♦A,♠6,♠8,♠7 | Pair
♥Q,♦A,♠5,♦7,♣4 | Pair
♥Q,♦A,♠5,♦7,♠8 | Pair
♥Q,♦A,♠5,♦7,♠7 | Pair
♥Q,♦A,♠5,♦7,♠7 | Pair
♥Q,♦A,♠5,♣4,♠8 | Pair
♥Q,♦A,♠5,♣4,♠7 | Pair
♥Q,♦A,♠5,♠8,♠7 | Pair
♥Q,♦A,♦7,♣4,♠8 | Pair
♥Q,♦A,♦7,♣4,♠7 | Pair
♥Q,♦A,♦7,♣4,♠7 | Pair
♥Q,♦A,♦7,♠8,♠7 | Pair
♥Q,♦A,♦7,♠8,♠7 | Pair
♥Q,♦A,♣4,♠8,♠7 | Pair
♥Q,♥Q,♠6,♠5,♦7 | Pair
♥Q,♥Q,♠6,♠5,♣4 | Pair
♥Q,♥Q,♠6,♠5,♠8 | Pair
♥Q,♥Q,♠6,♠5,♠7 | Pair
♥Q,♥Q,♠6,♦7,♣4 | Pair
♥Q,♥Q,♠6,♦7,♠8 | Pair
♥Q,♥Q,♠6,♦7,♠7 | Pair
♥Q,♥Q,♠6,♦7,♠7 | Pair
♥Q,♥Q,♠6,♣4,♠8 | Pair
