♥6,♠A,♠3,♣A,♣4 | Pair
♥6,♠A,♠3,♣A,♥9 | Pair
♥6,♠A,♠3,♣A,♥4 | Pair
♥6,♠A,♠3,♣A,♣6 | Two Pairs
♥6,♠A,♠3,♣A,♦T | Pair
♥6,♠A,♠3,♣4,♥4 | Pair
♥6,♠A,♠3,♣4,♣6 | Pair
♥6,♠A,♠3,♥9,♣6 | Pair
♥6,♠A,♠3,♥4,♣6 | Pair
♥6,♠A,♠3,♣6,♦T | Pair
♥6,♠A,♣A,♣4,♥9 | Pair
♥6,♠A,♣A,♣4,♥4 | Two Pairs
♥6,♠A,♣A,♣4,♣6 | Two Pairs
♥6,♠A,♣A,♣4,♦T | Pair
♥6,♠A,♣A,♥9,♥4 | Pair
♥6,♠A,♣A,♥9,♣6 | Two Pairs
♥6,♠A,♣A,♥9,♦T | Pair
♥6,♠A,♣A,♥4,♣6 | Two Pairs
♥6,♠A,♣A,♥4,♦T | Pair
♥6,♠A,♣A,♣6,♦T | Two Pairs
♥6,♠A,♣4,♥9,♥4 | Pair
♥6,♠A,♣4,♥9,♣6 | Pair
♥6,♠A,♣4,♥4,♣6 | Two Pairs
♥6,♠A,♣4,♥4,♦T | Pair
♥6,♠A,♣4,♣6,♦T | Pair
♥6,♠A,♥9,♥4,♣6 | Pair
♥6,♠A,♥9,♣6,♦T | Pair
♥6,♠A,♥4,♣6,♦T | Pair
♥6,♠3,♣A,♣4,♥4 | Pair
♥6,♠3,♣A,♣4,♣6 | Pair
♥6,♠3,♣A,♥9,♣6 | Pair
♥6,♠3,♣A,♥4,♣6 | Pair
♥6,♠3,♣A,♣6,♦T | Pair
♥6,♠3,♣4,♥9,♥4 | Pair
♥6,♠3,♣4,♥9,♣6 | Pair
♥6,♠3,♣4,♥4,♣6 | Two Pairs
♥6,♠3,♣4,♥4,♦T | Pair
♥6,♠3,♣4,♣6,♦T | Pair
♥6,♠3,♥9,♥4,♣6 | Pair
♥6,♠3,♥9,♣6,♦T | Pair
♥6,♠3,♥4,♣6,♦T | Pair
♥6,♣A,♣4,♥9,♥4 | Pair
♥6,♣A,♣4,♥9,♣6 | Pair
♥6,♣A,♣4,♥4,♣6 | Two Pairs
♥6,♣A,♣4,♥4,♦T | Pair
♥6,♣A,♣4,♣6,♦T | Pair
♥6,♣A,♥9,♥4,♣6 | Pair
♥6,♣A,♥9,♣6,♦T | Pair
♥6,♣A,♥4,♣6,♦T | Pair
♥6,♣4,♥9,♥4,♣6 | Two Pairs
♥6,♣4,♥9,♥4,♦T | Pair
♥6,♣4,♥9,♣6,♦T | Pair
♥6,♣4,♥4,♣6,♦T | Two Pairs
♥6,♥9,♥4,♣6,♦T | Pair
♠A,♠3,♣A,♣4,♥9 | Pair
♠A,♠3,♣A,♣4,♥4 | Two Pairs
♠A,♠3,♣A,♣4,♣6 | Pair
♠A,♠3,♣A,♣4,♦T | Pair
♠A,♠3,♣A,♥9,♥4 | Pair
♠A,♠3,♣A,♥9,♣6 | Pair
♠A,♠3,♣A,♥9,♦T | Pair
♠A,♠3,♣A,♥4,♣6 | Pair
♠A,♠3,♣A,♥4,♦T | Pair
♠A,♠3,♣A,♣6,♦T | Pair
♠A,♠3,♣4,♥9,♥4 | Pair
♠A,♠3,♣4,♥4,♣6 | Pair
♠A,♠3,♣4,♥4,♦T | Pair
♠A,♣A,♣4,♥9,♥4 | Two Pairs
♠A,♣A,♣4,♥9,♣6 | Pair
♠A,♣A,♣4,♥9,♦T | Pair
♠A,♣A,♣4,♥4,♣6 | Two Pairs
♠A,♣A,♣4,♥4,♦T | Two Pairs
♠A,♣A,♣4,♣6,♦T | Pair
♠A,♣A,♥9,♥4,♣6 | Pair
♠A,♣A,♥9,♥4,♦T | Pair
♠A,♣A,♥9,♣6,♦T | Pair
♠A,♣A,♥4,♣6,♦T | Pair
♠A,♣4,♥9,♥4,♣6 | Pair
♠A,♣4,♥9,♥4,♦T | Pair
♠A,♣4,♥4,♣6,♦T | Pair
♠3,♣A,♣4,♥9,♥4 | Pair
♠3,♣A,♣4,♥4,♣6 | Pair
♠3,♣A,♣4,♥4,♦T | Pair
♠3,♣4,♥9,♥4,♣6 | Pair
♠3,♣4,♥9,♥4,♦T | Pair
♠3,♣4,♥4,♣6,♦T | Pair
♣A,♣4,♥9,♥4,♣6 | Pair
♣A,♣4,♥9,♥4,♦T | Pair
♣A,♣4,♥4,♣6,♦T | Pair
♣4,♥9,♥4,♣6,♦T | Pair
