♠J,♥7,♣T,♣2,♣J | Pair
♠J,♥7,♣T,♣2,♠T | Pair
♠J,♥7,♣T,♣Q,♠Q | Pair
♠J,♥7,♣T,♣Q,♣J | Pair
♠J,♥7,♣T,♣Q,♠T | Pair
♠J,♥7,♣T,♠5,♣J | Pair
♠J,♥7,♣T,♠5,♠T | Pair
♠J,♥7,♣T,♥8,♣J | Pair
♠J,♥7,♣T,♥8,♠T | Pair
♠J,♥7,♣T,♥8,♦8 | Pair
♠J,♥7,♣T,♠Q,♣J | Pair
♠J,♥7,♣T,♠Q,♠T | Pair
♠J,♥7,♣T,♠3,♣J | Pair
♠J,♥7,♣T,♠3,♠T | Pair
♠J,♥7,♣T,♠3,♥3 | Pair
♠J,♥7,♣T,♣J,♠T | Two Pairs
♠J,♥7,♣T,♣J,♥3 | Pair
♠J,♥7,♣T,♣J,♠6 | Pair
♠J,♥7,♣T,♣J,♦8 | Pair
♠J,♥7,♣T,♣J,♣4 | Pair
♠J,♥7,♣T,♠T,♥3 | Pair
♠J,♥7,♣T,♠T,♠6 | Pair
♠J,♥7,♣T,♠T,♦8 | Pair
♠J,♥7,♣T,♠T,♣4 | Pair
♠J,♥7,♣2,♣Q,♠Q | Pair
♠J,♥7,♣2,♣Q,♣J | Pair
♠J,♥7,♣2,♠5,♣J | Pair
♠J,♥7,♣2,♥8,♣J | Pair
♠J,♥7,♣2,♥8,♦8 | Pair
♠J,♥7,♣2,♠Q,♣J | Pair
♠J,♥7,♣2,♠3,♣J | Pair
♠J,♥7,♣2,♠3,♥3 | Pair
♠J,♥7,♣2,♣J,♠T | Pair
♠J,♥7,♣2,♣J,♥3 | Pair
♠J,♥7,♣2,♣J,♠6 | Pair
♠J,♥7,♣2,♣J,♦8 | Pair
♠J,♥7,♣2,♣J,♣4 | Pair
♠J,♥7,♣Q,♠5,♠Q | Pair
♠J,♥7,♣Q,♠5,♣J | Pair
♠J,♥7,♣Q,♥8,♠Q | Pair
♠J,♥7,♣Q,♥8,♣J | Pair
♠J,♥7,♣Q,♥8,♦8 | Pair
♠J,♥7,♣Q,♠Q,♠3 | Pair
♠J,♥7,♣Q,♠Q,♣J | Two Pairs
♠J,♥7,♣Q,♠Q,♠T | Pair
♠J,♥7,♣Q,♠Q,♥3 | Pair
♠J,♥7,♣Q,♠Q,♠6 | Pair
♠J,♥7,♣Q,♠Q,♦8 | Pair
♠J,♥7,♣Q,♠Q,♣4 | Pair
♠J,♥7,♣Q,♠3,♣J | Pair
♠J,♥7,♣Q,♠3,♥3 | Pair
♠J,♥7,♣Q,♣J,♠T | Pair
♠J,♥7,♣Q,♣J,♥3 | Pair
♠J,♥7,♣Q,♣J,♠6 | Pair
♠J,♥7,♣Q,♣J,♦8 | Pair
♠J,♥7,♣Q,♣J,♣4 | Pair
♠J,♥7,♠5,♥8,♣J | Pair
♠J,♥7,♠5,♥8,♦8 | Pair
♠J,♥7,♠5,♠Q,♣J | Pair
♠J,♥7,♠5,♠3,♣J | Pair
♠J,♥7,♠5,♠3,♥3 | Pair
♠J,♥7,♠5,♣J,♠T | Pair
