♠4, ♠2, ♥A, ♠6, ♦6 | pair
♠4, ♠2, ♥A, ♠6, ♣6 | pair
♠4, ♠2, ♥A, ♦9, ♠9 | pair
♠4, ♠2, ♥A, ♣3, ♣5 | straight
♠4, ♠2, ♥A, ♦6, ♣6 | pair
♠4, ♠2, ♠6, ♥10, ♦6 | pair
♠4, ♠2, ♠6, ♥10, ♣6 | pair
♠4, ♠2, ♠6, ♦9, ♦6 | pair
♠4, ♠2, ♠6, ♦9, ♠9 | pair
♠4, ♠2, ♠6, ♦9, ♣6 | pair
♠4, ♠2, ♠6, ♥7, ♦6 | pair
♠4, ♠2, ♠6, ♥7, ♣6 | pair
♠4, ♠2, ♠6, ♣3, ♦6 | pair
♠4, ♠2, ♠6, ♣3, ♣5 | straight
♠4, ♠2, ♠6, ♣3, ♣6 | pair
♠4, ♠2, ♠6, ♦6, ♠9 | pair
♠4, ♠2, ♠6, ♦6, ♣5 | pair
♠4, ♠2, ♠6, ♦6, ♣6 | three of a kind
♠4, ♠2, ♠6, ♦6, ♥8 | pair
♠4, ♠2, ♠6, ♠9, ♣6 | pair
♠4, ♠2, ♠6, ♣5, ♣6 | pair
♠4, ♠2, ♠6, ♣6, ♥8 | pair
♠4, ♠2, ♥10, ♦9, ♠9 | pair
♠4, ♠2, ♥10, ♦6, ♣6 | pair
♠4, ♠2, ♦9, ♥7, ♠9 | pair
♠4, ♠2, ♦9, ♣3, ♠9 | pair
♠4, ♠2, ♦9, ♦6, ♠9 | pair
♠4, ♠2, ♦9, ♦6, ♣6 | pair
♠4, ♠2, ♦9, ♠9, ♣5 | pair
♠4, ♠2, ♦9, ♠9, ♣6 | pair
♠4, ♠2, ♦9, ♠9, ♥8 | pair
♠4, ♠2, ♥7, ♦6, ♣6 | pair
♠4, ♠2, ♣3, ♦6, ♣5 | straight
♠4, ♠2, ♣3, ♦6, ♣6 | pair
♠4, ♠2, ♣3, ♣5, ♣6 | straight
♠4, ♠2, ♦6, ♠9, ♣6 | pair
♠4, ♠2, ♦6, ♣5, ♣6 | pair
♠4, ♠2, ♦6, ♣6, ♥8 | pair
♠4, ♥A, ♠6, ♥10, ♦6 | pair
♠4, ♥A, ♠6, ♥10, ♣6 | pair
♠4, ♥A, ♠6, ♦9, ♦6 | pair
♠4, ♥A, ♠6, ♦9, ♠9 | pair
♠4, ♥A, ♠6, ♦9, ♣6 | pair
♠4, ♥A, ♠6, ♥7, ♦6 | pair
♠4, ♥A, ♠6, ♥7, ♣6 | pair
♠4, ♥A, ♠6, ♣3, ♦6 | pair
♠4, ♥A, ♠6, ♣3, ♣6 | pair
♠4, ♥A, ♠6, ♦6, ♠9 | pair
♠4, ♥A, ♠6, ♦6, ♣5 | pair
♠4, ♥A, ♠6, ♦6, ♣6 | three of a kind
♠4, ♥A, ♠6, ♦6, ♥8 | pair
♠4, ♥A, ♠6, ♠9, ♣6 | pair
♠4, ♥A, ♠6, ♣5, ♣6 | pair
♠4, ♥A, ♠6, ♣6, ♥8 | pair
♠4, ♥A, ♥10, ♦9, ♠9 | pair
♠4, ♥A, ♥10, ♦6, ♣6 | pair
♠4, ♥A, ♦9, ♥7, ♠9 | pair
♠4, ♥A, ♦9, ♣3, ♠9 | pair
♠4, ♥A, ♦9, ♦6, ♠9 | pair
♠4, ♥A, ♦9, ♦6, ♣6 | pair
♠4, ♥A, ♦9, ♠9, ♣5 | pair
♠4, ♥A, ♦9, ♠9, ♣6 | pair
♠4, ♥A, ♦9, ♠9, ♥8 | pair
♠4, ♥A, ♥7, ♦6, ♣6 | pair
♠4, ♥A, ♣3, ♦6, ♣6 | pair
♠4, ♥A, ♦6, ♠9, ♣6 | pair
♠4, ♥A, ♦6, ♣5, ♣6 | pair
♠4, ♥A, ♦6, ♣6, ♥8 | pair
♠4, ♠6, ♥10, ♦9, ♦6 | pair
♠4, ♠6, ♥10, ♦9, ♠9 | pair
♠4, ♠6, ♥10, ♦9, ♣6 | pair
♠4, ♠6, ♥10, ♥7, ♦6 | pair
♠4, ♠6, ♥10, ♥7, ♣6 | pair
♠4, ♠6, ♥10, ♣3, ♦6 | pair
♠4, ♠6, ♥10, ♣3, ♣6 | pair
♠4, ♠6, ♥10, ♦6, ♠9 | pair
♠4, ♠6, ♥10, ♦6, ♣5 | pair
♠4, ♠6, ♥10, ♦6, ♣6 | three of a kind
♠4, ♠6, ♥10, ♦6, ♥8 | pair
♠4, ♠6, ♥10, ♠9, ♣6 | pair
♠4, ♠6, ♥10, ♣5, ♣6 | pair
♠4, ♠6, ♥10, ♣6, ♥8 | pair
♠4, ♠6, ♦9, ♥7, ♦6 | pair
♠4, ♠6, ♦9, ♥7, ♠9 | pair
♠4, ♠6, ♦9, ♥7, ♣6 | pair
♠4, ♠6, ♦9, ♣3, ♦6 | pair
♠4, ♠6, ♦9, ♣3, ♠9 | pair
♠4, ♠6, ♦9, ♣3, ♣6 | pair
♠4, ♠6, ♦9, ♦6, ♠9 | two pairs
♠4, ♠6, ♦9, ♦6, ♣5 | pair
♠4, ♠6, ♦9, ♦6, ♣6 | three of a kind
♠4, ♠6, ♦9, ♦6, ♥8 | pair
♠4, ♠6, ♦9, ♠9, ♣5 | pair
♠4, ♠6, ♦9, ♠9, ♣6 | two pairs
♠4, ♠6, ♦9, ♠9, ♥8 | pair
♠4, ♠6, ♦9, ♣5, ♣6 | pair
♠4, ♠6, ♦9, ♣6, ♥8 | pair
♠4, ♠6, ♥7, ♣3, ♦6 | pair
♠4, ♠6, ♥7, ♣3, ♣5 | straight
♠4, ♠6, ♥7, ♣3, ♣6 | pair
♠4, ♠6, ♥7, ♦6, ♠9 | pair
♠4, ♠6, ♥7, ♦6, ♣5 | pair
♠4, ♠6, ♥7, ♦6, ♣6 | three of a kind
♠4, ♠6, ♥7, ♦6, ♥8 | pair
♠4, ♠6, ♥7, ♠9, ♣6 | pair
♠4, ♠6, ♥7, ♣5, ♣6 | pair
♠4, ♠6, ♥7, ♣5, ♥8 | straight
♠4, ♠6, ♥7, ♣6, ♥8 | pair
♠4, ♠6, ♣3, ♦6, ♠9 | pair
♠4, ♠6, ♣3, ♦6, ♣5 | pair
♠4, ♠6, ♣3, ♦6, ♣6 | three of a kind
♠4, ♠6, ♣3, ♦6, ♥8 | pair
♠4, ♠6, ♣3, ♠9, ♣6 | pair
♠4, ♠6, ♣3, ♣5, ♣6 | pair
♠4, ♠6, ♣3, ♣6, ♥8 | pair
♠4, ♠6, ♦6, ♠9, ♣5 | pair
♠4, ♠6, ♦6, ♠9, ♣6 | three of a kind
♠4, ♠6, ♦6, ♠9, ♥8 | pair
♠4, ♠6, ♦6, ♣5, ♣6 | three of a kind
♠4, ♠6, ♦6, ♣5, ♥8 | pair
♠4, ♠6, ♦6, ♣6, ♥8 | three of a kind
♠4, ♠6, ♠9, ♣5, ♣6 | pair
♠4, ♠6, ♠9, ♣6, ♥8 | pair
♠4, ♠6, ♣5, ♣6, ♥8 | pair
♠4, ♥10, ♦9, ♥7, ♠9 | pair
♠4, ♥10, ♦9, ♣3, ♠9 | pair
♠4, ♥10, ♦9, ♦6, ♠9 | pair
♠4, ♥10, ♦9, ♦6, ♣6 | pair
♠4, ♥10, ♦9, ♠9, ♣5 | pair
♠4, ♥10, ♦9, ♠9, ♣6 | pair
♠4, ♥10, ♦9, ♠9, ♥8 | pair
♠4, ♥10, ♥7, ♦6, ♣6 | pair
♠4, ♥10, ♣3, ♦6, ♣6 | pair
♠4, ♥10, ♦6, ♠9, ♣6 | pair
♠4, ♥10, ♦6, ♣5, ♣6 | pair
♠4, ♥10, ♦6, ♣6, ♥8 | pair
