♠5, ♥K, ♣5, ♥10, ♦2 | pair
♠5, ♥K, ♣5, ♥10, ♥2 | pair
♠5, ♥K, ♣5, ♥10, ♣8 | pair
♠5, ♥K, ♣5, ♥10, ♣7 | pair
♠5, ♥K, ♣5, ♥10, ♦6 | pair
♠5, ♥K, ♣5, ♥10, ♦4 | pair
♠5, ♥K, ♣5, ♥10, ♣5 | three of a kind
♠5, ♥K, ♣5, ♥10, ♦6 | pair
♠5, ♥K, ♣5, ♥10, ♣5 | three of a kind
♠5, ♥K, ♣5, ♦2, ♥2 | two pairs
♠5, ♥K, ♣5, ♦2, ♣8 | pair
♠5, ♥K, ♣5, ♦2, ♣7 | pair
♠5, ♥K, ♣5, ♦2, ♦6 | pair
♠5, ♥K, ♣5, ♦2, ♦4 | pair
♠5, ♥K, ♣5, ♦2, ♣5 | three of a kind
♠5, ♥K, ♣5, ♦2, ♦6 | pair
♠5, ♥K, ♣5, ♦2, ♣5 | three of a kind
♠5, ♥K, ♣5, ♥2, ♣8 | pair
♠5, ♥K, ♣5, ♥2, ♣7 | pair
♠5, ♥K, ♣5, ♥2, ♦6 | pair
♠5, ♥K, ♣5, ♥2, ♦4 | pair
♠5, ♥K, ♣5, ♥2, ♣5 | three of a kind
♠5, ♥K, ♣5, ♥2, ♦6 | pair
♠5, ♥K, ♣5, ♥2, ♣5 | three of a kind
♠5, ♥K, ♣5, ♣8, ♣7 | pair
♠5, ♥K, ♣5, ♣8, ♦6 | pair
♠5, ♥K, ♣5, ♣8, ♦4 | pair
♠5, ♥K, ♣5, ♣8, ♣5 | three of a kind
♠5, ♥K, ♣5, ♣8, ♦6 | pair
♠5, ♥K, ♣5, ♣8, ♣5 | three of a kind
♠5, ♥K, ♣5, ♣7, ♦6 | pair
♠5, ♥K, ♣5, ♣7, ♦4 | pair
♠5, ♥K, ♣5, ♣7, ♣5 | three of a kind
♠5, ♥K, ♣5, ♣7, ♦6 | pair
♠5, ♥K, ♣5, ♣7, ♣5 | three of a kind
♠5, ♥K, ♣5, ♦6, ♦4 | pair
♠5, ♥K, ♣5, ♦6, ♣5 | three of a kind
♠5, ♥K, ♣5, ♦6, ♦6 | two pairs
♠5, ♥K, ♣5, ♦6, ♣5 | three of a kind
♠5, ♥K, ♣5, ♦4, ♣5 | three of a kind
♠5, ♥K, ♣5, ♦4, ♦6 | pair
♠5, ♥K, ♣5, ♦4, ♣5 | three of a kind
♠5, ♥K, ♣5, ♣5, ♦6 | three of a kind
♠5, ♥K, ♣5, ♣5, ♣5 | four of a kind!
♠5, ♥K, ♣5, ♦6, ♣5 | three of a kind
♠5, ♥K, ♥10, ♦2, ♥2 | pair
♠5, ♥K, ♥10, ♦2, ♣5 | pair
♠5, ♥K, ♥10, ♦2, ♣5 | pair
♠5, ♥K, ♥10, ♥2, ♣5 | pair
♠5, ♥K, ♥10, ♥2, ♣5 | pair
♠5, ♥K, ♥10, ♣8, ♣5 | pair
♠5, ♥K, ♥10, ♣8, ♣5 | pair
♠5, ♥K, ♥10, ♣7, ♣5 | pair
♠5, ♥K, ♥10, ♣7, ♣5 | pair
♠5, ♥K, ♥10, ♦6, ♣5 | pair
♠5, ♥K, ♥10, ♦6, ♦6 | pair
♠5, ♥K, ♥10, ♦6, ♣5 | pair
♠5, ♥K, ♥10, ♦4, ♣5 | pair
♠5, ♥K, ♥10, ♦4, ♣5 | pair
♠5, ♥K, ♥10, ♣5, ♦6 | pair
♠5, ♥K, ♥10, ♣5, ♣5 | three of a kind
♠5, ♥K, ♥10, ♦6, ♣5 | pair
♠5, ♥K, ♦2, ♥2, ♣8 | pair
♠5, ♥K, ♦2, ♥2, ♣7 | pair
♠5, ♥K, ♦2, ♥2, ♦6 | pair
♠5, ♥K, ♦2, ♥2, ♦4 | pair
♠5, ♥K, ♦2, ♥2, ♣5 | two pairs
♠5, ♥K, ♦2, ♥2, ♦6 | pair
♠5, ♥K, ♦2, ♥2, ♣5 | two pairs
♠5, ♥K, ♦2, ♣8, ♣5 | pair
♠5, ♥K, ♦2, ♣8, ♣5 | pair
♠5, ♥K, ♦2, ♣7, ♣5 | pair
♠5, ♥K, ♦2, ♣7, ♣5 | pair
♠5, ♥K, ♦2, ♦6, ♣5 | pair
♠5, ♥K, ♦2, ♦6, ♦6 | pair
♠5, ♥K, ♦2, ♦6, ♣5 | pair
♠5, ♥K, ♦2, ♦4, ♣5 | pair
♠5, ♥K, ♦2, ♦4, ♣5 | pair
♠5, ♥K, ♦2, ♣5, ♦6 | pair
♠5, ♥K, ♦2, ♣5, ♣5 | three of a kind
♠5, ♥K, ♦2, ♦6, ♣5 | pair
♠5, ♥K, ♥2, ♣8, ♣5 | pair
♠5, ♥K, ♥2, ♣8, ♣5 | pair
♠5, ♥K, ♥2, ♣7, ♣5 | pair
♠5, ♥K, ♥2, ♣7, ♣5 | pair
♠5, ♥K, ♥2, ♦6, ♣5 | pair
♠5, ♥K, ♥2, ♦6, ♦6 | pair
♠5, ♥K, ♥2, ♦6, ♣5 | pair
♠5, ♥K, ♥2, ♦4, ♣5 | pair
♠5, ♥K, ♥2, ♦4, ♣5 | pair
♠5, ♥K, ♥2, ♣5, ♦6 | pair
♠5, ♥K, ♥2, ♣5, ♣5 | three of a kind
♠5, ♥K, ♥2, ♦6, ♣5 | pair
♠5, ♥K, ♣8, ♣7, ♣5 | pair
♠5, ♥K, ♣8, ♣7, ♣5 | pair
♠5, ♥K, ♣8, ♦6, ♣5 | pair
♠5, ♥K, ♣8, ♦6, ♦6 | pair
♠5, ♥K, ♣8, ♦6, ♣5 | pair
♠5, ♥K, ♣8, ♦4, ♣5 | pair
♠5, ♥K, ♣8, ♦4, ♣5 | pair
♠5, ♥K, ♣8, ♣5, ♦6 | pair
♠5, ♥K, ♣8, ♣5, ♣5 | three of a kind
♠5, ♥K, ♣8, ♦6, ♣5 | pair
♠5, ♥K, ♣7, ♦6, ♣5 | pair
♠5, ♥K, ♣7, ♦6, ♦6 | pair
♠5, ♥K, ♣7, ♦6, ♣5 | pair
♠5, ♥K, ♣7, ♦4, ♣5 | pair
♠5, ♥K, ♣7, ♦4, ♣5 | pair
♠5, ♥K, ♣7, ♣5, ♦6 | pair
♠5, ♥K, ♣7, ♣5, ♣5 | three of a kind
♠5, ♥K, ♣7, ♦6, ♣5 | pair
♠5, ♥K, ♦6, ♦4, ♣5 | pair
♠5, ♥K, ♦6, ♦4, ♦6 | pair
♠5, ♥K, ♦6, ♦4, ♣5 | pair
♠5, ♥K, ♦6, ♣5, ♦6 | two pairs
♠5, ♥K, ♦6, ♣5, ♣5 | three of a kind
♠5, ♥K, ♦6, ♦6, ♣5 | two pairs
♠5, ♥K, ♦4, ♣5, ♦6 | pair
♠5, ♥K, ♦4, ♣5, ♣5 | three of a kind
♠5, ♥K, ♦4, ♦6, ♣5 | pair
♠5, ♥K, ♣5, ♦6, ♣5 | three of a kind
♠5, ♣5, ♥10, ♦2, ♥2 | two pairs
♠5, ♣5, ♥10, ♦2, ♣8 | pair
♠5, ♣5, ♥10, ♦2, ♣7 | pair
♠5, ♣5, ♥10, ♦2, ♦6 | pair
♠5, ♣5, ♥10, ♦2, ♦4 | pair
♠5, ♣5, ♥10, ♦2, ♣5 | three of a kind
♠5, ♣5, ♥10, ♦2, ♦6 | pair
♠5, ♣5, ♥10, ♦2, ♣5 | three of a kind
♠5, ♣5, ♥10, ♥2, ♣8 | pair
♠5, ♣5, ♥10, ♥2, ♣7 | pair
♠5, ♣5, ♥10, ♥2, ♦6 | pair
♠5, ♣5, ♥10, ♥2, ♦4 | pair
♠5, ♣5, ♥10, ♥2, ♣5 | three of a kind
♠5, ♣5, ♥10, ♥2, ♦6 | pair
♠5, ♣5, ♥10, ♥2, ♣5 | three of a kind
♠5, ♣5, ♥10, ♣8, ♣7 | pair
♠5, ♣5, ♥10, ♣8, ♦6 | pair
♠5, ♣5, ♥10, ♣8, ♦4 | pair
♠5, ♣5, ♥10, ♣8, ♣5 | three of a kind
♠5, ♣5, ♥10, ♣8, ♦6 | pair
♠5, ♣5, ♥10, ♣8, ♣5 | three of a kind
♠5, ♣5, ♥10, ♣7, ♦6 | pair
♠5, ♣5, ♥10, ♣7, ♦4 | pair
♠5, ♣5, ♥10, ♣7, ♣5 | three of a kind
♠5, ♣5, ♥10, ♣7, ♦6 | pair
♠5, ♣5, ♥10, ♣7, ♣5 | three of a kind
♠5, ♣5, ♥10, ♦6, ♦4 | pair
♠5, ♣5, ♥10, ♦6, ♣5 | three of a kind
♠5, ♣5, ♥10, ♦6, ♦6 | two pairs
♠5, ♣5, ♥10, ♦6, ♣5 | three of a kind
♠5, ♣5, ♥10, ♦4, ♣5 | three of a kind
♠5, ♣5, ♥10, ♦4, ♦6 | pair
♠5, ♣5, ♥10, ♦4, ♣5 | three of a kind
♠5, ♣5, ♥10, ♣5, ♦6 | three of a kind
♠5, ♣5, ♥10, ♣5, ♣5 | four of a kind!
♠5, ♣5, ♥10, ♦6, ♣5 | three of a kind
♠5, ♣5, ♦2, ♥2, ♣8 | two pairs
♠5, ♣5, ♦2, ♥2, ♣7 | two pairs
♠5, ♣5, ♦2, ♥2, ♦6 | two pairs
♠5, ♣5, ♦2, ♥2, ♦4 | two pairs
♠5, ♣5, ♦2, ♥2, ♣5 | fullhouse
♠5, ♣5, ♦2, ♥2, ♦6 | two pairs
♠5, ♣5, ♦2, ♥2, ♣5 | fullhouse
♠5, ♣5, ♦2, ♣8, ♣7 | pair
♠5, ♣5, ♦2, ♣8, ♦6 | pair
♠5, ♣5, ♦2, ♣8, ♦4 | pair
