♠3, ♦7, ♥5, ♠J, ♣5 | pair
♠3, ♦7, ♥5, ♠J, ♦3 | pair
♠3, ♦7, ♥5, ♠J, ♠J | pair
♠3, ♦7, ♥5, ♠10, ♣5 | pair
♠3, ♦7, ♥5, ♠10, ♦3 | pair
♠3, ♦7, ♥5, ♠10, ♦10 | pair
♠3, ♦7, ♥5, ♠Q, ♣5 | pair
♠3, ♦7, ♥5, ♠Q, ♦3 | pair
♠3, ♦7, ♥5, ♠Q, ♥Q | pair
♠3, ♦7, ♥5, ♠Q, ♣Q | pair
♠3, ♦7, ♥5, ♣2, ♣5 | pair
♠3, ♦7, ♥5, ♣2, ♣2 | pair
♠3, ♦7, ♥5, ♣2, ♦3 | pair
♠3, ♦7, ♥5, ♦A, ♣5 | pair
♠3, ♦7, ♥5, ♦A, ♦3 | pair
♠3, ♦7, ♥5, ♣5, ♠8 | pair
♠3, ♦7, ♥5, ♣5, ♣2 | pair
♠3, ♦7, ♥5, ♣5, ♦3 | two pairs
♠3, ♦7, ♥5, ♣5, ♠J | pair
♠3, ♦7, ♥5, ♣5, ♥Q | pair
♠3, ♦7, ♥5, ♣5, ♦10 | pair
♠3, ♦7, ♥5, ♣5, ♣Q | pair
♠3, ♦7, ♥5, ♠8, ♦3 | pair
♠3, ♦7, ♥5, ♣2, ♦3 | pair
♠3, ♦7, ♥5, ♦3, ♠J | pair
♠3, ♦7, ♥5, ♦3, ♥Q | pair
♠3, ♦7, ♥5, ♦3, ♦10 | pair
♠3, ♦7, ♥5, ♦3, ♣Q | pair
♠3, ♦7, ♥5, ♥Q, ♣Q | pair
♠3, ♦7, ♠J, ♠10, ♦3 | pair
♠3, ♦7, ♠J, ♠10, ♠J | pair
♠3, ♦7, ♠J, ♠10, ♦10 | pair
♠3, ♦7, ♠J, ♠Q, ♦3 | pair
♠3, ♦7, ♠J, ♠Q, ♠J | pair
♠3, ♦7, ♠J, ♠Q, ♥Q | pair
♠3, ♦7, ♠J, ♠Q, ♣Q | pair
♠3, ♦7, ♠J, ♣2, ♣2 | pair
♠3, ♦7, ♠J, ♣2, ♦3 | pair
♠3, ♦7, ♠J, ♣2, ♠J | pair
♠3, ♦7, ♠J, ♦A, ♦3 | pair
♠3, ♦7, ♠J, ♦A, ♠J | pair
♠3, ♦7, ♠J, ♣5, ♦3 | pair
♠3, ♦7, ♠J, ♣5, ♠J | pair
♠3, ♦7, ♠J, ♠8, ♦3 | pair
♠3, ♦7, ♠J, ♠8, ♠J | pair
♠3, ♦7, ♠J, ♣2, ♦3 | pair
♠3, ♦7, ♠J, ♣2, ♠J | pair
♠3, ♦7, ♠J, ♦3, ♠J | two pairs
♠3, ♦7, ♠J, ♦3, ♥Q | pair
♠3, ♦7, ♠J, ♦3, ♦10 | pair
♠3, ♦7, ♠J, ♦3, ♣Q | pair
♠3, ♦7, ♠J, ♠J, ♥Q | pair
♠3, ♦7, ♠J, ♠J, ♦10 | pair
♠3, ♦7, ♠J, ♠J, ♣Q | pair
♠3, ♦7, ♠J, ♥Q, ♣Q | pair
♠3, ♦7, ♠10, ♠Q, ♦3 | pair
♠3, ♦7, ♠10, ♠Q, ♥Q | pair
♠3, ♦7, ♠10, ♠Q, ♦10 | pair
♠3, ♦7, ♠10, ♠Q, ♣Q | pair
♠3, ♦7, ♠10, ♣2, ♣2 | pair
♠3, ♦7, ♠10, ♣2, ♦3 | pair
♠3, ♦7, ♠10, ♣2, ♦10 | pair
♠3, ♦7, ♠10, ♦A, ♦3 | pair
♠3, ♦7, ♠10, ♦A, ♦10 | pair
♠3, ♦7, ♠10, ♣5, ♦3 | pair
♠3, ♦7, ♠10, ♣5, ♦10 | pair
♠3, ♦7, ♠10, ♠8, ♦3 | pair
♠3, ♦7, ♠10, ♠8, ♦10 | pair
♠3, ♦7, ♠10, ♣2, ♦3 | pair
♠3, ♦7, ♠10, ♣2, ♦10 | pair
♠3, ♦7, ♠10, ♦3, ♠J | pair
♠3, ♦7, ♠10, ♦3, ♥Q | pair
♠3, ♦7, ♠10, ♦3, ♦10 | two pairs
♠3, ♦7, ♠10, ♦3, ♣Q | pair
♠3, ♦7, ♠10, ♠J, ♦10 | pair
♠3, ♦7, ♠10, ♥Q, ♦10 | pair
♠3, ♦7, ♠10, ♥Q, ♣Q | pair
♠3, ♦7, ♠10, ♦10, ♣Q | pair
♠3, ♦7, ♠Q, ♣2, ♣2 | pair
♠3, ♦7, ♠Q, ♣2, ♦3 | pair
♠3, ♦7, ♠Q, ♣2, ♥Q | pair
♠3, ♦7, ♠Q, ♣2, ♣Q | pair
♠3, ♦7, ♠Q, ♦A, ♦3 | pair
♠3, ♦7, ♠Q, ♦A, ♥Q | pair
