♣K, ♥10, ♠3, ♥10, ♠4 | pair
♣K, ♥10, ♠3, ♥10, ♠5 | pair
♣K, ♥10, ♠3, ♥10, ♣4 | pair
♣K, ♥10, ♠3, ♥10, ♠5 | pair
♣K, ♥10, ♠3, ♥10, ♦5 | pair
♣K, ♥10, ♠3, ♥10, ♠4 | pair
♣K, ♥10, ♠3, ♥10, ♦10 | three of a kind
♣K, ♥10, ♠3, ♠4, ♣4 | pair
♣K, ♥10, ♠3, ♠4, ♠4 | pair
♣K, ♥10, ♠3, ♠4, ♦10 | pair
♣K, ♥10, ♠3, ♠5, ♠5 | pair
♣K, ♥10, ♠3, ♠5, ♦5 | pair
♣K, ♥10, ♠3, ♠5, ♦10 | pair
♣K, ♥10, ♠3, ♣4, ♠4 | pair
♣K, ♥10, ♠3, ♣4, ♦10 | pair
♣K, ♥10, ♠3, ♠5, ♦5 | pair
♣K, ♥10, ♠3, ♠5, ♦10 | pair
♣K, ♥10, ♠3, ♦5, ♦10 | pair
♣K, ♥10, ♠3, ♠4, ♦10 | pair
♣K, ♥10, ♥10, ♠4, ♠5 | pair
♣K, ♥10, ♥10, ♠4, ♣4 | two pairs
♣K, ♥10, ♥10, ♠4, ♠5 | pair
♣K, ♥10, ♥10, ♠4, ♦5 | pair
♣K, ♥10, ♥10, ♠4, ♠4 | two pairs
♣K, ♥10, ♥10, ♠4, ♦10 | three of a kind
♣K, ♥10, ♥10, ♠5, ♣4 | pair
♣K, ♥10, ♥10, ♠5, ♠5 | two pairs
♣K, ♥10, ♥10, ♠5, ♦5 | two pairs
♣K, ♥10, ♥10, ♠5, ♠4 | pair
♣K, ♥10, ♥10, ♠5, ♦10 | three of a kind
♣K, ♥10, ♥10, ♣4, ♠5 | pair
♣K, ♥10, ♥10, ♣4, ♦5 | pair
♣K, ♥10, ♥10, ♣4, ♠4 | two pairs
♣K, ♥10, ♥10, ♣4, ♦10 | three of a kind
♣K, ♥10, ♥10, ♠5, ♦5 | two pairs
♣K, ♥10, ♥10, ♠5, ♠4 | pair
♣K, ♥10, ♥10, ♠5, ♦10 | three of a kind
♣K, ♥10, ♥10, ♦5, ♠4 | pair
♣K, ♥10, ♥10, ♦5, ♦10 | three of a kind
♣K, ♥10, ♥10, ♠4, ♦10 | three of a kind
♣K, ♥10, ♠4, ♠5, ♣4 | pair
♣K, ♥10, ♠4, ♠5, ♠5 | pair
♣K, ♥10, ♠4, ♠5, ♦5 | pair
♣K, ♥10, ♠4, ♠5, ♠4 | pair
♣K, ♥10, ♠4, ♠5, ♦10 | pair
♣K, ♥10, ♠4, ♣4, ♠5 | pair
♣K, ♥10, ♠4, ♣4, ♦5 | pair
♣K, ♥10, ♠4, ♣4, ♠4 | three of a kind
♣K, ♥10, ♠4, ♣4, ♦10 | two pairs
♣K, ♥10, ♠4, ♠5, ♦5 | pair
♣K, ♥10, ♠4, ♠5, ♠4 | pair
♣K, ♥10, ♠4, ♠5, ♦10 | pair
♣K, ♥10, ♠4, ♦5, ♠4 | pair
♣K, ♥10, ♠4, ♦5, ♦10 | pair
♣K, ♥10, ♠4, ♠4, ♦10 | two pairs
♣K, ♥10, ♠5, ♣4, ♠5 | pair
♣K, ♥10, ♠5, ♣4, ♦5 | pair
♣K, ♥10, ♠5, ♣4, ♠4 | pair
♣K, ♥10, ♠5, ♣4, ♦10 | pair
♣K, ♥10, ♠5, ♠5, ♦5 | three of a kind
♣K, ♥10, ♠5, ♠5, ♠4 | pair
♣K, ♥10, ♠5, ♠5, ♦10 | two pairs
♣K, ♥10, ♠5, ♦5, ♠4 | pair
♣K, ♥10, ♠5, ♦5, ♦10 | two pairs
♣K, ♥10, ♠5, ♠4, ♦10 | pair
♣K, ♥10, ♣4, ♠5, ♦5 | pair
♣K, ♥10, ♣4, ♠5, ♠4 | pair
♣K, ♥10, ♣4, ♠5, ♦10 | pair
♣K, ♥10, ♣4, ♦5, ♠4 | pair
♣K, ♥10, ♣4, ♦5, ♦10 | pair
♣K, ♥10, ♣4, ♠4, ♦10 | two pairs
♣K, ♥10, ♠5, ♦5, ♠4 | pair
♣K, ♥10, ♠5, ♦5, ♦10 | two pairs
♣K, ♥10, ♠5, ♠4, ♦10 | pair
♣K, ♥10, ♦5, ♠4, ♦10 | pair
♣K, ♠3, ♥10, ♠4, ♣4 | pair
♣K, ♠3, ♥10, ♠4, ♠4 | pair
♣K, ♠3, ♥10, ♠4, ♦10 | pair
♣K, ♠3, ♥10, ♠5, ♠5 | pair
♣K, ♠3, ♥10, ♠5, ♦5 | pair
♣K, ♠3, ♥10, ♠5, ♦10 | pair
♣K, ♠3, ♥10, ♣4, ♠4 | pair
♣K, ♠3, ♥10, ♣4, ♦10 | pair
♣K, ♠3, ♥10, ♠5, ♦5 | pair
♣K, ♠3, ♥10, ♠5, ♦10 | pair
♣K, ♠3, ♥10, ♦5, ♦10 | pair
♣K, ♠3, ♥10, ♠4, ♦10 | pair
♣K, ♠3, ♠4, ♠5, ♣4 | pair
♣K, ♠3, ♠4, ♠5, ♠5 | pair
♣K, ♠3, ♠4, ♠5, ♦5 | pair
♣K, ♠3, ♠4, ♠5, ♠4 | pair
♣K, ♠3, ♠4, ♣4, ♠5 | pair
♣K, ♠3, ♠4, ♣4, ♦5 | pair
♣K, ♠3, ♠4, ♣4, ♠4 | three of a kind
♣K, ♠3, ♠4, ♣4, ♦10 | pair
♣K, ♠3, ♠4, ♠5, ♦5 | pair
♣K, ♠3, ♠4, ♠5, ♠4 | pair
♣K, ♠3, ♠4, ♦5, ♠4 | pair
♣K, ♠3, ♠4, ♠4, ♦10 | pair
♣K, ♠3, ♠5, ♣4, ♠5 | pair
♣K, ♠3, ♠5, ♣4, ♦5 | pair
♣K, ♠3, ♠5, ♣4, ♠4 | pair
♣K, ♠3, ♠5, ♠5, ♦5 | three of a kind
♣K, ♠3, ♠5, ♠5, ♠4 | pair
♣K, ♠3, ♠5, ♠5, ♦10 | pair
♣K, ♠3, ♠5, ♦5, ♠4 | pair
♣K, ♠3, ♠5, ♦5, ♦10 | pair
♣K, ♠3, ♣4, ♠5, ♦5 | pair
♣K, ♠3, ♣4, ♠5, ♠4 | pair
♣K, ♠3, ♣4, ♦5, ♠4 | pair
♣K, ♠3, ♣4, ♠4, ♦10 | pair
♣K, ♠3, ♠5, ♦5, ♠4 | pair
♣K, ♠3, ♠5, ♦5, ♦10 | pair
♣K, ♥10, ♠4, ♠5, ♣4 | pair
♣K, ♥10, ♠4, ♠5, ♠5 | pair
♣K, ♥10, ♠4, ♠5, ♦5 | pair
♣K, ♥10, ♠4, ♠5, ♠4 | pair
♣K, ♥10, ♠4, ♠5, ♦10 | pair
♣K, ♥10, ♠4, ♣4, ♠5 | pair
♣K, ♥10, ♠4, ♣4, ♦5 | pair
♣K, ♥10, ♠4, ♣4, ♠4 | three of a kind
♣K, ♥10, ♠4, ♣4, ♦10 | two pairs
♣K, ♥10, ♠4, ♠5, ♦5 | pair
♣K, ♥10, ♠4, ♠5, ♠4 | pair
♣K, ♥10, ♠4, ♠5, ♦10 | pair
♣K, ♥10, ♠4, ♦5, ♠4 | pair
♣K, ♥10, ♠4, ♦5, ♦10 | pair
♣K, ♥10, ♠4, ♠4, ♦10 | two pairs
♣K, ♥10, ♠5, ♣4, ♠5 | pair
♣K, ♥10, ♠5, ♣4, ♦5 | pair
♣K, ♥10, ♠5, ♣4, ♠4 | pair
♣K, ♥10, ♠5, ♣4, ♦10 | pair
♣K, ♥10, ♠5, ♠5, ♦5 | three of a kind
♣K, ♥10, ♠5, ♠5, ♠4 | pair
♣K, ♥10, ♠5, ♠5, ♦10 | two pairs
♣K, ♥10, ♠5, ♦5, ♠4 | pair
♣K, ♥10, ♠5, ♦5, ♦10 | two pairs
♣K, ♥10, ♠5, ♠4, ♦10 | pair
♣K, ♥10, ♣4, ♠5, ♦5 | pair
♣K, ♥10, ♣4, ♠5, ♠4 | pair
♣K, ♥10, ♣4, ♠5, ♦10 | pair
♣K, ♥10, ♣4, ♦5, ♠4 | pair
♣K, ♥10, ♣4, ♦5, ♦10 | pair
♣K, ♥10, ♣4, ♠4, ♦10 | two pairs
♣K, ♥10, ♠5, ♦5, ♠4 | pair
♣K, ♥10, ♠5, ♦5, ♦10 | two pairs
♣K, ♥10, ♠5, ♠4, ♦10 | pair
♣K, ♥10, ♦5, ♠4, ♦10 | pair
♣K, ♠4, ♠5, ♣4, ♠5 | two pairs
♣K, ♠4, ♠5, ♣4, ♦5 | two pairs
♣K, ♠4, ♠5, ♣4, ♠4 | three of a kind
♣K, ♠4, ♠5, ♣4, ♦10 | pair
♣K, ♠4, ♠5, ♠5, ♦5 | three of a kind
♣K, ♠4, ♠5, ♠5, ♠4 | two pairs
♣K, ♠4, ♠5, ♠5, ♦10 | pair
♣K, ♠4, ♠5, ♦5, ♠4 | two pairs
♣K, ♠4, ♠5, ♦5, ♦10 | pair
♣K, ♠4, ♠5, ♠4, ♦10 | pair
♣K, ♠4, ♣4, ♠5, ♦5 | two pairs
♣K, ♠4, ♣4, ♠5, ♠4 | three of a kind
♣K, ♠4, ♣4, ♠5, ♦10 | pair
♣K, ♠4, ♣4, ♦5, ♠4 | three of a kind
♣K, ♠4, ♣4, ♦5, ♦10 | pair
♣K, ♠4, ♣4, ♠4, ♦10 | three of a kind
♣K, ♠4, ♠5, ♦5, ♠4 | two pairs
♣K, ♠4, ♠5, ♦5, ♦10 | pair
♣K, ♠4, ♠5, ♠4, ♦10 | pair
♣K, ♠4, ♦5, ♠4, ♦10 | pair
♣K, ♠5, ♣4, ♠5, ♦5 | three of a kind
