♦7, ♠10, ♥K, ♣3, ♥3 | pair
♦7, ♠10, ♥K, ♣3, ♠7 | pair
♦7, ♠10, ♥K, ♣3, ♥K | pair
♦7, ♠10, ♥K, ♣3, ♥K | pair
♦7, ♠10, ♥K, ♣3, ♣10 | pair
♦7, ♠10, ♥K, ♠9, ♠9 | pair
♦7, ♠10, ♥K, ♠9, ♠7 | pair
♦7, ♠10, ♥K, ♠9, ♥K | pair
♦7, ♠10, ♥K, ♠9, ♥K | pair
♦7, ♠10, ♥K, ♠9, ♣10 | pair
♦7, ♠10, ♥K, ♠9, ♠7 | pair
♦7, ♠10, ♥K, ♠9, ♥K | pair
♦7, ♠10, ♥K, ♠9, ♥K | pair
♦7, ♠10, ♥K, ♠9, ♣10 | pair
♦7, ♠10, ♥K, ♥3, ♠7 | pair
♦7, ♠10, ♥K, ♥3, ♥K | pair
♦7, ♠10, ♥K, ♥3, ♥K | pair
♦7, ♠10, ♥K, ♥3, ♣10 | pair
♦7, ♠10, ♥K, ♠7, ♣A | pair
♦7, ♠10, ♥K, ♠7, ♥K | two pairs
♦7, ♠10, ♥K, ♠7, ♥K | two pairs
♦7, ♠10, ♥K, ♠7, ♥4 | pair
♦7, ♠10, ♥K, ♠7, ♣2 | pair
♦7, ♠10, ♥K, ♠7, ♦Q | pair
♦7, ♠10, ♥K, ♠7, ♣10 | two pairs
♦7, ♠10, ♥K, ♠7, ♠A | pair
♦7, ♠10, ♥K, ♣A, ♥K | pair
♦7, ♠10, ♥K, ♣A, ♥K | pair
♦7, ♠10, ♥K, ♣A, ♣10 | pair
♦7, ♠10, ♥K, ♣A, ♠A | pair
♦7, ♠10, ♥K, ♥K, ♥K | three of a kind
♦7, ♠10, ♥K, ♥K, ♥4 | pair
♦7, ♠10, ♥K, ♥K, ♣2 | pair
♦7, ♠10, ♥K, ♥K, ♦Q | pair
♦7, ♠10, ♥K, ♥K, ♣10 | two pairs
♦7, ♠10, ♥K, ♥K, ♠A | pair
♦7, ♠10, ♥K, ♥K, ♥4 | pair
♦7, ♠10, ♥K, ♥K, ♣2 | pair
♦7, ♠10, ♥K, ♥K, ♦Q | pair
♦7, ♠10, ♥K, ♥K, ♣10 | two pairs
♦7, ♠10, ♥K, ♥K, ♠A | pair
♦7, ♠10, ♥K, ♥4, ♣10 | pair
♦7, ♠10, ♥K, ♣2, ♣10 | pair
♦7, ♠10, ♥K, ♦Q, ♣10 | pair
♦7, ♠10, ♥K, ♣10, ♠A | pair
♦7, ♠10, ♣3, ♠9, ♠9 | pair
♦7, ♠10, ♣3, ♠9, ♥3 | pair
♦7, ♠10, ♣3, ♠9, ♠7 | pair
♦7, ♠10, ♣3, ♠9, ♣10 | pair
♦7, ♠10, ♣3, ♠9, ♥3 | pair
♦7, ♠10, ♣3, ♠9, ♠7 | pair
♦7, ♠10, ♣3, ♠9, ♣10 | pair
♦7, ♠10, ♣3, ♥3, ♠7 | two pairs
♦7, ♠10, ♣3, ♥3, ♣A | pair
♦7, ♠10, ♣3, ♥3, ♥K | pair
♦7, ♠10, ♣3, ♥3, ♥K | pair
♦7, ♠10, ♣3, ♥3, ♥4 | pair
♦7, ♠10, ♣3, ♥3, ♣2 | pair
♦7, ♠10, ♣3, ♥3, ♦Q | pair
♦7, ♠10, ♣3, ♥3, ♣10 | two pairs
♦7, ♠10, ♣3, ♥3, ♠A | pair
♦7, ♠10, ♣3, ♠7, ♣A | pair
♦7, ♠10, ♣3, ♠7, ♥K | pair
♦7, ♠10, ♣3, ♠7, ♥K | pair
♦7, ♠10, ♣3, ♠7, ♥4 | pair
♦7, ♠10, ♣3, ♠7, ♣2 | pair
♦7, ♠10, ♣3, ♠7, ♦Q | pair
