♥J, ♣J, ♦4, ♥10, ♥2 | pair
♥J, ♣J, ♦4, ♥10, ♣8 | pair
♥J, ♣J, ♦4, ♥10, ♦7 | pair
♥J, ♣J, ♦4, ♥10, ♦9 | pair
♥J, ♣J, ♦4, ♥10, ♠2 | pair
♥J, ♣J, ♦4, ♥10, ♥4 | two pairs
♥J, ♣J, ♦4, ♥10, ♥6 | pair
♥J, ♣J, ♦4, ♥10, ♦9 | pair
♥J, ♣J, ♦4, ♥10, ♦8 | pair
♥J, ♣J, ♦4, ♥10, ♠K | pair
♥J, ♣J, ♦4, ♥2, ♣8 | pair
♥J, ♣J, ♦4, ♥2, ♦7 | pair
♥J, ♣J, ♦4, ♥2, ♦9 | pair
♥J, ♣J, ♦4, ♥2, ♠2 | two pairs
♥J, ♣J, ♦4, ♥2, ♥4 | two pairs
♥J, ♣J, ♦4, ♥2, ♥6 | pair
♥J, ♣J, ♦4, ♥2, ♦9 | pair
♥J, ♣J, ♦4, ♥2, ♦8 | pair
♥J, ♣J, ♦4, ♥2, ♠K | pair
♥J, ♣J, ♦4, ♣8, ♦7 | pair
♥J, ♣J, ♦4, ♣8, ♦9 | pair
♥J, ♣J, ♦4, ♣8, ♠2 | pair
♥J, ♣J, ♦4, ♣8, ♥4 | two pairs
♥J, ♣J, ♦4, ♣8, ♥6 | pair
♥J, ♣J, ♦4, ♣8, ♦9 | pair
♥J, ♣J, ♦4, ♣8, ♦8 | two pairs
♥J, ♣J, ♦4, ♣8, ♠K | pair
♥J, ♣J, ♦4, ♦7, ♦9 | pair
♥J, ♣J, ♦4, ♦7, ♠2 | pair
♥J, ♣J, ♦4, ♦7, ♥4 | two pairs
♥J, ♣J, ♦4, ♦7, ♥6 | pair
♥J, ♣J, ♦4, ♦7, ♦9 | pair
♥J, ♣J, ♦4, ♦7, ♦8 | pair
♥J, ♣J, ♦4, ♦7, ♠K | pair
♥J, ♣J, ♦4, ♦9, ♠2 | pair
♥J, ♣J, ♦4, ♦9, ♥4 | two pairs
♥J, ♣J, ♦4, ♦9, ♥6 | pair
♥J, ♣J, ♦4, ♦9, ♦9 | two pairs
♥J, ♣J, ♦4, ♦9, ♦8 | pair
♥J, ♣J, ♦4, ♦9, ♠K | pair
♥J, ♣J, ♦4, ♠2, ♥4 | two pairs
♥J, ♣J, ♦4, ♠2, ♥6 | pair
♥J, ♣J, ♦4, ♠2, ♦9 | pair
♥J, ♣J, ♦4, ♠2, ♦8 | pair
♥J, ♣J, ♦4, ♠2, ♠K | pair
♥J, ♣J, ♦4, ♥4, ♥6 | two pairs
♥J, ♣J, ♦4, ♥4, ♦9 | two pairs
♥J, ♣J, ♦4, ♥4, ♦8 | two pairs
♥J, ♣J, ♦4, ♥4, ♠K | two pairs
♥J, ♣J, ♦4, ♥6, ♦9 | pair
♥J, ♣J, ♦4, ♥6, ♦8 | pair
♥J, ♣J, ♦4, ♥6, ♠K | pair
♥J, ♣J, ♦4, ♦9, ♦8 | pair
♥J, ♣J, ♦4, ♦9, ♠K | pair
♥J, ♣J, ♦4, ♦8, ♠K | pair
♥J, ♣J, ♥10, ♥2, ♣8 | pair
♥J, ♣J, ♥10, ♥2, ♦7 | pair
♥J, ♣J, ♥10, ♥2, ♦9 | pair
♥J, ♣J, ♥10, ♥2, ♠2 | two pairs
♥J, ♣J, ♥10, ♥2, ♥4 | pair
♥J, ♣J, ♥10, ♥2, ♥6 | pair
♥J, ♣J, ♥10, ♥2, ♦9 | pair
♥J, ♣J, ♥10, ♥2, ♦8 | pair
♥J, ♣J, ♥10, ♥2, ♠K | pair
♥J, ♣J, ♥10, ♣8, ♦7 | pair
♥J, ♣J, ♥10, ♣8, ♦9 | pair
♥J, ♣J, ♥10, ♣8, ♠2 | pair
♥J, ♣J, ♥10, ♣8, ♥4 | pair
♥J, ♣J, ♥10, ♣8, ♥6 | pair
♥J, ♣J, ♥10, ♣8, ♦9 | pair
♥J, ♣J, ♥10, ♣8, ♦8 | two pairs
♥J, ♣J, ♥10, ♣8, ♠K | pair
♥J, ♣J, ♥10, ♦7, ♦9 | pair
♥J, ♣J, ♥10, ♦7, ♠2 | pair
♥J, ♣J, ♥10, ♦7, ♥4 | pair
♥J, ♣J, ♥10, ♦7, ♥6 | pair
♥J, ♣J, ♥10, ♦7, ♦9 | pair
♥J, ♣J, ♥10, ♦7, ♦8 | pair
♥J, ♣J, ♥10, ♦7, ♠K | pair
♥J, ♣J, ♥10, ♦9, ♠2 | pair
♥J, ♣J, ♥10, ♦9, ♥4 | pair
♥J, ♣J, ♥10, ♦9, ♥6 | pair
♥J, ♣J, ♥10, ♦9, ♦9 | two pairs
♥J, ♣J, ♥10, ♦9, ♦8 | pair
♥J, ♣J, ♥10, ♦9, ♠K | pair
♥J, ♣J, ♥10, ♠2, ♥4 | pair
♥J, ♣J, ♥10, ♠2, ♥6 | pair
♥J, ♣J, ♥10, ♠2, ♦9 | pair
♥J, ♣J, ♥10, ♠2, ♦8 | pair
♥J, ♣J, ♥10, ♠2, ♠K | pair
♥J, ♣J, ♥10, ♥4, ♥6 | pair
♥J, ♣J, ♥10, ♥4, ♦9 | pair
♥J, ♣J, ♥10, ♥4, ♦8 | pair
♥J, ♣J, ♥10, ♥4, ♠K | pair
♥J, ♣J, ♥10, ♥6, ♦9 | pair
♥J, ♣J, ♥10, ♥6, ♦8 | pair
♥J, ♣J, ♥10, ♥6, ♠K | pair
♥J, ♣J, ♥10, ♦9, ♦8 | pair
♥J, ♣J, ♥10, ♦9, ♠K | pair
♥J, ♣J, ♥10, ♦8, ♠K | pair
♥J, ♣J, ♥2, ♣8, ♦7 | pair
♥J, ♣J, ♥2, ♣8, ♦9 | pair
♥J, ♣J, ♥2, ♣8, ♠2 | two pairs
♥J, ♣J, ♥2, ♣8, ♥4 | pair
♥J, ♣J, ♥2, ♣8, ♥6 | pair
♥J, ♣J, ♥2, ♣8, ♦9 | pair
♥J, ♣J, ♥2, ♣8, ♦8 | two pairs
♥J, ♣J, ♥2, ♣8, ♠K | pair
♥J, ♣J, ♥2, ♦7, ♦9 | pair
♥J, ♣J, ♥2, ♦7, ♠2 | two pairs
♥J, ♣J, ♥2, ♦7, ♥4 | pair
♥J, ♣J, ♥2, ♦7, ♥6 | pair
♥J, ♣J, ♥2, ♦7, ♦9 | pair
♥J, ♣J, ♥2, ♦7, ♦8 | pair
♥J, ♣J, ♥2, ♦7, ♠K | pair
♥J, ♣J, ♥2, ♦9, ♠2 | two pairs
♥J, ♣J, ♥2, ♦9, ♥4 | pair
♥J, ♣J, ♥2, ♦9, ♥6 | pair
♥J, ♣J, ♥2, ♦9, ♦9 | two pairs
♥J, ♣J, ♥2, ♦9, ♦8 | pair
♥J, ♣J, ♥2, ♦9, ♠K | pair
♥J, ♣J, ♥2, ♠2, ♥4 | two pairs
♥J, ♣J, ♥2, ♠2, ♥6 | two pairs
♥J, ♣J, ♥2, ♠2, ♦9 | two pairs
♥J, ♣J, ♥2, ♠2, ♦8 | two pairs
♥J, ♣J, ♥2, ♠2, ♠K | two pairs
♥J, ♣J, ♥2, ♥4, ♥6 | pair
♥J, ♣J, ♥2, ♥4, ♦9 | pair
♥J, ♣J, ♥2, ♥4, ♦8 | pair
♥J, ♣J, ♥2, ♥4, ♠K | pair
♥J, ♣J, ♥2, ♥6, ♦9 | pair
♥J, ♣J, ♥2, ♥6, ♦8 | pair
♥J, ♣J, ♥2, ♥6, ♠K | pair
♥J, ♣J, ♥2, ♦9, ♦8 | pair
♥J, ♣J, ♥2, ♦9, ♠K | pair
♥J, ♣J, ♥2, ♦8, ♠K | pair
♥J, ♣J, ♣8, ♦7, ♦9 | pair
♥J, ♣J, ♣8, ♦7, ♠2 | pair
♥J, ♣J, ♣8, ♦7, ♥4 | pair
♥J, ♣J, ♣8, ♦7, ♥6 | pair
♥J, ♣J, ♣8, ♦7, ♦9 | pair
♥J, ♣J, ♣8, ♦7, ♦8 | two pairs
♥J, ♣J, ♣8, ♦7, ♠K | pair
♥J, ♣J, ♣8, ♦9, ♠2 | pair
♥J, ♣J, ♣8, ♦9, ♥4 | pair
♥J, ♣J, ♣8, ♦9, ♥6 | pair
♥J, ♣J, ♣8, ♦9, ♦9 | two pairs
♥J, ♣J, ♣8, ♦9, ♦8 | two pairs
♥J, ♣J, ♣8, ♦9, ♠K | pair
♥J, ♣J, ♣8, ♠2, ♥4 | pair
♥J, ♣J, ♣8, ♠2, ♥6 | pair
♥J, ♣J, ♣8, ♠2, ♦9 | pair
♥J, ♣J, ♣8, ♠2, ♦8 | two pairs
♥J, ♣J, ♣8, ♠2, ♠K | pair
♥J, ♣J, ♣8, ♥4, ♥6 | pair
