♥A, ♥A, ♠7, ♦J, ♣5 | pair
♥A, ♥A, ♠7, ♦J, ♥3 | pair
♥A, ♥A, ♠7, ♦J, ♦9 | pair
♥A, ♥A, ♠7, ♦J, ♣8 | pair
♥A, ♥A, ♠7, ♦J, ♣Q | pair
♥A, ♥A, ♠7, ♦J, ♣Q | pair
♥A, ♥A, ♠7, ♦J, ♣7 | two pairs
♥A, ♥A, ♠7, ♦J, ♣6 | pair
♥A, ♥A, ♠7, ♦J, ♠4 | pair
♥A, ♥A, ♠7, ♦J, ♠K | pair
♥A, ♥A, ♠7, ♦J, ♣J | two pairs
♥A, ♥A, ♠7, ♦J, ♠6 | pair
♥A, ♥A, ♠7, ♣5, ♥3 | pair
♥A, ♥A, ♠7, ♣5, ♦9 | pair
♥A, ♥A, ♠7, ♣5, ♣8 | pair
♥A, ♥A, ♠7, ♣5, ♣Q | pair
♥A, ♥A, ♠7, ♣5, ♣Q | pair
♥A, ♥A, ♠7, ♣5, ♣7 | two pairs
♥A, ♥A, ♠7, ♣5, ♣6 | pair
♥A, ♥A, ♠7, ♣5, ♠4 | pair
♥A, ♥A, ♠7, ♣5, ♠K | pair
♥A, ♥A, ♠7, ♣5, ♣J | pair
♥A, ♥A, ♠7, ♣5, ♠6 | pair
♥A, ♥A, ♠7, ♥3, ♦9 | pair
♥A, ♥A, ♠7, ♥3, ♣8 | pair
♥A, ♥A, ♠7, ♥3, ♣Q | pair
♥A, ♥A, ♠7, ♥3, ♣Q | pair
♥A, ♥A, ♠7, ♥3, ♣7 | two pairs
♥A, ♥A, ♠7, ♥3, ♣6 | pair
♥A, ♥A, ♠7, ♥3, ♠4 | pair
♥A, ♥A, ♠7, ♥3, ♠K | pair
♥A, ♥A, ♠7, ♥3, ♣J | pair
♥A, ♥A, ♠7, ♥3, ♠6 | pair
♥A, ♥A, ♠7, ♦9, ♣8 | pair
♥A, ♥A, ♠7, ♦9, ♣Q | pair
♥A, ♥A, ♠7, ♦9, ♣Q | pair
♥A, ♥A, ♠7, ♦9, ♣7 | two pairs
♥A, ♥A, ♠7, ♦9, ♣6 | pair
♥A, ♥A, ♠7, ♦9, ♠4 | pair
♥A, ♥A, ♠7, ♦9, ♠K | pair
♥A, ♥A, ♠7, ♦9, ♣J | pair
♥A, ♥A, ♠7, ♦9, ♠6 | pair
♥A, ♥A, ♠7, ♣8, ♣Q | pair
♥A, ♥A, ♠7, ♣8, ♣Q | pair
♥A, ♥A, ♠7, ♣8, ♣7 | two pairs
♥A, ♥A, ♠7, ♣8, ♣6 | pair
♥A, ♥A, ♠7, ♣8, ♠4 | pair
♥A, ♥A, ♠7, ♣8, ♠K | pair
♥A, ♥A, ♠7, ♣8, ♣J | pair
♥A, ♥A, ♠7, ♣8, ♠6 | pair
♥A, ♥A, ♠7, ♣Q, ♣Q | two pairs
♥A, ♥A, ♠7, ♣Q, ♣7 | two pairs
♥A, ♥A, ♠7, ♣Q, ♣6 | pair
♥A, ♥A, ♠7, ♣Q, ♠4 | pair
♥A, ♥A, ♠7, ♣Q, ♠K | pair
♥A, ♥A, ♠7, ♣Q, ♣J | pair
♥A, ♥A, ♠7, ♣Q, ♠6 | pair
♥A, ♥A, ♠7, ♣Q, ♣7 | two pairs
♥A, ♥A, ♠7, ♣Q, ♣6 | pair
♥A, ♥A, ♠7, ♣Q, ♠4 | pair
♥A, ♥A, ♠7, ♣Q, ♠K | pair
♥A, ♥A, ♠7, ♣Q, ♣J | pair
♥A, ♥A, ♠7, ♣Q, ♠6 | pair
♥A, ♥A, ♠7, ♣7, ♣6 | two pairs
♥A, ♥A, ♠7, ♣7, ♠4 | two pairs
♥A, ♥A, ♠7, ♣7, ♠K | two pairs
♥A, ♥A, ♠7, ♣7, ♣J | two pairs
♥A, ♥A, ♠7, ♣7, ♠6 | two pairs
♥A, ♥A, ♠7, ♣6, ♠4 | pair
♥A, ♥A, ♠7, ♣6, ♠K | pair
♥A, ♥A, ♠7, ♣6, ♣J | pair
♥A, ♥A, ♠7, ♣6, ♠6 | two pairs
♥A, ♥A, ♠7, ♠4, ♠K | pair
♥A, ♥A, ♠7, ♠4, ♣J | pair
♥A, ♥A, ♠7, ♠4, ♠6 | pair
♥A, ♥A, ♠7, ♠K, ♣J | pair
