♦7, ♣Q, ♠J, ♣3, ♥3 | pair
♦7, ♣Q, ♠J, ♣3, ♣Q | pair
♦7, ♣Q, ♠J, ♣3, ♥J | pair
♦7, ♣Q, ♠J, ♥K, ♣Q | pair
♦7, ♣Q, ♠J, ♥K, ♠K | pair
♦7, ♣Q, ♠J, ♥K, ♥K | pair
♦7, ♣Q, ♠J, ♥K, ♥J | pair
♦7, ♣Q, ♠J, ♥3, ♣Q | pair
♦7, ♣Q, ♠J, ♥3, ♥J | pair
♦7, ♣Q, ♠J, ♣Q, ♠10 | pair
♦7, ♣Q, ♠J, ♣Q, ♠K | pair
♦7, ♣Q, ♠J, ♣Q, ♣A | pair
♦7, ♣Q, ♠J, ♣Q, ♥K | pair
♦7, ♣Q, ♠J, ♣Q, ♥J | two pairs
♦7, ♣Q, ♠J, ♣Q, ♦4 | pair
♦7, ♣Q, ♠J, ♣Q, ♥4 | pair
♦7, ♣Q, ♠J, ♣Q, ♥8 | pair
♦7, ♣Q, ♠J, ♠10, ♥J | pair
♦7, ♣Q, ♠J, ♠K, ♥K | pair
♦7, ♣Q, ♠J, ♠K, ♥J | pair
♦7, ♣Q, ♠J, ♣A, ♥J | pair
♦7, ♣Q, ♠J, ♥K, ♥J | pair
♦7, ♣Q, ♠J, ♥J, ♦4 | pair
♦7, ♣Q, ♠J, ♥J, ♥4 | pair
♦7, ♣Q, ♠J, ♥J, ♥8 | pair
♦7, ♣Q, ♠J, ♦4, ♥4 | pair
♦7, ♣Q, ♣3, ♥K, ♥3 | pair
♦7, ♣Q, ♣3, ♥K, ♣Q | pair
♦7, ♣Q, ♣3, ♥K, ♠K | pair
♦7, ♣Q, ♣3, ♥K, ♥K | pair
♦7, ♣Q, ♣3, ♥3, ♣Q | two pairs
♦7, ♣Q, ♣3, ♥3, ♠10 | pair
♦7, ♣Q, ♣3, ♥3, ♠K | pair
♦7, ♣Q, ♣3, ♥3, ♣A | pair
♦7, ♣Q, ♣3, ♥3, ♥K | pair
♦7, ♣Q, ♣3, ♥3, ♥J | pair
♦7, ♣Q, ♣3, ♥3, ♦4 | pair
♦7, ♣Q, ♣3, ♥3, ♥4 | pair
♦7, ♣Q, ♣3, ♥3, ♥8 | pair
♦7, ♣Q, ♣3, ♣Q, ♠10 | pair
♦7, ♣Q, ♣3, ♣Q, ♠K | pair
♦7, ♣Q, ♣3, ♣Q, ♣A | pair
♦7, ♣Q, ♣3, ♣Q, ♥K | pair
♦7, ♣Q, ♣3, ♣Q, ♥J | pair
♦7, ♣Q, ♣3, ♣Q, ♦4 | pair
♦7, ♣Q, ♣3, ♣Q, ♥4 | pair
♦7, ♣Q, ♣3, ♣Q, ♥8 | pair
♦7, ♣Q, ♣3, ♠K, ♥K | pair
