♣6, ♠A, ♦6, ♥Q, ♠9 | pair
♣6, ♠A, ♦6, ♥Q, ♦6 | three of a kind
♣6, ♠A, ♦6, ♥Q, ♠2 | pair
♣6, ♠A, ♦6, ♥Q, ♥2 | pair
♣6, ♠A, ♦6, ♥Q, ♥A | two pairs
♣6, ♠A, ♦6, ♥Q, ♦2 | pair
♣6, ♠A, ♦6, ♥Q, ♥K | pair
♣6, ♠A, ♦6, ♥Q, ♠8 | pair
♣6, ♠A, ♦6, ♠9, ♦6 | three of a kind
♣6, ♠A, ♦6, ♠9, ♠2 | pair
♣6, ♠A, ♦6, ♠9, ♥2 | pair
♣6, ♠A, ♦6, ♠9, ♥A | two pairs
♣6, ♠A, ♦6, ♠9, ♦2 | pair
♣6, ♠A, ♦6, ♠9, ♥K | pair
♣6, ♠A, ♦6, ♠9, ♠8 | pair
♣6, ♠A, ♦6, ♦6, ♠2 | three of a kind
♣6, ♠A, ♦6, ♦6, ♥2 | three of a kind
♣6, ♠A, ♦6, ♦6, ♥A | fullhouse
♣6, ♠A, ♦6, ♦6, ♦2 | three of a kind
♣6, ♠A, ♦6, ♦6, ♥K | three of a kind
♣6, ♠A, ♦6, ♦6, ♠8 | three of a kind
♣6, ♠A, ♦6, ♠2, ♥2 | two pairs
♣6, ♠A, ♦6, ♠2, ♥A | two pairs
♣6, ♠A, ♦6, ♠2, ♦2 | two pairs
♣6, ♠A, ♦6, ♠2, ♥K | pair
♣6, ♠A, ♦6, ♠2, ♠8 | pair
♣6, ♠A, ♦6, ♥2, ♥A | two pairs
♣6, ♠A, ♦6, ♥2, ♦2 | two pairs
♣6, ♠A, ♦6, ♥2, ♥K | pair
♣6, ♠A, ♦6, ♥2, ♠8 | pair
♣6, ♠A, ♦6, ♥A, ♦2 | two pairs
♣6, ♠A, ♦6, ♥A, ♥K | two pairs
♣6, ♠A, ♦6, ♥A, ♠8 | two pairs
♣6, ♠A, ♦6, ♦2, ♥K | pair
♣6, ♠A, ♦6, ♦2, ♠8 | pair
♣6, ♠A, ♦6, ♥K, ♠8 | pair
♣6, ♠A, ♥Q, ♠9, ♦6 | pair
♣6, ♠A, ♥Q, ♠9, ♥A | pair
♣6, ♠A, ♥Q, ♦6, ♠2 | pair
♣6, ♠A, ♥Q, ♦6, ♥2 | pair
♣6, ♠A, ♥Q, ♦6, ♥A | two pairs
♣6, ♠A, ♥Q, ♦6, ♦2 | pair
♣6, ♠A, ♥Q, ♦6, ♥K | pair
♣6, ♠A, ♥Q, ♦6, ♠8 | pair
♣6, ♠A, ♥Q, ♠2, ♥2 | pair
♣6, ♠A, ♥Q, ♠2, ♥A | pair
♣6, ♠A, ♥Q, ♠2, ♦2 | pair
♣6, ♠A, ♥Q, ♥2, ♥A | pair
♣6, ♠A, ♥Q, ♥2, ♦2 | pair
♣6, ♠A, ♥Q, ♥A, ♦2 | pair
♣6, ♠A, ♥Q, ♥A, ♥K | pair
♣6, ♠A, ♥Q, ♥A, ♠8 | pair
♣6, ♠A, ♠9, ♦6, ♠2 | pair
♣6, ♠A, ♠9, ♦6, ♥2 | pair
♣6, ♠A, ♠9, ♦6, ♥A | two pairs
♣6, ♠A, ♠9, ♦6, ♦2 | pair
♣6, ♠A, ♠9, ♦6, ♥K | pair
♣6, ♠A, ♠9, ♦6, ♠8 | pair
♣6, ♠A, ♠9, ♠2, ♥2 | pair
♣6, ♠A, ♠9, ♠2, ♥A | pair
♣6, ♠A, ♠9, ♠2, ♦2 | pair
♣6, ♠A, ♠9, ♥2, ♥A | pair
♣6, ♠A, ♠9, ♥2, ♦2 | pair
♣6, ♠A, ♠9, ♥A, ♦2 | pair
♣6, ♠A, ♠9, ♥A, ♥K | pair
♣6, ♠A, ♠9, ♥A, ♠8 | pair
♣6, ♠A, ♦6, ♠2, ♥2 | two pairs
♣6, ♠A, ♦6, ♠2, ♥A | two pairs
♣6, ♠A, ♦6, ♠2, ♦2 | two pairs
♣6, ♠A, ♦6, ♠2, ♥K | pair
♣6, ♠A, ♦6, ♠2, ♠8 | pair
♣6, ♠A, ♦6, ♥2, ♥A | two pairs
♣6, ♠A, ♦6, ♥2, ♦2 | two pairs
♣6, ♠A, ♦6, ♥2, ♥K | pair
♣6, ♠A, ♦6, ♥2, ♠8 | pair
♣6, ♠A, ♦6, ♥A, ♦2 | two pairs
♣6, ♠A, ♦6, ♥A, ♥K | two pairs
♣6, ♠A, ♦6, ♥A, ♠8 | two pairs
♣6, ♠A, ♦6, ♦2, ♥K | pair
♣6, ♠A, ♦6, ♦2, ♠8 | pair
♣6, ♠A, ♦6, ♥K, ♠8 | pair
♣6, ♠A, ♠2, ♥2, ♥A | two pairs
♣6, ♠A, ♠2, ♥2, ♦2 | three of a kind
♣6, ♠A, ♠2, ♥2, ♥K | pair
♣6, ♠A, ♠2, ♥2, ♠8 | pair
♣6, ♠A, ♠2, ♥A, ♦2 | two pairs
♣6, ♠A, ♠2, ♥A, ♥K | pair
♣6, ♠A, ♠2, ♥A, ♠8 | pair
♣6, ♠A, ♠2, ♦2, ♥K | pair
♣6, ♠A, ♠2, ♦2, ♠8 | pair
♣6, ♠A, ♥2, ♥A, ♦2 | two pairs
♣6, ♠A, ♥2, ♥A, ♥K | pair
♣6, ♠A, ♥2, ♥A, ♠8 | pair
♣6, ♠A, ♥2, ♦2, ♥K | pair
♣6, ♠A, ♥2, ♦2, ♠8 | pair
♣6, ♠A, ♥A, ♦2, ♥K | pair
♣6, ♠A, ♥A, ♦2, ♠8 | pair
♣6, ♠A, ♥A, ♥K, ♠8 | pair
♣6, ♦6, ♥Q, ♠9, ♦6 | three of a kind
♣6, ♦6, ♥Q, ♠9, ♠2 | pair
♣6, ♦6, ♥Q, ♠9, ♥2 | pair
♣6, ♦6, ♥Q, ♠9, ♥A | pair
♣6, ♦6, ♥Q, ♠9, ♦2 | pair
♣6, ♦6, ♥Q, ♠9, ♥K | pair
♣6, ♦6, ♥Q, ♠9, ♠8 | pair
♣6, ♦6, ♥Q, ♦6, ♠2 | three of a kind
♣6, ♦6, ♥Q, ♦6, ♥2 | three of a kind
♣6, ♦6, ♥Q, ♦6, ♥A | three of a kind
♣6, ♦6, ♥Q, ♦6, ♦2 | three of a kind
♣6, ♦6, ♥Q, ♦6, ♥K | three of a kind
♣6, ♦6, ♥Q, ♦6, ♠8 | three of a kind
♣6, ♦6, ♥Q, ♠2, ♥2 | two pairs
♣6, ♦6, ♥Q, ♠2, ♥A | pair
♣6, ♦6, ♥Q, ♠2, ♦2 | two pairs
♣6, ♦6, ♥Q, ♠2, ♥K | pair
♣6, ♦6, ♥Q, ♠2, ♠8 | pair
♣6, ♦6, ♥Q, ♥2, ♥A | pair
♣6, ♦6, ♥Q, ♥2, ♦2 | two pairs
♣6, ♦6, ♥Q, ♥2, ♥K | pair
♣6, ♦6, ♥Q, ♥2, ♠8 | pair
♣6, ♦6, ♥Q, ♥A, ♦2 | pair
♣6, ♦6, ♥Q, ♥A, ♥K | pair
♣6, ♦6, ♥Q, ♥A, ♠8 | pair
♣6, ♦6, ♥Q, ♦2, ♥K | pair
♣6, ♦6, ♥Q, ♦2, ♠8 | pair
♣6, ♦6, ♥Q, ♥K, ♠8 | pair
♣6, ♦6, ♠9, ♦6, ♠2 | three of a kind
♣6, ♦6, ♠9, ♦6, ♥2 | three of a kind
♣6, ♦6, ♠9, ♦6, ♥A | three of a kind
♣6, ♦6, ♠9, ♦6, ♦2 | three of a kind
♣6, ♦6, ♠9, ♦6, ♥K | three of a kind
♣6, ♦6, ♠9, ♦6, ♠8 | three of a kind
♣6, ♦6, ♠9, ♠2, ♥2 | two pairs
♣6, ♦6, ♠9, ♠2, ♥A | pair
♣6, ♦6, ♠9, ♠2, ♦2 | two pairs
♣6, ♦6, ♠9, ♠2, ♥K | pair
♣6, ♦6, ♠9, ♠2, ♠8 | pair
♣6, ♦6, ♠9, ♥2, ♥A | pair
♣6, ♦6, ♠9, ♥2, ♦2 | two pairs
♣6, ♦6, ♠9, ♥2, ♥K | pair
♣6, ♦6, ♠9, ♥2, ♠8 | pair
♣6, ♦6, ♠9, ♥A, ♦2 | pair
♣6, ♦6, ♠9, ♥A, ♥K | pair
♣6, ♦6, ♠9, ♥A, ♠8 | pair
♣6, ♦6, ♠9, ♦2, ♥K | pair
♣6, ♦6, ♠9, ♦2, ♠8 | pair
♣6, ♦6, ♠9, ♥K, ♠8 | pair
♣6, ♦6, ♦6, ♠2, ♥2 | fullhouse
♣6, ♦6, ♦6, ♠2, ♥A | three of a kind
♣6, ♦6, ♦6, ♠2, ♦2 | fullhouse
♣6, ♦6, ♦6, ♠2, ♥K | three of a kind
♣6, ♦6, ♦6, ♠2, ♠8 | three of a kind
♣6, ♦6, ♦6, ♥2, ♥A | three of a kind
♣6, ♦6, ♦6, ♥2, ♦2 | fullhouse
♣6, ♦6, ♦6, ♥2, ♥K | three of a kind
♣6, ♦6, ♦6, ♥2, ♠8 | three of a kind
♣6, ♦6, ♦6, ♥A, ♦2 | three of a kind
♣6, ♦6, ♦6, ♥A, ♥K | three of a kind
♣6, ♦6, ♦6, ♥A, ♠8 | three of a kind
♣6, ♦6, ♦6, ♦2, ♥K | three of a kind
♣6, ♦6, ♦6, ♦2, ♠8 | three of a kind
♣6, ♦6, ♦6, ♥K, ♠8 | three of a kind
♣6, ♦6, ♠2, ♥2, ♥A | two pairs
