♥K, ♥A, ♣4, ♠K, ♦8 | pair
♥K, ♥A, ♣4, ♠K, ♥7 | pair
♥K, ♥A, ♣4, ♠K, ♦10 | pair
♥K, ♥A, ♣4, ♠K, ♦A | two pairs
♥K, ♥A, ♣4, ♠K, ♣7 | pair
♥K, ♥A, ♣4, ♠K, ♦K | three of a kind
♥K, ♥A, ♣4, ♠K, ♠K | three of a kind
♥K, ♥A, ♣4, ♠K, ♠7 | pair
♥K, ♥A, ♣4, ♠K, ♥A | two pairs
♥K, ♥A, ♣4, ♠K, ♦8 | pair
♥K, ♥A, ♣4, ♠K, ♦2 | pair
♥K, ♥A, ♣4, ♠K, ♦A | two pairs
♥K, ♥A, ♣4, ♦8, ♦A | pair
♥K, ♥A, ♣4, ♦8, ♦K | pair
♥K, ♥A, ♣4, ♦8, ♠K | pair
♥K, ♥A, ♣4, ♦8, ♥A | pair
♥K, ♥A, ♣4, ♦8, ♦8 | pair
♥K, ♥A, ♣4, ♦8, ♦A | pair
♥K, ♥A, ♣4, ♥7, ♦A | pair
♥K, ♥A, ♣4, ♥7, ♣7 | pair
♥K, ♥A, ♣4, ♥7, ♦K | pair
♥K, ♥A, ♣4, ♥7, ♠K | pair
♥K, ♥A, ♣4, ♥7, ♠7 | pair
♥K, ♥A, ♣4, ♥7, ♥A | pair
♥K, ♥A, ♣4, ♥7, ♦A | pair
♥K, ♥A, ♣4, ♦10, ♦A | pair
♥K, ♥A, ♣4, ♦10, ♦K | pair
♥K, ♥A, ♣4, ♦10, ♠K | pair
♥K, ♥A, ♣4, ♦10, ♥A | pair
♥K, ♥A, ♣4, ♦10, ♦A | pair
♥K, ♥A, ♣4, ♦A, ♣7 | pair
♥K, ♥A, ♣4, ♦A, ♦K | two pairs
♥K, ♥A, ♣4, ♦A, ♠K | two pairs
♥K, ♥A, ♣4, ♦A, ♠7 | pair
♥K, ♥A, ♣4, ♦A, ♥A | three of a kind
♥K, ♥A, ♣4, ♦A, ♦8 | pair
♥K, ♥A, ♣4, ♦A, ♦2 | pair
♥K, ♥A, ♣4, ♦A, ♦A | three of a kind
♥K, ♥A, ♣4, ♣7, ♦K | pair
♥K, ♥A, ♣4, ♣7, ♠K | pair
♥K, ♥A, ♣4, ♣7, ♠7 | pair
♥K, ♥A, ♣4, ♣7, ♥A | pair
♥K, ♥A, ♣4, ♣7, ♦A | pair
♥K, ♥A, ♣4, ♦K, ♠K | three of a kind
♥K, ♥A, ♣4, ♦K, ♠7 | pair
♥K, ♥A, ♣4, ♦K, ♥A | two pairs
♥K, ♥A, ♣4, ♦K, ♦8 | pair
♥K, ♥A, ♣4, ♦K, ♦2 | pair
♥K, ♥A, ♣4, ♦K, ♦A | two pairs
♥K, ♥A, ♣4, ♠K, ♠7 | pair
♥K, ♥A, ♣4, ♠K, ♥A | two pairs
♥K, ♥A, ♣4, ♠K, ♦8 | pair
♥K, ♥A, ♣4, ♠K, ♦2 | pair
♥K, ♥A, ♣4, ♠K, ♦A | two pairs
♥K, ♥A, ♣4, ♠7, ♥A | pair
♥K, ♥A, ♣4, ♠7, ♦A | pair
♥K, ♥A, ♣4, ♥A, ♦8 | pair
♥K, ♥A, ♣4, ♥A, ♦2 | pair
♥K, ♥A, ♣4, ♥A, ♦A | three of a kind
♥K, ♥A, ♣4, ♦8, ♦A | pair
♥K, ♥A, ♣4, ♦2, ♦A | pair
♥K, ♥A, ♠K, ♦8, ♥7 | pair
♥K, ♥A, ♠K, ♦8, ♦10 | pair
♥K, ♥A, ♠K, ♦8, ♦A | two pairs
♥K, ♥A, ♠K, ♦8, ♣7 | pair
♥K, ♥A, ♠K, ♦8, ♦K | three of a kind
♥K, ♥A, ♠K, ♦8, ♠K | three of a kind
♥K, ♥A, ♠K, ♦8, ♠7 | pair
♥K, ♥A, ♠K, ♦8, ♥A | two pairs
♥K, ♥A, ♠K, ♦8, ♦8 | two pairs
♥K, ♥A, ♠K, ♦8, ♦2 | pair
♥K, ♥A, ♠K, ♦8, ♦A | two pairs
♥K, ♥A, ♠K, ♥7, ♦10 | pair
♥K, ♥A, ♠K, ♥7, ♦A | two pairs
♥K, ♥A, ♠K, ♥7, ♣7 | two pairs
♥K, ♥A, ♠K, ♥7, ♦K | three of a kind
♥K, ♥A, ♠K, ♥7, ♠K | three of a kind
♥K, ♥A, ♠K, ♥7, ♠7 | two pairs
♥K, ♥A, ♠K, ♥7, ♥A | two pairs
♥K, ♥A, ♠K, ♥7, ♦8 | pair
♥K, ♥A, ♠K, ♥7, ♦2 | pair
♥K, ♥A, ♠K, ♥7, ♦A | two pairs
♥K, ♥A, ♠K, ♦10, ♦A | two pairs
♥K, ♥A, ♠K, ♦10, ♣7 | pair
♥K, ♥A, ♠K, ♦10, ♦K | three of a kind
♥K, ♥A, ♠K, ♦10, ♠K | three of a kind
♥K, ♥A, ♠K, ♦10, ♠7 | pair
♥K, ♥A, ♠K, ♦10, ♥A | two pairs
♥K, ♥A, ♠K, ♦10, ♦8 | pair
♥K, ♥A, ♠K, ♦10, ♦2 | pair
♥K, ♥A, ♠K, ♦10, ♦A | two pairs
♥K, ♥A, ♠K, ♦A, ♣7 | two pairs
♥K, ♥A, ♠K, ♦A, ♦K | fullhouse
♥K, ♥A, ♠K, ♦A, ♠K | fullhouse
♥K, ♥A, ♠K, ♦A, ♠7 | two pairs
♥K, ♥A, ♠K, ♦A, ♥A | fullhouse
♥K, ♥A, ♠K, ♦A, ♦8 | two pairs
♥K, ♥A, ♠K, ♦A, ♦2 | two pairs
♥K, ♥A, ♠K, ♦A, ♦A | fullhouse
♥K, ♥A, ♠K, ♣7, ♦K | three of a kind
♥K, ♥A, ♠K, ♣7, ♠K | three of a kind
♥K, ♥A, ♠K, ♣7, ♠7 | two pairs
♥K, ♥A, ♠K, ♣7, ♥A | two pairs
♥K, ♥A, ♠K, ♣7, ♦8 | pair
♥K, ♥A, ♠K, ♣7, ♦2 | pair
♥K, ♥A, ♠K, ♣7, ♦A | two pairs
♥K, ♥A, ♠K, ♦K, ♠K | four of a kind!
♥K, ♥A, ♠K, ♦K, ♠7 | three of a kind
♥K, ♥A, ♠K, ♦K, ♥A | fullhouse
♥K, ♥A, ♠K, ♦K, ♦8 | three of a kind
♥K, ♥A, ♠K, ♦K, ♦2 | three of a kind
♥K, ♥A, ♠K, ♦K, ♦A | fullhouse
♥K, ♥A, ♠K, ♠K, ♠7 | three of a kind
♥K, ♥A, ♠K, ♠K, ♥A | fullhouse
♥K, ♥A, ♠K, ♠K, ♦8 | three of a kind
♥K, ♥A, ♠K, ♠K, ♦2 | three of a kind
♥K, ♥A, ♠K, ♠K, ♦A | fullhouse
♥K, ♥A, ♠K, ♠7, ♥A | two pairs
♥K, ♥A, ♠K, ♠7, ♦8 | pair
♥K, ♥A, ♠K, ♠7, ♦2 | pair
♥K, ♥A, ♠K, ♠7, ♦A | two pairs
♥K, ♥A, ♠K, ♥A, ♦8 | two pairs
♥K, ♥A, ♠K, ♥A, ♦2 | two pairs
♥K, ♥A, ♠K, ♥A, ♦A | fullhouse
♥K, ♥A, ♠K, ♦8, ♦2 | pair
♥K, ♥A, ♠K, ♦8, ♦A | two pairs
♥K, ♥A, ♠K, ♦2, ♦A | two pairs
♥K, ♥A, ♦8, ♥7, ♦A | pair
♥K, ♥A, ♦8, ♥7, ♣7 | pair
♥K, ♥A, ♦8, ♥7, ♦K | pair
♥K, ♥A, ♦8, ♥7, ♠K | pair
♥K, ♥A, ♦8, ♥7, ♠7 | pair
♥K, ♥A, ♦8, ♥7, ♥A | pair
♥K, ♥A, ♦8, ♥7, ♦8 | pair
♥K, ♥A, ♦8, ♥7, ♦A | pair
♥K, ♥A, ♦8, ♦10, ♦A | pair
♥K, ♥A, ♦8, ♦10, ♦K | pair
♥K, ♥A, ♦8, ♦10, ♠K | pair
♥K, ♥A, ♦8, ♦10, ♥A | pair
♥K, ♥A, ♦8, ♦10, ♦8 | pair
♥K, ♥A, ♦8, ♦10, ♦A | pair
♥K, ♥A, ♦8, ♦A, ♣7 | pair
♥K, ♥A, ♦8, ♦A, ♦K | two pairs
♥K, ♥A, ♦8, ♦A, ♠K | two pairs
♥K, ♥A, ♦8, ♦A, ♠7 | pair
♥K, ♥A, ♦8, ♦A, ♥A | three of a kind
♥K, ♥A, ♦8, ♦A, ♦8 | two pairs
♥K, ♥A, ♦8, ♦A, ♦2 | pair
♥K, ♥A, ♦8, ♦A, ♦A | three of a kind
♥K, ♥A, ♦8, ♣7, ♦K | pair
♥K, ♥A, ♦8, ♣7, ♠K | pair
♥K, ♥A, ♦8, ♣7, ♠7 | pair
♥K, ♥A, ♦8, ♣7, ♥A | pair
♥K, ♥A, ♦8, ♣7, ♦8 | pair
♥K, ♥A, ♦8, ♣7, ♦A | pair
♥K, ♥A, ♦8, ♦K, ♠K | three of a kind
♥K, ♥A, ♦8, ♦K, ♠7 | pair
♥K, ♥A, ♦8, ♦K, ♥A | two pairs
♥K, ♥A, ♦8, ♦K, ♦8 | two pairs
♥K, ♥A, ♦8, ♦K, ♦2 | pair
♥K, ♥A, ♦8, ♦K, ♦A | two pairs
♥K, ♥A, ♦8, ♠K, ♠7 | pair
♥K, ♥A, ♦8, ♠K, ♥A | two pairs
♥K, ♥A, ♦8, ♠K, ♦8 | two pairs
♥K, ♥A, ♦8, ♠K, ♦2 | pair
♥K, ♥A, ♦8, ♠K, ♦A | two pairs
♥K, ♥A, ♦8, ♠7, ♥A | pair
♥K, ♥A, ♦8, ♠7, ♦8 | pair
♥K, ♥A, ♦8, ♠7, ♦A | pair
♥K, ♥A, ♦8, ♥A, ♦8 | two pairs
♥K, ♥A, ♦8, ♥A, ♦2 | pair
♥K, ♥A, ♦8, ♥A, ♦A | three of a kind
♥K, ♥A, ♦8, ♦8, ♦2 | pair
♥K, ♥A, ♦8, ♦8, ♦A | two pairs
