♦Q, ♦7, ♦A, ♠7, ♠2 | pair
♦Q, ♦7, ♦A, ♠7, ♣A | two pairs
♦Q, ♦7, ♦A, ♠7, ♣6 | pair
♦Q, ♦7, ♦A, ♠7, ♠J | pair
♦Q, ♦7, ♦A, ♠7, ♦K | pair
♦Q, ♦7, ♦A, ♠7, ♥A | two pairs
♦Q, ♦7, ♦A, ♠7, ♦2 | pair
♦Q, ♦7, ♦A, ♠7, ♥4 | pair
♦Q, ♦7, ♦A, ♠7, ♥3 | pair
♦Q, ♦7, ♦A, ♠7, ♦3 | pair
♦Q, ♦7, ♦A, ♠7, ♣5 | pair
♦Q, ♦7, ♦A, ♠2, ♣A | pair
♦Q, ♦7, ♦A, ♠2, ♥A | pair
♦Q, ♦7, ♦A, ♠2, ♦2 | pair
♦Q, ♦7, ♦A, ♣A, ♣6 | pair
♦Q, ♦7, ♦A, ♣A, ♠J | pair
♦Q, ♦7, ♦A, ♣A, ♦K | pair
♦Q, ♦7, ♦A, ♣A, ♥A | three of a kind
♦Q, ♦7, ♦A, ♣A, ♦2 | pair
♦Q, ♦7, ♦A, ♣A, ♥4 | pair
♦Q, ♦7, ♦A, ♣A, ♥3 | pair
♦Q, ♦7, ♦A, ♣A, ♦3 | pair
♦Q, ♦7, ♦A, ♣A, ♣5 | pair
♦Q, ♦7, ♦A, ♣6, ♥A | pair
♦Q, ♦7, ♦A, ♠J, ♥A | pair
♦Q, ♦7, ♦A, ♦K, ♥A | pair
♦Q, ♦7, ♦A, ♦K, ♦2 | flush
♦Q, ♦7, ♦A, ♦K, ♦3 | flush
♦Q, ♦7, ♦A, ♥A, ♦2 | pair
♦Q, ♦7, ♦A, ♥A, ♥4 | pair
♦Q, ♦7, ♦A, ♥A, ♥3 | pair
♦Q, ♦7, ♦A, ♥A, ♦3 | pair
♦Q, ♦7, ♦A, ♥A, ♣5 | pair
♦Q, ♦7, ♦A, ♦2, ♦3 | flush
♦Q, ♦7, ♦A, ♥3, ♦3 | pair
♦Q, ♦7, ♠7, ♠2, ♣A | pair
♦Q, ♦7, ♠7, ♠2, ♣6 | pair
♦Q, ♦7, ♠7, ♠2, ♠J | pair
♦Q, ♦7, ♠7, ♠2, ♦K | pair
♦Q, ♦7, ♠7, ♠2, ♥A | pair
♦Q, ♦7, ♠7, ♠2, ♦2 | two pairs
♦Q, ♦7, ♠7, ♠2, ♥4 | pair
♦Q, ♦7, ♠7, ♠2, ♥3 | pair
♦Q, ♦7, ♠7, ♠2, ♦3 | pair
♦Q, ♦7, ♠7, ♠2, ♣5 | pair
