♠3, ♣8, ♣A, ♥A, ♣2 | pair
♠3, ♣8, ♣A, ♥A, ♠9 | pair
♠3, ♣8, ♣A, ♥A, ♥6 | pair
♠3, ♣8, ♣A, ♥A, ♠Q | pair
♠3, ♣8, ♣A, ♥A, ♥9 | pair
♠3, ♣8, ♣A, ♥A, ♣A | three of a kind
♠3, ♣8, ♣A, ♣2, ♣A | pair
♠3, ♣8, ♣A, ♠9, ♥9 | pair
♠3, ♣8, ♣A, ♠9, ♣A | pair
♠3, ♣8, ♣A, ♥6, ♣A | pair
♠3, ♣8, ♣A, ♠Q, ♣A | pair
♠3, ♣8, ♣A, ♥9, ♣A | pair
♠3, ♣8, ♥A, ♣2, ♣A | pair
♠3, ♣8, ♥A, ♠9, ♥9 | pair
♠3, ♣8, ♥A, ♠9, ♣A | pair
♠3, ♣8, ♥A, ♥6, ♣A | pair
♠3, ♣8, ♥A, ♠Q, ♣A | pair
♠3, ♣8, ♥A, ♥9, ♣A | pair
♠3, ♣8, ♣2, ♠9, ♥9 | pair
♠3, ♣8, ♠9, ♥6, ♥9 | pair
♠3, ♣8, ♠9, ♠Q, ♥9 | pair
♠3, ♣8, ♠9, ♥9, ♣A | pair
♠3, ♣A, ♥A, ♣2, ♠9 | pair
♠3, ♣A, ♥A, ♣2, ♥6 | pair
♠3, ♣A, ♥A, ♣2, ♠Q | pair
♠3, ♣A, ♥A, ♣2, ♥9 | pair
♠3, ♣A, ♥A, ♣2, ♣A | three of a kind
♠3, ♣A, ♥A, ♠9, ♥6 | pair
♠3, ♣A, ♥A, ♠9, ♠Q | pair
♠3, ♣A, ♥A, ♠9, ♥9 | two pairs
♠3, ♣A, ♥A, ♠9, ♣A | three of a kind
♠3, ♣A, ♥A, ♥6, ♠Q | pair
♠3, ♣A, ♥A, ♥6, ♥9 | pair
♠3, ♣A, ♥A, ♥6, ♣A | three of a kind
♠3, ♣A, ♥A, ♠Q, ♥9 | pair
♠3, ♣A, ♥A, ♠Q, ♣A | three of a kind
♠3, ♣A, ♥A, ♥9, ♣A | three of a kind
♠3, ♣A, ♣2, ♠9, ♥9 | pair
♠3, ♣A, ♣2, ♠9, ♣A | pair
♠3, ♣A, ♣2, ♥6, ♣A | pair
♠3, ♣A, ♣2, ♠Q, ♣A | pair
♠3, ♣A, ♣2, ♥9, ♣A | pair
♠3, ♣A, ♠9, ♥6, ♥9 | pair
♠3, ♣A, ♠9, ♥6, ♣A | pair
♠3, ♣A, ♠9, ♠Q, ♥9 | pair
♠3, ♣A, ♠9, ♠Q, ♣A | pair
♠3, ♣A, ♠9, ♥9, ♣A | two pairs
♠3, ♣A, ♥6, ♠Q, ♣A | pair
♠3, ♣A, ♥6, ♥9, ♣A | pair
♠3, ♣A, ♠Q, ♥9, ♣A | pair
♠3, ♥A, ♣2, ♠9, ♥9 | pair
♠3, ♥A, ♣2, ♠9, ♣A | pair
♠3, ♥A, ♣2, ♥6, ♣A | pair
♠3, ♥A, ♣2, ♠Q, ♣A | pair
♠3, ♥A, ♣2, ♥9, ♣A | pair
♠3, ♥A, ♠9, ♥6, ♥9 | pair
♠3, ♥A, ♠9, ♥6, ♣A | pair
♠3, ♥A, ♠9, ♠Q, ♥9 | pair
♠3, ♥A, ♠9, ♠Q, ♣A | pair
♠3, ♥A, ♠9, ♥9, ♣A | two pairs
♠3, ♥A, ♥6, ♠Q, ♣A | pair
♠3, ♥A, ♥6, ♥9, ♣A | pair
♠3, ♥A, ♠Q, ♥9, ♣A | pair
♠3, ♣2, ♠9, ♥6, ♥9 | pair
♠3, ♣2, ♠9, ♠Q, ♥9 | pair
