♠10, ♠7, ♠7, ♠8, ♣8 | two pairs
♠10, ♠7, ♠7, ♠8, ♥6 | pair
♠10, ♠7, ♠7, ♠8, ♣8 | two pairs
♠10, ♠7, ♠7, ♠8, ♥4 | pair
♠10, ♠7, ♠7, ♠8, ♦5 | pair
♠10, ♠7, ♠7, ♠8, ♦6 | pair
♠10, ♠7, ♠7, ♠8, ♣5 | pair
♠10, ♠7, ♠7, ♠8, ♦2 | pair
♠10, ♠7, ♠7, ♣8, ♥6 | pair
♠10, ♠7, ♠7, ♣8, ♣8 | two pairs
♠10, ♠7, ♠7, ♣8, ♥4 | pair
♠10, ♠7, ♠7, ♣8, ♦5 | pair
♠10, ♠7, ♠7, ♣8, ♦6 | pair
♠10, ♠7, ♠7, ♣8, ♣5 | pair
♠10, ♠7, ♠7, ♣8, ♦2 | pair
♠10, ♠7, ♠7, ♥6, ♣8 | pair
♠10, ♠7, ♠7, ♥6, ♥4 | pair
♠10, ♠7, ♠7, ♥6, ♦5 | pair
♠10, ♠7, ♠7, ♥6, ♦6 | two pairs
♠10, ♠7, ♠7, ♥6, ♣5 | pair
♠10, ♠7, ♠7, ♥6, ♦2 | pair
♠10, ♠7, ♠7, ♣8, ♥4 | pair
♠10, ♠7, ♠7, ♣8, ♦5 | pair
♠10, ♠7, ♠7, ♣8, ♦6 | pair
♠10, ♠7, ♠7, ♣8, ♣5 | pair
♠10, ♠7, ♠7, ♣8, ♦2 | pair
♠10, ♠7, ♠7, ♥4, ♦5 | pair
♠10, ♠7, ♠7, ♥4, ♦6 | pair
♠10, ♠7, ♠7, ♥4, ♣5 | pair
♠10, ♠7, ♠7, ♥4, ♦2 | pair
♠10, ♠7, ♠7, ♦5, ♦6 | pair
♠10, ♠7, ♠7, ♦5, ♣5 | two pairs
♠10, ♠7, ♠7, ♦5, ♦2 | pair
♠10, ♠7, ♠7, ♦6, ♣5 | pair
♠10, ♠7, ♠7, ♦6, ♦2 | pair
♠10, ♠7, ♠7, ♣5, ♦2 | pair
♠10, ♠7, ♠8, ♣8, ♥6 | pair
♠10, ♠7, ♠8, ♣8, ♣8 | three of a kind
♠10, ♠7, ♠8, ♣8, ♥4 | pair
♠10, ♠7, ♠8, ♣8, ♦5 | pair
♠10, ♠7, ♠8, ♣8, ♦6 | pair
♠10, ♠7, ♠8, ♣8, ♣5 | pair
♠10, ♠7, ♠8, ♣8, ♦2 | pair
♠10, ♠7, ♠8, ♥6, ♣8 | pair
♠10, ♠7, ♠8, ♥6, ♦6 | pair
♠10, ♠7, ♠8, ♣8, ♥4 | pair
♠10, ♠7, ♠8, ♣8, ♦5 | pair
♠10, ♠7, ♠8, ♣8, ♦6 | pair
♠10, ♠7, ♠8, ♣8, ♣5 | pair
♠10, ♠7, ♠8, ♣8, ♦2 | pair
♠10, ♠7, ♠8, ♦5, ♣5 | pair
♠10, ♠7, ♣8, ♥6, ♣8 | pair
♠10, ♠7, ♣8, ♥6, ♦6 | pair
♠10, ♠7, ♣8, ♣8, ♥4 | pair
♠10, ♠7, ♣8, ♣8, ♦5 | pair
♠10, ♠7, ♣8, ♣8, ♦6 | pair
♠10, ♠7, ♣8, ♣8, ♣5 | pair
♠10, ♠7, ♣8, ♣8, ♦2 | pair
♠10, ♠7, ♣8, ♦5, ♣5 | pair
♠10, ♠7, ♥6, ♣8, ♦6 | pair
♠10, ♠7, ♥6, ♥4, ♦6 | pair
♠10, ♠7, ♥6, ♦5, ♦6 | pair
♠10, ♠7, ♥6, ♦5, ♣5 | pair
♠10, ♠7, ♥6, ♦6, ♣5 | pair
♠10, ♠7, ♥6, ♦6, ♦2 | pair
♠10, ♠7, ♣8, ♦5, ♣5 | pair
♠10, ♠7, ♥4, ♦5, ♣5 | pair
♠10, ♠7, ♦5, ♦6, ♣5 | pair
♠10, ♠7, ♦5, ♣5, ♦2 | pair
♠10, ♠7, ♠8, ♣8, ♥6 | pair
♠10, ♠7, ♠8, ♣8, ♣8 | three of a kind
♠10, ♠7, ♠8, ♣8, ♥4 | pair
♠10, ♠7, ♠8, ♣8, ♦5 | pair
♠10, ♠7, ♠8, ♣8, ♦6 | pair
♠10, ♠7, ♠8, ♣8, ♣5 | pair
♠10, ♠7, ♠8, ♣8, ♦2 | pair
♠10, ♠7, ♠8, ♥6, ♣8 | pair
♠10, ♠7, ♠8, ♥6, ♦6 | pair
♠10, ♠7, ♠8, ♣8, ♥4 | pair
♠10, ♠7, ♠8, ♣8, ♦5 | pair
♠10, ♠7, ♠8, ♣8, ♦6 | pair
♠10, ♠7, ♠8, ♣8, ♣5 | pair
♠10, ♠7, ♠8, ♣8, ♦2 | pair
♠10, ♠7, ♠8, ♦5, ♣5 | pair
♠10, ♠7, ♣8, ♥6, ♣8 | pair
♠10, ♠7, ♣8, ♥6, ♦6 | pair
♠10, ♠7, ♣8, ♣8, ♥4 | pair
♠10, ♠7, ♣8, ♣8, ♦5 | pair
♠10, ♠7, ♣8, ♣8, ♦6 | pair
♠10, ♠7, ♣8, ♣8, ♣5 | pair
♠10, ♠7, ♣8, ♣8, ♦2 | pair
♠10, ♠7, ♣8, ♦5, ♣5 | pair
♠10, ♠7, ♥6, ♣8, ♦6 | pair
♠10, ♠7, ♥6, ♥4, ♦6 | pair
♠10, ♠7, ♥6, ♦5, ♦6 | pair
♠10, ♠7, ♥6, ♦5, ♣5 | pair
