♥10, ♣3, ♦4, ♥9, ♦10 | pair
♥10, ♣3, ♦4, ♥9, ♣9 | pair
♥10, ♣3, ♦4, ♥9, ♠9 | pair
♥10, ♣3, ♦4, ♦10, ♣9 | pair
♥10, ♣3, ♦4, ♦10, ♠9 | pair
♥10, ♣3, ♦4, ♦10, ♣2 | pair
♥10, ♣3, ♦4, ♦10, ♣8 | pair
♥10, ♣3, ♦4, ♦10, ♣K | pair
♥10, ♣3, ♦4, ♦10, ♣Q | pair
♥10, ♣3, ♦4, ♣9, ♠9 | pair
♥10, ♣3, ♥9, ♦10, ♣9 | two pairs
♥10, ♣3, ♥9, ♦10, ♠9 | two pairs
♥10, ♣3, ♥9, ♦10, ♣2 | pair
♥10, ♣3, ♥9, ♦10, ♣8 | pair
♥10, ♣3, ♥9, ♦10, ♣K | pair
♥10, ♣3, ♥9, ♦10, ♣Q | pair
♥10, ♣3, ♥9, ♣9, ♠9 | three of a kind
♥10, ♣3, ♥9, ♣9, ♣2 | pair
♥10, ♣3, ♥9, ♣9, ♣8 | pair
♥10, ♣3, ♥9, ♣9, ♣K | pair
♥10, ♣3, ♥9, ♣9, ♣Q | pair
♥10, ♣3, ♥9, ♠9, ♣2 | pair
♥10, ♣3, ♥9, ♠9, ♣8 | pair
♥10, ♣3, ♥9, ♠9, ♣K | pair
♥10, ♣3, ♥9, ♠9, ♣Q | pair
♥10, ♣3, ♦10, ♣9, ♠9 | two pairs
♥10, ♣3, ♦10, ♣9, ♣2 | pair
♥10, ♣3, ♦10, ♣9, ♣8 | pair
♥10, ♣3, ♦10, ♣9, ♣K | pair
♥10, ♣3, ♦10, ♣9, ♣Q | pair
♥10, ♣3, ♦10, ♠9, ♣2 | pair
♥10, ♣3, ♦10, ♠9, ♣8 | pair
♥10, ♣3, ♦10, ♠9, ♣K | pair
♥10, ♣3, ♦10, ♠9, ♣Q | pair
♥10, ♣3, ♦10, ♣2, ♣8 | pair
♥10, ♣3, ♦10, ♣2, ♣K | pair
♥10, ♣3, ♦10, ♣2, ♣Q | pair
♥10, ♣3, ♦10, ♣8, ♣K | pair
♥10, ♣3, ♦10, ♣8, ♣Q | pair
♥10, ♣3, ♦10, ♣K, ♣Q | pair
♥10, ♣3, ♣9, ♠9, ♣2 | pair
♥10, ♣3, ♣9, ♠9, ♣8 | pair
♥10, ♣3, ♣9, ♠9, ♣K | pair
♥10, ♣3, ♣9, ♠9, ♣Q | pair
♥10, ♦4, ♥9, ♦10, ♣9 | two pairs
♥10, ♦4, ♥9, ♦10, ♠9 | two pairs
♥10, ♦4, ♥9, ♦10, ♣2 | pair
♥10, ♦4, ♥9, ♦10, ♣8 | pair
♥10, ♦4, ♥9, ♦10, ♣K | pair
♥10, ♦4, ♥9, ♦10, ♣Q | pair
♥10, ♦4, ♥9, ♣9, ♠9 | three of a kind
♥10, ♦4, ♥9, ♣9, ♣2 | pair
♥10, ♦4, ♥9, ♣9, ♣8 | pair
♥10, ♦4, ♥9, ♣9, ♣K | pair
♥10, ♦4, ♥9, ♣9, ♣Q | pair
♥10, ♦4, ♥9, ♠9, ♣2 | pair
♥10, ♦4, ♥9, ♠9, ♣8 | pair
♥10, ♦4, ♥9, ♠9, ♣K | pair
♥10, ♦4, ♥9, ♠9, ♣Q | pair
♥10, ♦4, ♦10, ♣9, ♠9 | two pairs
♥10, ♦4, ♦10, ♣9, ♣2 | pair
♥10, ♦4, ♦10, ♣9, ♣8 | pair
♥10, ♦4, ♦10, ♣9, ♣K | pair
♥10, ♦4, ♦10, ♣9, ♣Q | pair
♥10, ♦4, ♦10, ♠9, ♣2 | pair
♥10, ♦4, ♦10, ♠9, ♣8 | pair
♥10, ♦4, ♦10, ♠9, ♣K | pair
♥10, ♦4, ♦10, ♠9, ♣Q | pair
♥10, ♦4, ♦10, ♣2, ♣8 | pair
♥10, ♦4, ♦10, ♣2, ♣K | pair
♥10, ♦4, ♦10, ♣2, ♣Q | pair
♥10, ♦4, ♦10, ♣8, ♣K | pair
♥10, ♦4, ♦10, ♣8, ♣Q | pair
♥10, ♦4, ♦10, ♣K, ♣Q | pair
♥10, ♦4, ♣9, ♠9, ♣2 | pair
♥10, ♦4, ♣9, ♠9, ♣8 | pair
♥10, ♦4, ♣9, ♠9, ♣K | pair
♥10, ♦4, ♣9, ♠9, ♣Q | pair
♥10, ♥9, ♦10, ♣9, ♠9 | fullhouse
♥10, ♥9, ♦10, ♣9, ♣2 | two pairs
♥10, ♥9, ♦10, ♣9, ♣8 | two pairs
♥10, ♥9, ♦10, ♣9, ♣K | two pairs
♥10, ♥9, ♦10, ♣9, ♣Q | two pairs
♥10, ♥9, ♦10, ♠9, ♣2 | two pairs
♥10, ♥9, ♦10, ♠9, ♣8 | two pairs
♥10, ♥9, ♦10, ♠9, ♣K | two pairs
♥10, ♥9, ♦10, ♠9, ♣Q | two pairs
♥10, ♥9, ♦10, ♣2, ♣8 | pair
♥10, ♥9, ♦10, ♣2, ♣K | pair
♥10, ♥9, ♦10, ♣2, ♣Q | pair
♥10, ♥9, ♦10, ♣8, ♣K | pair
♥10, ♥9, ♦10, ♣8, ♣Q | pair
♥10, ♥9, ♦10, ♣K, ♣Q | pair
♥10, ♥9, ♣9, ♠9, ♣2 | three of a kind
♥10, ♥9, ♣9, ♠9, ♣8 | three of a kind
♥10, ♥9, ♣9, ♠9, ♣K | three of a kind
♥10, ♥9, ♣9, ♠9, ♣Q | three of a kind
